rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.030394899290571063,0.030394899290571063,0.16793168880455409,1770,-0.19337616466869742,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934 & positive <= 0.9000000059604645 & common > 0.7000000178813934,0.007340657257561552,0.007340657257561552,0.169449715370019,1786,0.030940014422607316,5,rule
positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.30000000447034836 & unambiguous > 0.5000000149011612 & conceptually dense <= 0.9000000059604645,0.006490821496493393,0.006490821496493393,0.12001897533206832,1265,-0.0664621770146336,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934,0.0062814832984892195,0.0062814832984892195,0.10588235294117647,1116,0.046944570357120165,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.005985312024573221,0.005985312024573221,0.048197343453510434,508,0.11180289271544283,5,rule
positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934,0.004875619202124156,0.004875619202124156,0.03462998102466793,365,0.12841130344018545,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.004374687430365771,0.004374687430365771,0.06499051233396584,685,0.05493215909839547,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934,0.003936231716145431,0.003936231716145431,0.08624288425047438,909,0.03326068495628726,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.003175354612181829,0.003175354612181829,0.028273244781783682,298,0.09992897250508302,5,rule
positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934 & positive <= 0.9000000059604645 & common <= 0.7000000178813934,0.0026092112117378037,0.0026092112117378037,0.09316888045540797,982,0.015624629716766342,5,rule
