rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612,40.40587697997838,40.40587697997838,0.017587223120068447,185,2653.3837837837837,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934,35.384090312976255,35.384090312976255,0.18053046867572964,1899,159.92680358083203,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934,22.75959424032368,22.75959424032368,0.29071204487118546,3058,277.6383257030739,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,21.996752005949798,21.996752005949798,0.010267135659283201,108,2498.3703703703704,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612,14.891902374897137,14.891902374897137,0.08004563171404126,842,169.88479809976246,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & conceptually dense > 0.7000000178813934,14.291945446488384,14.291945446488384,0.003897708907690845,41,4022.682926829268,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & positive <= 0.9000000059604645,12.420644934746981,12.420644934746981,0.1850936400798555,1947,288.82280431432974,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,12.258691823440584,12.258691823440584,0.13737047247837247,1445,266.6892733564014,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.5000000149011612,9.777414869679642,9.777414869679642,0.004753303545964445,50,2412.9,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612,9.160042012890365,9.160042012890365,0.004563171404125868,48,2363.3125,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,8.568871431471287,8.568871431471287,0.0025667839148208003,27,3694.296296296296,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,5.463723390203701,5.463723390203701,0.026333301644643026,277,148.44404332129963,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & socially controversial > 0.7000000178813934,2.549645917181484,2.549645917181484,0.0009506607091928891,10,3037.9,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,1.848431681961102,1.848431681961102,0.0008555946382736002,9,2516.3333333333335,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense <= 0.9000000059604645,1.7931864579171097,1.7931864579171097,0.009791805304686757,103,172.79611650485438,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,1.0150613140182718,1.0150613140182718,0.005989162467915201,63,186.44444444444446,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.6275335914429766,0.6275335914429766,0.003897708907690845,41,194.9268292682927,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated > 0.30000000447034836,0.5745872064556546,0.5745872064556546,0.0051335678296416005,54,244.0,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934,0.46245751560884624,0.46245751560884624,0.004468105333206579,47,252.4255319148936,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.3492559931080812,0.3492559931080812,0.002851982127578667,30,233.46666666666667,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & socially controversial > 0.5000000149011612,0.19797828979666254,0.19797828979666254,0.0032322464112558226,34,294.6764705882353,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934,0.15001819682037418,0.15001819682037418,0.0025667839148208003,27,297.48148148148147,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.10595039623705467,0.10595039623705467,0.0006654624964350223,7,196.71428571428572,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,0.06640291073463048,0.06640291073463048,0.0006654624964350223,7,256.14285714285717,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.05853311520745199,0.05853311520745199,0.0003802642836771556,4,202.0,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense > 0.9000000059604645,0.025185612673904064,0.025185612673904064,9.50660709192889e-05,1,91.0,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & socially controversial > 0.7000000178813934,0.018796977168174838,0.018796977168174838,0.0009506607091928891,10,375.7,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.01872011604095139,0.01872011604095139,0.013214183857781158,139,354.51079136690646,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & positive > 0.9000000059604645,0.012277315388003255,0.012277315388003255,0.0001901321418385778,2,420.5,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.009587880923433193,0.009587880923433193,0.0001901321418385778,2,305.5,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated <= 0.30000000447034836,0.0020032836090125607,0.0020032836090125607,9.50660709192889e-05,1,377.0,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.0010526228998196715,0.0010526228998196715,9.50660709192889e-05,1,367.0,5,rule
