rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.12044403450829642,0.12044403450829642,0.10904761904761905,1145,2.5982532751091703,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.11577583962395083,0.11577583962395083,0.1777142857142857,1866,4.354233654876742,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612,0.10676344558170865,0.10676344558170865,0.06952380952380953,730,2.1671232876712327,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.09814150780723209,0.09814150780723209,0.13152380952380952,1381,4.448950036205648,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,0.09593399803979057,0.09593399803979057,0.15838095238095237,1663,4.308478653036681,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,0.09415866904031656,0.09415866904031656,0.146,1533,4.347684279191128,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & positive > 0.5000000149011612,0.05945633504504248,0.05945633504504248,0.03419047619047619,359,1.9637883008356547,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & common > 0.5000000149011612,0.054831337179456444,0.054831337179456444,0.04238095238095238,445,2.4089887640449437,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934,0.04352243051074799,0.04352243051074799,0.02019047619047619,212,1.5471698113207548,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934,0.022232353551047187,0.022232353551047187,0.011714285714285714,123,1.8048780487804879,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.30000000447034836 & technically complicated <= 0.5000000149011612,0.013803428831554599,0.013803428831554599,0.016,168,4.565476190476191,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.011446984018598285,0.011446984018598285,0.006666666666666667,70,1.9857142857142858,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common <= 0.5000000149011612 & positive <= 0.5000000149011612,0.007269242559160505,0.007269242559160505,0.004380952380952381,46,2.0434782608695654,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous > 0.5000000149011612,0.0066551023891994,0.0066551023891994,0.02142857142857143,225,4.013333333333334,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & common <= 0.5000000149011612,0.004885868367694673,0.004885868367694673,0.006952380952380952,73,3.0,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.30000000447034836 & technically complicated > 0.5000000149011612,0.0046482540766398135,0.0046482540766398135,0.006666666666666667,70,4.4,5,rule
