rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.7281241592362262,0.7281241592362262,0.29071204487118546,3058,27.198472856929524,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.5555534243119037,0.5555534243119037,0.11474474759958171,1207,19.852203772101603,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.45746977327667554,0.45746977327667554,0.13176157429413443,1386,28.1658008948377,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated > 0.5000000149011612,0.3511124859405612,0.3511124859405612,0.08204201920334632,863,20.414183005535175,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.25067724376047107,0.25067724376047107,0.06578572107614793,692,20.88333810822812,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,0.19532060237855145,0.19532060237855145,0.13737047247837247,1445,26.11570244693426,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,0.15228089194683556,0.15228089194683556,0.053522197927559655,563,27.539040864466774,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934,0.12833991061146355,0.12833991061146355,0.01673162848179485,176,17.02335229245099,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive <= 0.5000000149011612,0.09983873367309569,0.09983873367309569,0.015400703488924803,162,18.211111048121513,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.06979300552181039,0.06979300552181039,0.01302405171594258,137,30.052627848882747,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive > 0.5000000149011612,0.06053547950307275,0.06053547950307275,0.010932598155718225,115,19.156695573226266,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.06004675899534264,0.06004675899534264,0.008936210666413157,94,17.974361713896407,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & positive <= 0.30000000447034836 & common > 0.5000000149011612,0.04800088292961508,0.04800088292961508,0.014354976708812625,151,21.349999977263394,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.7000000178813934,0.04317829416033682,0.04317829416033682,0.004753303545964445,50,15.610000038146973,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.5000000149011612,0.034082263263303846,0.034082263263303846,0.005894096396995912,62,30.47629032596465,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.30000000447034836,0.024685495037329443,0.024685495037329443,0.005513832113318757,58,29.17086201700671,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,0.017142175075524842,0.017142175075524842,0.0021865196311436448,23,16.853913058405336,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.013014843894769194,0.013014843894769194,0.0018062553474664893,19,17.488420988384046,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & positive <= 0.30000000447034836 & common <= 0.5000000149011612,0.012310278212823557,0.012310278212823557,0.007700351744462402,81,23.09518516210862,5,rule
