rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612,0.1482195073602724,0.1482195073602724,0.2643951651280099,2778,4.169906407487401,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial > 0.30000000447034836,0.1425224925989063,0.1425224925989063,0.30998382031026933,3257,4.069081977279705,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.7000000178813934,0.138720511732086,0.138720511732086,0.10364518892167127,1089,2.27089072543618,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.7000000178813934,0.09596145170064206,0.09596145170064206,0.10907014371371467,1146,2.729493891797557,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934,0.03932064927655623,0.03932064927655623,0.042352717236128296,445,2.6808988764044943,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612,0.029910599095072335,0.029910599095072335,0.015037593984962405,158,1.620253164556962,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive > 0.5000000149011612,0.02777648394167043,0.02777648394167043,0.01684591224897687,177,1.96045197740113,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.30000000447034836,0.023523349930786922,0.023523349930786922,0.04949081564671172,520,4.084615384615384,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.7000000178813934,0.010531223023370046,0.010531223023370046,0.006662225183211193,70,2.0285714285714285,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.00848773688267967,0.00848773688267967,0.012467878557152375,131,4.290076335877862,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.5000000149011612,0.00839739974949445,0.00839739974949445,0.018083182640144666,190,4.073684210526316,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934,0.006284207499899737,0.006284207499899737,0.004378033691824498,46,2.1739130434782608,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial > 0.30000000447034836,0.004941971236000488,0.004941971236000488,0.004853906919196726,51,4.627450980392157,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.003247069622681324,0.003247069622681324,0.011420957456933473,120,3.325,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612,0.0022204309387076327,0.0022204309387076327,0.0027600647187589226,29,4.413793103448276,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.0019260481421155792,0.0019260481421155792,0.0037118111735033785,39,4.128205128205129,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.001921618712031219,0.001921618712031219,0.004187684400875607,44,4.068181818181818,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & unambiguous > 0.5000000149011612,0.0017343584018735235,0.0017343584018735235,0.005900828019415627,62,3.903225806451613,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common > 0.5000000149011612,0.0016954258982025841,0.0016954258982025841,0.0019034929094889123,20,4.5,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial <= 0.5000000149011612,0.0016701897669895928,0.0016701897669895928,0.0025697154278100315,27,4.2592592592592595,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & socially controversial > 0.30000000447034836,0.0016210579538567709,0.0016210579538567709,0.001713143618540021,18,4.555555555555555,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial <= 0.30000000447034836,0.0015050766072536937,0.0015050766072536937,0.0019034929094889123,20,4.4,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.0014262792328235214,0.0014262792328235214,0.002189016845912249,23,4.260869565217392,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.0006587041074455639,0.0006587041074455639,0.001237270391167793,13,3.076923076923077,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & unambiguous <= 0.5000000149011612,0.00031827847851188416,0.00031827847851188416,0.0005710478728466736,6,4.166666666666667,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.30000000447034836,0.000264717235294704,0.000264717235294704,0.0001903492909488912,2,5.0,5,rule
positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.5000000149011612 & common <= 0.5000000149011612,0.0001487358886916256,0.0001487358886916256,0.0003806985818977824,4,4.0,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & socially controversial > 0.5000000074505806,0.0001159813466030784,0.0001159813466030784,0.0001903492909488912,2,3.0,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & socially controversial <= 0.5000000074505806,0.0001115519165187192,0.0001115519165187192,0.0002855239364233368,3,4.0,5,rule
positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.00010846293572752343,0.00010846293572752343,0.001427619682116684,15,3.533333333333333,5,rule
positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive > 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & socially controversial <= 0.30000000447034836,5.79906733015392e-05,5.79906733015392e-05,9.51746454744456e-05,1,3.0,5,rule
positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.30000000447034836,3.71839721729064e-05,3.71839721729064e-05,9.51746454744456e-05,1,4.0,5,rule
