rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.5000000149011612,57.94394611221898,57.94394611221898,0.0256727203575164,270,2609.2814814814815,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934,31.151661867695054,31.151661867695054,0.1624988114481316,1709,160.55354008191924,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.5000000149011612,14.491414300001448,14.491414300001448,0.006941142911476657,73,2440.013698630137,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial > 0.7000000178813934,14.127338203037716,14.127338203037716,0.003613197679946753,38,4262.184210526316,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934,12.31732342843265,12.31732342843265,0.17219739469430445,1811,280.7272225289895,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934,10.726279145288212,10.726279145288212,0.1116287914804602,1174,256.1686541737649,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.7000000178813934,10.721700167966523,10.721700167966523,0.05876200437387088,618,169.79773462783172,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934,9.389471672328693,9.389471672328693,0.11856993439193686,1247,273.0681635926223,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.7000000178813934,9.1913844869653,9.1913844869653,0.0026623561852239233,28,3804.6071428571427,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.5000000149011612,5.49189651952085,5.49189651952085,0.002852524484168489,30,2277.5333333333333,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934,5.462011987450935,5.462011987450935,0.09194637253969763,967,292.85315408479835,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous > 0.5000000149011612,4.734323511561638,4.734323511561638,0.0015213463915565275,16,3464.1875,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934,4.11757964086791,4.11757964086791,0.02015783968812399,212,147.99056603773585,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,4.045161114589585,4.045161114589585,0.053532376152895314,563,276.69271758436946,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612,3.8718821986315306,3.8718821986315306,0.02015783968812399,212,160.17924528301887,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934,3.65730917497972,3.65730917497972,0.018065988399733765,190,149.81578947368422,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.7000000178813934,3.538595552327482,3.538595552327482,0.04335837215936104,456,270.64473684210526,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,3.5013183814282085,3.5013183814282085,0.0017115146905010935,18,2398.0,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,2.7227234745633195,2.7227234745633195,0.039840258628886564,419,283.91646778042957,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & unambiguous <= 0.7000000178813934,2.0980464670156427,2.0980464670156427,0.011505182086146239,121,169.900826446281,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.7000000178813934,1.8724379946186456,1.8724379946186456,0.00865265760197775,91,135.85714285714286,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,1.6040125969551902,1.6040125969551902,0.00827232100408862,87,158.35632183908046,5,rule
common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612,0.6270058989082778,0.6270058989082778,0.005990301416753827,63,247.5873015873016,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated > 0.7000000178813934,0.6216829188753922,0.6216829188753922,0.003042692783113055,32,147.9375,5,rule
common > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,0.38453451898191615,0.38453451898191615,0.0019016829894456593,20,150.05,5,rule
common <= 0.5000000149011612 & positive > 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & unambiguous <= 0.5000000149011612,0.3724907337060681,0.3724907337060681,0.00019016829894456593,2,2311.0,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive <= 0.30000000447034836 & conceptually dense <= 0.7000000178813934,0.2588765498994931,0.2588765498994931,0.0013311780926119616,14,157.78571428571428,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612 & unambiguous > 0.7000000178813934,0.20755274744442778,0.20755274744442778,0.0010459256441951127,11,153.8181818181818,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & positive <= 0.30000000447034836,0.20498547540867612,0.20498547540867612,0.0010459256441951127,11,156.27272727272728,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive <= 0.30000000447034836 & conceptually dense > 0.7000000178813934,0.1429416460264111,0.1429416460264111,0.0008557573452505468,9,185.22222222222223,5,rule
common <= 0.5000000149011612 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated <= 0.7000000178813934,0.08843110271242392,0.08843110271242392,0.00038033659788913187,4,119.75,5,rule
