rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934,0.532989434125,0.532989434125,0.17219739469430445,1811,27.40734400399017,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.49185009207620795,0.49185009207620795,0.12522582485499667,1317,28.239825387026382,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.7000000178813934,0.4361202064616447,0.4361202064616447,0.09803175810592374,1031,19.86335592612147,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934,0.3054060872952,0.3054060872952,0.11856993439193686,1247,26.887866885163064,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612,0.30452297354329394,0.30452297354329394,0.08690691261766663,914,20.808107185155087,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.7000000178813934,0.18693038684351299,0.18693038684351299,0.09565465436911667,1006,26.266341986760466,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & common > 0.7000000178813934,0.1494791225934988,0.1494791225934988,0.02519729961015499,265,18.379773523222724,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.7000000178813934,0.14556346057972736,0.14556346057972736,0.04174194161833222,439,20.824897396808876,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.7000000178813934,0.12001743889743642,0.12001743889743642,0.044689550251973,470,26.99770215014194,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612,0.09892977282633017,0.09892977282633017,0.014547874869259295,153,17.511830105501062,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & common <= 0.7000000178813934,0.09535129276350714,0.09535129276350714,0.02015783968812399,212,19.581886730104124,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612,0.08114402711510467,0.08114402711510467,0.01083959303984026,114,16.826228041397897,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934,0.07357722932852369,0.07357722932852369,0.013977369972425597,147,19.048095125730345,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.06153272959038228,0.06153272959038228,0.03812874393838547,401,25.925935193487533,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.800000011920929 & common > 0.30000000447034836,0.058458305939959744,0.058458305939959744,0.007891984406199487,83,16.90481918978404,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & socially controversial > 0.30000000447034836,0.05795023946171763,0.05795023946171763,0.006846058762004374,72,15.847361154026455,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive > 0.5000000149011612 & common > 0.5000000149011612,0.057360279953410614,0.057360279953410614,0.014262622420842445,150,20.290400009155274,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612 & positive <= 0.5000000149011612,0.03227460947714117,0.03227460947714117,0.006370638014642959,67,19.24597017088933,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.5000000149011612 & positive > 0.5000000149011612,0.030142277674699017,0.030142277674699017,0.003423029381002187,36,15.506388929155138,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.5000000149011612,0.02916204529229345,0.02916204529229345,0.005705048968336978,60,19.200499931971233,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.014680393342680717,0.014680393342680717,0.006560806313587525,69,26.54971024609994,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.014031595203080104,0.014031595203080104,0.0018065988399733764,19,16.545263240211888,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.5000000149011612,0.011082777088785892,0.011082777088785892,0.0012360939431396785,13,15.346153772794283,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive > 0.5000000149011612 & common <= 0.5000000149011612,0.011060158222746553,0.011060158222746553,0.0013311780926119616,14,16.003571578434535,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.009066388216424012,0.009066388216424012,0.0009508414947228297,10,14.776999950408936,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,0.00688590715057759,0.00688590715057759,0.0008557573452505468,9,16.265555381774902,5,rule
positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,0.004926568713491493,0.004926568713491493,0.0005705048968336978,6,15.676666577657064,5,rule
positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.0046376028565996265,0.0046376028565996265,0.036036892649995246,379,24.183430017456217,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous <= 0.800000011920929 & common <= 0.30000000447034836,0.0012049177611770767,0.0012049177611770767,9.508414947228297e-05,1,11.640000343322754,5,rule
positive > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.30000000447034836,0.00044994965426604694,0.00044994965426604694,9.508414947228297e-05,1,19.579999923706055,5,rule
positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & unambiguous > 0.800000011920929,2.3972708156288628e-05,2.3972708156288628e-05,9.508414947228297e-05,1,24.059999465942383,4,rule
