rule,importance,weighted_importance,support,support_count,prediction,depth,component_type
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934 & positive > 0.30000000447034836,0.08054657675325162,0.08054657675325162,0.12817343348863744,1348,0.04401036959904238,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.05420474927552563,0.05420474927552563,0.19245031853190073,2024,0.9540848295855899,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & socially controversial > 0.7000000178813934,0.05233842399145947,0.05233842399145947,0.18065988399733765,1900,0.9621359752353869,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,0.04446448420145286,0.04446448420145286,0.1590757820671294,1673,0.9519466464204555,5,rule
positive > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934,0.038180343912300005,0.038180343912300005,0.1402491204716174,1475,0.9446613485126172,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612,0.03530371916818904,0.03530371916818904,0.06817533517162688,717,0.15459190593770025,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & common > 0.7000000178813934,0.013428365145956505,0.013428365145956505,0.02015783968812399,212,0.006268099512694017,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612,0.012355689314638828,0.012355689314638828,0.019492250641818008,205,0.03855202750461857,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934 & positive <= 0.30000000447034836,0.010208977439664917,0.010208977439664917,0.017685651801844633,186,0.09518270402826289,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & common <= 0.7000000178813934,0.007864293058505471,0.007864293058505471,0.011695350385090805,123,0.0,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.5000000149011612,0.007415774148079768,0.007415774148079768,0.012931444328230485,136,0.09896066697204814,5,rule
positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & common <= 0.5000000149011612 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,0.005955594494121319,0.005955594494121319,0.009413330797756013,99,0.039752385833046654,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive > 0.30000000447034836,0.005721797907523605,0.005721797907523605,0.014928211467148426,157,0.2891414545144245,5,rule
positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.30000000447034836,0.0031407862898853896,0.0031407862898853896,0.005990301416753827,63,0.14811712976485963,5,rule
