,rule,type,coef,support,importance
15,socially controversial <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & unambiguous > 0.7000000178813934,rule,-0.08000113868482865,0.4271047227926078,0.039573182363758126
22,common <= 0.9000000059604645 & socially controversial > 0.30000000447034836,rule,0.03751473015043255,0.9753593429158111,0.0058158111194995
59,neutral > 0.5000000149011612 & neutral > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & unambiguous > 0.7000000178813934,rule,-0.008637904602795725,0.3798767967145791,0.004192458553178213
96,socially controversial > 0.5000000149011612 & common <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645 & neutral > 0.5000000149011612,rule,0.16138549324186383,0.7084188911704312,0.07334816485433485
115,common <= 0.9000000059604645 & common > 0.5000000149011612 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,0.03762749672980269,0.4804928131416838,0.018799424508072496
141,technically complicated > 0.5000000149011612 & common <= 0.7000000178813934,rule,0.002187597988738352,0.27720739219712526,0.0009792120973641017
159,common > 0.7000000178813934 & negative <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.06645524634919095,0.5667351129363449,0.03293032976266401
205,common > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive > 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.020094119269601137,0.29774127310061604,0.009188340241959116
251,common <= 0.9000000059604645 & positive <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & negative > 0.5000000149011612,rule,0.12376338423114236,0.21149897330595482,0.050541420010470066
257,socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,0.04430049224211064,0.08213552361396304,0.012163634112571042
266,common > 0.7000000178813934 & positive > 0.30000000447034836,rule,-0.09060965465073796,0.7002053388090349,0.04151443496579432
268,common > 0.7000000178813934 & positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.030799794411265506,0.057494866529774126,0.007169753337759353
302,socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & subject to geographical variability > 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,0.11496563592995333,0.4887063655030801,0.05746815266652385
348,common <= 0.9000000059604645 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,0.04780779033992937,0.0513347022587269,0.01055020023046679
379,common <= 0.9000000059604645 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,-0.1769542643957306,0.3921971252566735,0.08639619401114725
389,interdisciplinary > 0.7000000178813934 & common <= 0.7000000178813934 & negative > 0.5000000149011612,rule,0.00212423954595325,0.12320328542094455,0.000698174674340057
401,socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & common <= 0.7000000178813934,rule,-0.03346596067437108,0.10061601642710473,0.010067217010550833
422,common > 0.7000000178813934 & positive <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,-0.052325576822872914,0.0513347022587269,0.011547183183551359
453,positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & negative > 0.5000000149011612,rule,0.0433065667018563,0.21149897330595482,0.017685161006927273
