,rule,type,coef,support,importance
1,technically complicated,linear,-0.04932200820481744,1.0,0.006510042731860297
5,positive,linear,0.08115823525795125,1.0,0.010406464277763853
18,interdisciplinary > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive > 0.5000000149011612,rule,0.007338738511639911,0.5297741273100616,0.003662857696369652
95,positive <= 0.9000000059604645 & positive > 0.5000000149011612 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645,rule,0.013440520406429405,0.4394250513347023,0.006670760270950674
134,technically complicated > 0.30000000447034836 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.0014855886209387105,0.28952772073921973,0.0006737785931071732
366,common > 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.30000000447034836,rule,-0.011097515664593223,0.3326488706365503,0.005228727313505771
520,technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.009426140784004096,0.38809034907597534,0.004593502898824293
806,common > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.0037392813910931393,0.6386036960985626,0.001796369676737628
829,technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,0.003591757294621656,0.44969199178644764,0.0017867651602946405
951,technically complicated <= 0.7000000178813934 & neutral <= 0.9000000059604645,rule,0.0028443288495489435,0.49075975359342916,0.0014219215491125786
1035,positive > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,1.3034198037329566e-05,0.2546201232032854,5.678315367712064e-06
1130,negative <= 0.5000000149011612 & common <= 0.9000000059604645 & positive > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,-0.0041932487497426734,0.5277207392197125,0.0020933996374674344
1134,positive <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.0012767049348342103,0.1601642710472279,0.00046824217798781156
