,rule,type,coef,support,importance
0,conceptually dense,linear,4.117454873692769,1.0,0.20174266417064052
39,common > 0.9000000059604645,rule,1333.0100798838505,0.01026694045174538,134.37330328866665
70,common > 0.7000000178813934 & common > 0.9000000059604645,rule,16.444623871229435,0.002053388090349076,0.7444115759107497
96,common <= 0.9000000059604645 & common > 0.5000000149011612,rule,-3.059975586780971,0.9774127310061602,0.4546621688695671
181,common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & positive > 0.7000000178813934,rule,-1.244199489031827,0.2299794661190965,0.5235831994719188
247,socially controversial > 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,4.474824543177565,0.4086242299794661,2.199732302056866
259,common <= 0.9000000059604645 & positive > 0.7000000178813934,rule,-0.5335887119186494,0.7597535934291582,0.22796672764818918
286,common <= 0.9000000059604645,rule,-108.43510901922113,0.9897330595482546,10.930737892581444
323,common <= 0.9000000059604645 & common > 0.7000000178813934,rule,-8.551716527343224,0.6817248459958932,3.9834486778222136
340,technically complicated > 0.5000000149011612 & common > 0.9000000059604645,rule,115.87586777024656,0.008213552361396304,10.458456619253232
360,common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,-6.312246347669998,0.5112936344969199,3.155317968211184
366,common <= 0.9000000059604645 & unambiguous > 0.7000000178813934,rule,-3.8484932036448836,0.7638603696098563,1.634489567132692
395,common <= 0.9000000059604645 & common > 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.48921465693457017,0.5790554414784395,0.24153050174702034
417,common <= 0.9000000059604645 & socially controversial <= 0.7000000178813934,rule,-6.036525066668882,0.46406570841889117,3.010457638321912
566,socially controversial > 0.5000000149011612 & common > 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,6.9671203238115655,0.004106776180698152,0.44556412595117123
699,socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,8.769770093175445,0.7351129363449692,3.8698632217255575
