,rule,type,coef,support,importance
0,conceptually dense,linear,-11.998488921057808,1.0,0.5878891682388196
9,interdisciplinary,linear,-1.6997661707302307,1.0,0.08541801445717317
16,interdisciplinary > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & positive > 0.30000000447034836,rule,-0.3435342958206363,0.9117043121149897,0.0974690766303482
24,positive <= 0.7000000178813934 & negative > 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.03233565348120835,0.03696098562628337,0.006100639394766013
51,subject to geographical variability > 0.7000000178813934 & interdisciplinary <= 0.7000000178813934 & negative > 0.30000000447034836 & socially controversial > 0.5000000149011612,rule,5.206483740141909,0.018480492813141684,0.7012142904313631
66,socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934,rule,0.6746008337460724,0.27104722792607805,0.29986035755930174
111,interdisciplinary > 0.7000000178813934 & socially controversial > 0.30000000447034836,rule,-0.1887198672585198,0.9096509240246407,0.05410244130502624
113,positive > 0.30000000447034836 & negative <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645 & positive > 0.5000000149011612,rule,-0.42096991238882775,0.8809034907597536,0.13635301288855498
134,technically complicated <= 0.7000000178813934 & negative > 0.5000000149011612,rule,0.438648589021954,0.15605749486652978,0.15918988997958708
163,neutral > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & socially controversial > 0.30000000447034836 & common > 0.7000000178813934,rule,0.3829891460806532,0.14168377823408623,0.13355808743009226
219,interdisciplinary > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,-1.6208526930312512,0.3839835728952772,0.7883081495512468
230,interdisciplinary > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,-2.884205860544183,0.704312114989733,1.316211254005864
234,common <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,-2.466558973369865,0.25667351129363447,1.07738725590016
319,conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,-2.231203048096778,0.4722792607802875,1.1138856602028824
572,subject to geographical variability > 0.7000000178813934 & interdisciplinary <= 0.7000000178813934 & negative > 0.5000000149011612,rule,0.0001262385389834323,0.014373716632443531,1.5025628158500531e-05
575,technically complicated <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive > 0.7000000178813934,rule,0.3606993601957077,0.23819301848049282,0.15364992768012997
639,conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612,rule,-0.9893551704024852,0.8562628336755647,0.34708857152445766
717,socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934 & negative <= 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,-1.0839779246866001,0.09034907597535935,0.31075611115158497
777,interdisciplinary <= 0.7000000178813934 & negative > 0.5000000149011612,rule,0.0635092855725496,0.024640657084188913,0.009845679490248026
780,neutral > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & subject to time variability > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.9000000059604645,rule,-0.571959039941903,0.06981519507186858,0.145755357439813
811,technically complicated > 0.5000000149011612 & negative <= 0.7000000178813934 & negative > 0.30000000447034836 & subject to time variability <= 0.9000000059604645 & positive > 0.5000000149011612,rule,-1.5390177220907848,0.7987679671457906,0.6170246269715028
861,interdisciplinary > 0.7000000178813934 & neutral <= 0.7000000178813934 & socially controversial <= 0.9000000059604645,rule,-0.8291211708691719,0.17248459958932238,0.3132428808769616
890,subject to time variability > 0.7000000178813934 & subject to geographical variability > 0.7000000178813934 & socially controversial > 0.30000000447034836 & interdisciplinary <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,1.4636065434126029,0.04722792607802875,0.31046903336794673
944,negative <= 0.5000000149011612 & socially controversial > 0.30000000447034836,rule,-0.013336119837619188,0.6098562628336756,0.006505123608318494
1026,socially controversial <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,-0.2699142764759318,0.03490759753593429,0.04954162921355054
1041,socially controversial <= 0.7000000178813934 & neutral > 0.5000000149011612 & technically complicated > 0.5000000149011612 & subject to geographical variability > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,2.117254778908178,0.22381930184804927,0.8824768258219232
1049,positive <= 0.5000000149011612 & common > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & positive > 0.30000000447034836,rule,0.22106076710777078,0.08624229979466119,0.06205651208600329
1063,common <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.3120336672082405,0.08213552361396304,0.0856754217985178
1103,negative <= 0.7000000178813934 & positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,0.32113502150232276,0.07802874743326489,0.08613381394450145
