,rule,type,coef,support,importance
0,conceptually dense,linear,4.102615670842443,1.0,0.20101558872985772
9,interdisciplinary,linear,1.7840029076765445,1.0,0.08965114660099867
19,technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,rule,0.11799056974939466,0.7967145790554415,0.0474844921029433
54,technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.30968602980479093,0.38809034907597534,0.15091474954922288
265,interdisciplinary > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,0.8236157591170846,0.7330595482546202,0.3643354839730489
312,subject to time variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.010621817217991733,0.4928131416837782,0.0053103599538921525
421,socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,-0.5960654547725218,0.351129363449692,0.2845159304188816
537,common <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,0.39579698476267616,0.3162217659137577,0.18404583653161508
553,socially controversial > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.02851613580679622,0.4024640657084189,0.013984155459962198
619,conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.019507636158577465,0.8542094455852156,0.006884169031883053
776,common <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.021763449076264547,0.22587268993839835,0.00910051102289116
785,subject to time variability <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,0.12858465442039996,0.6940451745379876,0.05925318028816374
1004,common > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,-0.018064260238458377,0.37782340862423,0.008758332844218503
