,rule,type,coef,support,importance
1,technically complicated,linear,-0.07880210494149122,1.0,0.010401139150687307
5,positive,linear,0.08506515284465055,1.0,0.01090742635724882
48,technically complicated <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.00915751815597498,0.4086242299794661,0.004501648790919098
51,conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.0037825535721629972,0.2915811088295688,0.0017191344612713625
289,socially controversial <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645 & positive > 0.30000000447034836 & technically complicated > 0.5000000149011612,rule,-0.011804334426194836,0.8706365503080082,0.003961555519165047
571,technically complicated > 0.7000000178813934 & neutral > 0.7000000178813934,rule,-2.409751772435673e-05,0.40451745379876797,1.1827023485017691e-05
577,technically complicated <= 0.7000000178813934 & positive > 0.7000000178813934 & neutral > 0.5000000149011612,rule,0.0008871764034394496,0.4209445585215606,0.00043800846688349745
633,socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.0014812909242508706,0.2546201232032854,0.0006453206399915504
709,common > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.003179774390073166,0.6201232032854209,0.0015433224782923135
746,positive > 0.7000000178813934 & subject to time variability > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & subject to geographical variability > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.00016596583056460815,0.19096509240246407,6.523479585532226e-05
796,socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,0.010934662934494733,0.21765913757700206,0.004512236554710802
920,technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & positive > 0.7000000178813934,rule,0.00011253549974731606,0.4455852156057495,5.593354325148853e-05
1029,negative <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & unambiguous > 0.7000000178813934,rule,-0.0017727691163386236,0.4209445585215606,0.000875235048830837
1117,socially controversial > 0.7000000178813934 & positive > 0.5000000149011612 & neutral > 0.5000000149011612,rule,0.006680334044558488,0.39835728952772076,0.0032704227370088605
1126,negative <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & positive > 0.5000000149011612,rule,0.0014682578131596739,0.8767967145790554,0.0004825728917921953
