,rule,type,coef,support,importance
37,positive <= 0.9000000059604645 & neutral > 0.5000000149011612,rule,-0.09971402420147134,0.9958932238193019,0.0063769520222805715
58,technically complicated <= 0.5000000149011612 & negative > 0.30000000447034836 & common > 0.9000000059604645,rule,-2.0629384405172836e-08,0.002053388090349076,9.338463850176983e-10
81,common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612,rule,0.6983223293501806,0.01026694045174538,0.07039397493768104
100,neutral <= 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,0.07780089941889191,0.002053388090349076,0.0035218738109916493
123,interdisciplinary > 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,0.023562586496861233,0.004106776180698152,0.0015068841601230244
130,common > 0.9000000059604645 & technically complicated > 0.5000000149011612,rule,0.7538862752906282,0.008213552361396304,0.06804252738465304
141,common > 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,0.3257009184134117,0.002053388090349076,0.014743756734740071
147,socially controversial > 0.5000000074505806 & common > 0.9000000059604645,rule,0.015770447319742396,0.004106776180698152,0.00100855809133433
158,subject to time variability <= 0.9000000059604645 & common > 0.9000000059604645 & negative > 0.7000000178813934,rule,0.6720434190129985,0.002053388090349076,0.030421912020935308
166,interdisciplinary > 0.7000000178813934 & common > 0.9000000059604645,rule,0.07452371135948599,0.002053388090349076,0.003373522790806481
170,common > 0.9000000059604645 & positive > 0.9000000059604645,rule,0.31688453530324745,0.002053388090349076,0.014344658664984121
172,technically complicated > 0.7000000178813934 & neutral <= 0.7000000178813934 & common > 0.9000000059604645,rule,0.20423203871790854,0.002053388090349076,0.009245130504897177
174,socially controversial > 0.6000000089406967 & neutral <= 0.5000000149011612 & common > 0.9000000059604645 & subject to time variability > 0.9000000059604645,rule,0.021505355872354248,0.002053388090349076,0.0009734996665669475
186,common > 0.9000000059604645,rule,13.648464511963674,0.01026694045174538,1.3758255012223912
195,common <= 0.9000000059604645,rule,-0.022474962431409368,0.9897330595482546,0.0022655754737130746
198,common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,rule,0.032166271553778755,0.002053388090349076,0.0014560956265113644
233,common > 0.9000000059604645 & positive > 0.5000000149011612,rule,0.2803620184345258,0.002053388090349076,0.012691365494439904
311,subject to time variability > 0.9000000059604645 & common > 0.9000000059604645 & positive > 0.5000000149011612,rule,0.34198507892993524,0.002053388090349076,0.015480904491199071
402,neutral <= 0.7000000178813934 & positive <= 0.5000000149011612 & common > 0.9000000059604645 & technically complicated > 0.5000000149011612,rule,0.31881635173316364,0.002053388090349076,0.014432107701473192
419,negative <= 0.7000000178813934 & common > 0.9000000059604645 & technically complicated > 0.5000000149011612 & subject to time variability > 0.9000000059604645,rule,0.006514110931919532,0.006160164271047228,0.000509693971673385
427,negative <= 0.7000000178813934 & common > 0.9000000059604645 & positive > 0.5000000149011612,rule,0.035930747368181006,0.002053388090349076,0.0016265050804107543
440,technically complicated > 0.7000000178813934 & unambiguous > 0.7000000178813934 & common > 0.9000000059604645 & neutral > 0.5000000149011612,rule,-0.27015721242721374,0.004106776180698152,0.017277204444587975
523,negative > 0.6000000089406967 & neutral <= 0.7000000178813934 & common > 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,0.01939709165203517,0.002053388090349076,0.0008780632307461361
607,technically complicated <= 0.5000000149011612 & common > 0.9000000059604645 & socially controversial <= 0.6000000089406967 & positive <= 0.9000000059604645,rule,-0.19288731058683584,0.002053388090349076,0.008731579875070611
