,rule,type,coef,support,importance
66,negative <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.00016770898006048996,0.15811088295687886,6.11877730902908e-05
102,unambiguous > 0.7000000178813934 & negative > 0.5000000149011612,rule,-0.003408361169424181,0.2299794661190965,0.0014343042749773332
143,positive > 0.5000000149011612 & subject to time variability > 0.7000000178813934 & positive <= 0.7000000178813934 & positive <= 0.9000000059604645,rule,0.03868373515349315,0.17248459958932238,0.01461475724936423
351,subject to geographical variability > 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.01194751543938831,0.22176591375770022,0.004963409663691625
394,positive > 0.5000000149011612 & subject to time variability > 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.03174645765224535,0.15195071868583163,0.011396124815038853
468,negative <= 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,0.0028122003186880273,0.3162217659137577,0.0013076748436013348
489,socially controversial > 0.5000000149011612 & negative <= 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.012533813188519361,0.4989733059548255,0.006266893382344969
591,common > 0.7000000178813934 & positive <= 0.9000000059604645 & positive > 0.7000000178813934,rule,-0.0031265606020295243,0.5030800821355236,0.0015632506393469475
604,technically complicated > 0.5000000149011612 & negative > 0.30000000447034836 & positive > 0.7000000178813934,rule,-0.012670830473462659,0.6611909650924025,0.0059971654060409435
663,positive > 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.009382858122308609,0.17248459958932238,0.0035448540121230526
666,unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.9000000059604645,rule,-0.002360745574523274,0.5831622176591376,0.001163931473568973
736,negative <= 0.7000000178813934 & subject to time variability > 0.7000000178813934 & positive > 0.7000000178813934 & socially controversial > 0.30000000447034836,rule,-0.030095765334690137,0.7084188911704312,0.013678237819541543
748,subject to time variability > 0.7000000178813934 & positive > 0.7000000178813934 & positive <= 0.9000000059604645,rule,-0.0031517347779071066,0.6714579055441479,0.0014803164675941463
828,subject to time variability <= 0.9000000059604645 & negative > 0.5000000149011612 & common > 0.5000000149011612 & positive > 0.7000000178813934,rule,-0.013338961690841838,0.11498973305954825,0.004255256194880095
874,positive > 0.5000000149011612 & subject to time variability > 0.7000000178813934 & positive > 0.7000000178813934 & positive <= 0.9000000059604645,rule,-0.0013591773685494369,0.7248459958932238,0.0006069975319139982
916,negative <= 0.7000000178813934 & positive <= 0.7000000178813934 & positive <= 0.9000000059604645,rule,0.013499037172892869,0.18480492813141683,0.005239505977580136
980,subject to geographical variability > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & positive > 0.7000000178813934 & positive <= 0.9000000059604645,rule,-0.04378986986656973,0.728952772073922,0.01946461578286085
1017,socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934,rule,-0.0043965900341143395,0.5071868583162218,0.0021980679173517572
1034,subject to time variability > 0.7000000178813934 & subject to geographical variability > 0.7000000178813934 & technically complicated > 0.5000000149011612 & negative <= 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.7000000178813934,rule,-0.017173474149632058,0.6365503080082136,0.00826031634103056
