,rule,type,coef,support,importance
12,technically complicated <= 0.7000000178813934 & common > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.019455453577650536,0.31006160164271046,0.008998508088633098
22,subject to geographical variability > 0.7000000178813934 & positive <= 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated > 0.7000000178813934,rule,-3.4204680243170535e-05,0.19917864476386038,1.3660756313794734e-05
54,positive > 0.30000000447034836 & common > 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.006166349108556997,0.14784394250513347,0.002188716158035439
70,neutral > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.022155429105098698,0.6468172484599589,0.01058938418723152
113,technically complicated > 0.5000000149011612 & common > 0.7000000178813934,rule,-0.003209987450818403,0.6283367556468172,0.0015512234951372997
156,unambiguous > 0.7000000178813934 & subject to time variability > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.016200180715068305,0.5831622176591376,0.007987264877360132
194,negative <= 0.5000000149011612 & positive > 0.7000000178813934,rule,0.031139258022922882,0.5811088295687885,0.015363409283401033
312,subject to geographical variability > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.1817455419778387,0.29774127310061604,0.08310590052473561
334,subject to time variability <= 0.9000000059604645 & negative <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.07256658958509814,0.7063655030800822,0.03304874649646092
350,positive <= 0.7000000178813934 & negative <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.0580909996407248,0.16837782340862423,0.021737736826154604
418,subject to time variability <= 0.9000000059604645 & positive > 0.7000000178813934,rule,0.12256938549214864,0.7330595482546202,0.054219914916918015
472,technically complicated > 0.5000000149011612 & positive <= 0.7000000178813934 & neutral > 0.5000000149011612,rule,-0.06185309964089259,0.26283367556468173,0.027226054916771894
607,common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.0038765697363846653,0.38809034907597534,0.0018891118570810586
645,unambiguous > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & neutral > 0.5000000149011612,rule,0.01570516908424677,0.43737166324435317,0.007790740492489645
675,socially controversial > 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.06748891114152868,0.28952772073921973,0.030609135637119443
736,socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & negative <= 0.5000000149011612,rule,0.0029918442947927514,0.21149897330595482,0.001221783486678444
839,positive <= 0.7000000178813934 & positive > 0.30000000447034836 & common > 0.5000000149011612,rule,-0.10066158957818118,0.25051334702258726,0.043617540253929984
852,technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,0.00837656081922446,0.3347022587268994,0.00395278408404004
896,negative <= 0.7000000178813934 & subject to time variability > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.02284010007866365,0.7227926078028748,0.010223680226974839
