,rule,type,coef,support,importance
9,interdisciplinary,linear,0.07078646235082894,1.0,0.004233943458826804
10,subject to time variability,linear,0.8573880790383328,1.0,0.0318267456508509
14,neutral <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & negative <= 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,-0.011403271677431551,0.31711409395973156,0.005306538485219438
25,socially controversial <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.1558510304251843,0.3691275167785235,0.07520880377986872
34,negative <= 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.5000000149011612 & subject to time variability <= 0.9000000059604645,rule,0.2902561536515009,0.5469798657718121,0.14448603000047994
112,neutral <= 0.7000000178813934 & negative <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.002765270953923491,0.3422818791946309,0.001312047473727628
139,unambiguous > 0.7000000178813934 & positive > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,0.07349165514427419,0.2516778523489933,0.031893694328990245
141,subject to geographical variability <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,rule,0.18711260963561913,0.7483221476510067,0.08120258504319537
148,neutral <= 0.7000000178813934 & positive > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,0.040723647325703355,0.3640939597315436,0.019595208093979747
205,technically complicated <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,-0.23458346767022276,0.05704697986577181,0.0544074984565035
239,positive > 0.30000000447034836 & interdisciplinary > 0.7000000178813934,rule,0.22438454507293057,0.988255033557047,0.02417426888656598
245,positive > 0.30000000447034836 & conceptually dense > 0.5000000149011612 & socially controversial > 0.5000000149011612,rule,0.1500113045435939,0.9161073825503355,0.04158713973142268
248,positive <= 0.9000000059604645 & subject to time variability <= 0.7000000178813934,rule,-0.2553894515370765,0.016778523489932886,0.0328023912019542
253,positive > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.2512022657192423,0.3087248322147651,0.11604723895149392
256,common <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & positive > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,0.09231060816293142,0.06879194630872483,0.023363815734217547
284,neutral <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.008023206661189228,0.5016778523489933,0.004011580743691861
293,subject to geographical variability <= 0.9000000059604645 & negative > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,-0.13623383740791484,0.3221476510067114,0.06366196318072488
365,positive > 0.30000000447034836 & common > 0.5000000149011612 & negative <= 0.5000000149011612 & common <= 0.7000000178813934 & subject to time variability > 0.7000000178813934,rule,0.1056580737556611,0.02181208053691275,0.015433427375011207
373,neutral > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,0.27365638825504607,0.10234899328859061,0.08294708715982503
