,rule,type,coef,support,importance
11,socially controversial <= 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,-0.05200958893485471,0.04530201342281879,0.01081621164819691
75,common > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & negative <= 0.7000000178813934,rule,0.043665014762221295,0.5100671140939598,0.021828081623614194
88,common > 0.5000000149011612 & technically complicated > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & positive > 0.5000000149011612,rule,-0.020643568493148627,0.7734899328859061,0.008640837935867179
126,subject to geographical variability <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,0.03285030318042593,0.4714765100671141,0.0163984031492133
179,common > 0.7000000178813934 & positive > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.02704916806526858,0.21308724832214765,0.01107633122669576
195,unambiguous <= 0.7000000178813934 & neutral <= 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.02608519005799275,0.30201342281879195,0.011976520535502157
243,subject to time variability <= 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,0.022817575001612446,0.19630872483221476,0.009063249058208505
246,negative > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & neutral <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & neutral > 0.5000000149011612,rule,-0.007811945691833543,0.41946308724832215,0.003854970060179287
303,unambiguous <= 0.7000000178813934 & negative <= 0.7000000178813934,rule,-0.01025599969994812,0.3959731543624161,0.005015785915488946
309,positive <= 0.9000000059604645 & positive > 0.5000000149011612,rule,-0.016094125454983364,0.9110738255033557,0.00458098608114119
341,positive > 0.30000000447034836 & neutral <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,0.008640714669546079,0.13590604026845637,0.00296107582407089
377,socially controversial > 0.7000000178813934 & neutral > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.007232880530614633,0.1342281879194631,0.002465669575019436
382,unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612,rule,-0.015452618429783627,0.6040268456375839,0.0075572375336483
384,unambiguous <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.033722220044408696,0.18791946308724833,0.013173512575027278
388,common > 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,rule,-0.0025557304708483213,0.7718120805369127,0.0010725490466423722
459,neutral > 0.5000000149011612 & common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,-0.041705161189547826,0.8087248322147651,0.0164028566368697
