,rule,type,coef,support,importance
0,conceptually dense,linear,-0.014225358156073158,1.0,0.0009103021030873933
5,positive,linear,0.031586049134157815,1.0,0.004115327357080502
6,negative,linear,-0.006404955428239874,1.0,0.0008669079931965941
168,unambiguous > 0.7000000178813934 & negative > 0.5000000149011612 & positive <= 0.9000000059604645,rule,-0.007313939808933034,0.19463087248322147,0.0028957077968735988
251,positive <= 0.5000000149011612 & socially controversial <= 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645,rule,-0.024815937509508192,0.0436241610738255,0.005068839371750278
279,common <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,-0.0014576131005433932,0.7332214765100671,0.0006446667688218729
534,unambiguous > 0.7000000178813934 & positive <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & subject to time variability > 0.7000000178813934,rule,-0.013654260294692876,0.03355704697986577,0.002458941277965872
598,positive <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & subject to time variability > 0.7000000178813934 & negative <= 0.9000000059604645,rule,-6.24590989392253e-05,0.2483221476510067,2.6984807206337357e-05
684,positive <= 0.5000000149011612 & positive <= 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645,rule,-0.000793379953671593,0.0587248322147651,0.0001865307412320182
721,unambiguous > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.009910845701786075,0.30033557046979864,0.00454317010628191
758,negative > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common <= 0.9000000059604645 & positive <= 0.5000000149011612 & unambiguous <= 0.9000000059604645,rule,-0.010276584412097885,0.03355704697986577,0.0018506690997556175
794,unambiguous > 0.7000000178813934 & positive <= 0.5000000149011612 & negative > 0.30000000447034836,rule,-0.0033778424870461463,0.02181208053691275,0.0004933999348560029
838,positive <= 0.5000000149011612 & common > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,-0.0016544766058919473,0.03859060402684564,0.0003186805807379771
