,rule,type,coef,support,importance
2,common,linear,-0.10303628082671852,1.0,0.00891163059758385
3,socially controversial,linear,0.20535554314505847,1.0,0.02854338761469522
32,technically complicated <= 0.7000000178813934 & positive <= 0.9000000059604645 & common > 0.9000000059604645,rule,-0.07085590714050229,0.06711409395973154,0.01772952883149248
47,positive <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,0.03426718418673297,0.12416107382550336,0.011300125597083028
94,subject to geographical variability <= 0.9000000059604645 & positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.03489586607601692,0.3238255033557047,0.01632897406775437
99,common > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645,rule,-0.020892227772912563,0.7785234899328859,0.008675298923279902
104,unambiguous > 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & socially controversial <= 0.9000000059604645,rule,-0.011520759626868276,0.053691275167785234,0.0025968651421461536
136,neutral > 0.5000000149011612 & negative > 0.5000000149011612 & common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & technically complicated > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,0.07516201134103487,0.28691275167785235,0.033997317710149876
141,neutral <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,0.06196519837061337,0.49161073825503354,0.030978237785476904
142,conceptually dense <= 0.7000000178813934 & negative <= 0.5000000149011612 & socially controversial > 0.5000000149011612,rule,0.32581176818670915,0.013422818791946308,0.03749334288429371
149,socially controversial > 0.5000000149011612 & unambiguous > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,-0.024389617333431153,0.018456375838926176,0.003282713659539247
158,conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934,rule,-0.13179079623224485,0.08892617449664429,0.037512557289994884
172,common <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & subject to time variability > 0.7000000178813934,rule,0.31189124798615053,0.8825503355704698,0.10041505269172768
182,positive <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,-0.22592543240644528,0.10906040268456375,0.07042434254803065
205,positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & subject to geographical variability > 0.9000000059604645,rule,-0.05928964908277182,0.07885906040268456,0.01597966687240981
278,positive > 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,0.08708231734549056,0.40268456375838924,0.0427085018822704
300,positive > 0.30000000447034836 & common <= 0.9000000059604645 & socially controversial > 0.9000000059604645,rule,0.15164153812074874,0.06711409395973154,0.037943668081653496
301,socially controversial > 0.7000000178813934 & technically complicated > 0.5000000149011612 & unambiguous <= 0.7000000178813934,rule,0.02305989969107343,0.5906040268456376,0.011339069024240441
355,positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,0.0017609706510828388,0.24161073825503357,0.0007538003272331617
358,common > 0.9000000059604645 & subject to time variability <= 0.9000000059604645,rule,-0.02255228344022362,0.08053691275167785,0.006136986378851664
