,rule,type,coef,support,importance
24,subject to time variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.0026419730589420883,0.41442953020134227,0.0013014974304829728
39,positive <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & subject to time variability > 0.7000000178813934,rule,-0.0013397972371820051,0.8640939597315436,0.00045913345827273093
60,common > 0.7000000178813934 & common <= 0.9000000059604645 & negative > 0.7000000178813934,rule,0.0012687655694838757,0.33053691275167785,0.0005968355530844029
100,socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.0012972176853714166,0.4110738255033557,0.0006382681914404776
104,subject to geographical variability <= 0.9000000059604645 & positive > 0.9000000059604645,rule,0.003938573528446126,0.010067114093959731,0.00039318263503746343
122,unambiguous <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,0.00778332357726293,0.540268456375839,0.0038790202190783145
141,negative <= 0.5000000149011612 & technically complicated <= 0.7000000178813934 & negative <= 0.7000000178813934,rule,0.030657035293029423,0.10738255033557047,0.009491387341849492
183,interdisciplinary <= 0.9000000059604645 & conceptually dense > 0.5000000149011612 & unambiguous > 0.7000000178813934,rule,0.005639228990476853,0.2701342281879195,0.0025039810449979734
202,common > 0.9000000059604645 & negative > 0.5000000149011612,rule,-0.005800655564665173,0.06879194630872483,0.0014681459742015093
225,common > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & neutral <= 0.7000000178813934,rule,0.008917450533280958,0.5218120805369127,0.004454480618800224
249,positive <= 0.5000000149011612 & socially controversial <= 0.9000000059604645,rule,-0.0025650413460126457,0.053691275167785234,0.0005781794495641769
277,positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,-0.005088702475590551,0.053691275167785234,0.0011470314897287833
288,common > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,0.006427225228313282,0.40939597315436244,0.003160410560085631
324,positive > 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,0.004313200400360702,0.031879194630872486,0.0007577362845946126
364,interdisciplinary <= 0.9000000059604645 & positive <= 0.9000000059604645 & subject to time variability > 0.7000000178813934,rule,-0.00014970110497624937,0.8942953020134228,4.602699540021467e-05
392,neutral > 0.7000000178813934 & positive <= 0.9000000059604645,rule,-0.014805231996629215,0.3271812080536913,0.006946378589076466
429,socially controversial <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.012212157238096365,0.18959731543624161,0.004786950259500751
432,common > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & common > 0.7000000178813934,rule,0.05047424743474335,0.41778523489932884,0.02489361700840934
469,positive <= 0.9000000059604645 & neutral > 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.009417926360102502,0.2902684563758389,0.00427466677695028
524,negative <= 0.5000000149011612 & neutral <= 0.7000000178813934,rule,0.0002544947487203593,0.030201342281879196,4.3554470418584976e-05
565,positive <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934,rule,-0.013270487691167497,0.09395973154362416,0.0038719658403700242
585,subject to time variability <= 0.9000000059604645 & positive <= 0.9000000059604645,rule,-0.0018002095395484765,0.9446308724832215,0.00041170673008657417
610,subject to time variability <= 0.9000000059604645 & common > 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & negative > 0.7000000178813934,rule,-0.021800489105316394,0.018456375838926176,0.0029342306766151657
639,positive <= 0.9000000059604645 & neutral <= 0.7000000178813934 & subject to time variability > 0.7000000178813934 & positive <= 0.7000000178813934 & negative > 0.7000000178813934,rule,0.0007580334823242908,0.23825503355704697,0.0003229343388794757
660,subject to geographical variability <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.010834772486390639,0.1912751677852349,0.004261372327027632
671,socially controversial <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,0.03664945270998815,0.15771812080536912,0.013357864055715724
677,technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & neutral <= 0.7000000178813934 & positive > 0.5000000149011612,rule,0.005342176200176395,0.5536912751677853,0.0026556432727461283
689,socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,0.0013722023439750066,0.2197986577181208,0.00056824290432881
725,positive <= 0.9000000059604645 & subject to time variability > 0.7000000178813934,rule,-0.001932478773816535,0.9748322147651006,0.00030269285409121905
748,socially controversial <= 0.7000000178813934 & positive <= 0.9000000059604645 & technically complicated > 0.5000000149011612,rule,-0.03846788547991874,0.17114093959731544,0.01448823945114504
756,positive <= 0.9000000059604645 & negative <= 0.7000000178813934,rule,-0.00026143144638099213,0.6040268456375839,0.0001278553241991921
770,positive <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & unambiguous > 0.7000000178813934,rule,-0.016822248873861467,0.2835570469798658,0.007582197346058106
795,socially controversial <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,0.011318118025169495,0.050335570469798654,0.0024745532375041734
857,interdisciplinary <= 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & technically complicated > 0.5000000149011612,rule,-0.0010721433706079371,0.6845637583892618,0.000498213637241151
897,socially controversial > 0.7000000178813934 & negative > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & subject to time variability > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,-0.008108558857560679,0.2785234899328859,0.003634843238082104
1021,positive <= 0.7000000178813934 & negative > 0.5000000149011612 & negative > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.030474214672528928,0.10067114093959731,0.009169471032654235
1027,positive <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive > 0.7000000178813934,rule,-0.00933997996189443,0.6057046979865772,0.004564436996555384
1034,subject to time variability > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,-0.009746071385949169,0.12248322147651007,0.0031951820139412795
1068,socially controversial <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.5000000149011612,rule,0.023545680607862385,0.020134228187919462,0.0033072120027058177
1072,socially controversial > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,0.01025046915465993,0.6174496644295302,0.004981828997676131
1157,subject to geographical variability <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & subject to time variability > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.013321505067907673,0.3087248322147651,0.006154100073033696
