,rule,type,coef,support,importance
2,common,linear,-1.5909781435455495,1.0,0.1376040496643304
19,technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.0037857415193617307,0.412751677852349,0.0018638298983461223
25,conceptually dense <= 0.7000000178813934 & negative > 0.5000000149011612 & negative <= 0.7000000178813934,rule,-0.5136419399707597,0.04530201342281879,0.10681991624800195
35,socially controversial <= 0.9000000059604645 & positive > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & common <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & common > 0.5000000149011612 & negative > 0.5000000149011612,rule,-0.02402874519113315,0.018456375838926176,0.0032341421754247734
62,negative > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.17038436507687138,0.28859060402684567,0.07720236991181977
106,negative <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common <= 0.9000000059604645,rule,0.21430679012148274,0.053691275167785234,0.04830634880132399
116,socially controversial <= 0.5000000149011612 & positive <= 0.9000000059604645,rule,-0.32958290653693617,0.06375838926174497,0.08052436661109516
163,socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.11994145298649243,0.07718120805369127,0.032009825490136805
165,negative > 0.7000000178813934 & subject to geographical variability > 0.9000000059604645,rule,0.24214608734643955,0.10067114093959731,0.07286000828744185
176,technically complicated > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,0.09213612194600959,0.22651006711409397,0.03856568199625913
181,technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,0.25536321485864066,0.4211409395973154,0.12608356667766588
189,common <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645,rule,0.19825392744920825,0.6946308724832215,0.09130854121249316
287,common <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & positive > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.15084421935975983,0.587248322147651,0.07426496621533801
291,common <= 0.9000000059604645 & conceptually dense > 0.5000000149011612 & positive > 0.5000000149011612,rule,0.8365909339500072,0.802013422818792,0.3333664160645082
301,technically complicated <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & negative <= 0.7000000178813934 & common <= 0.9000000059604645 & neutral > 0.7000000178813934,rule,0.11078705450805469,0.1174496644295302,0.03566848376739833
317,technically complicated > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,0.046625197394637746,0.3238255033557047,0.021817530979241693
361,unambiguous <= 0.7000000178813934 & negative <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.5000000149011612 & neutral > 0.7000000178813934,rule,0.08538419896061135,0.15604026845637584,0.03098537206832116
376,negative > 0.5000000149011612 & positive > 0.30000000447034836 & conceptually dense > 0.7000000178813934,rule,0.06027289823653127,0.8154362416107382,0.023382464981027303
420,common <= 0.9000000059604645 & positive <= 0.7000000178813934 & negative > 0.7000000178813934,rule,0.3070999068667578,0.2651006711409396,0.13554984450683283
428,socially controversial <= 0.9000000059604645 & interdisciplinary <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,-0.05785981922126281,0.43288590604026844,0.0286681069356216
461,technically complicated > 0.7000000178813934 & neutral <= 0.7000000178813934 & negative > 0.5000000149011612 & socially controversial > 0.7000000178813934,rule,0.10660560906211566,0.3271812080536913,0.050017650546315996
