,rule,type,coef,support,importance
2,common,linear,13.498291022937355,1.0,1.1674701603156747
13,negative > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645,rule,0.901123222773262,0.08892617449664429,0.25649315040222986
51,unambiguous > 0.5000000149011612 & positive > 0.5000000149011612 & negative <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,-1.101131963138838,0.030201342281879196,0.18844875879221726
76,negative <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,-0.21598635983836592,0.030201342281879196,0.03696410856294182
85,subject to time variability <= 0.9000000059604645 & common <= 0.9000000059604645 & positive > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,-4.2179935156504795,0.7953020134228188,1.7018792146204293
91,common > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive > 0.5000000149011612,rule,0.711776455833602,0.7265100671140939,0.3172744565818001
125,subject to time variability > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & negative <= 0.5000000149011612 & common <= 0.9000000059604645 & positive <= 0.9000000059604645,rule,-0.31475028236155855,0.08053691275167785,0.08565067039497294
143,conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612,rule,-0.315358198470778,0.7953020134228188,0.12724096448848937
151,common <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645,rule,-0.5231331538972384,0.7885906040268457,0.21359947768434567
166,negative > 0.7000000178813934 & neutral <= 0.7000000178813934,rule,-0.15671272447675783,0.34395973154362414,0.07444290467382605
188,socially controversial <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & subject to time variability <= 0.9000000059604645,rule,2.904414676388765,0.016778523489932886,0.37304495488831996
213,neutral > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,0.5540325761995651,0.016778523489932886,0.07116031297982665
236,technically complicated > 0.7000000178813934 & negative <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,-1.8452763147804268,0.21644295302013422,0.7599209945366368
316,common <= 0.9000000059604645 & negative > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645,rule,0.641994739452769,0.2231543624161074,0.2673015799084123
331,conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,-1.4319029671969559,0.802013422818792,0.5705875368177364
372,positive > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,-0.8398522792917464,0.6258389261744967,0.40640916467077465
373,subject to geographical variability > 0.9000000059604645 & neutral <= 0.7000000178813934,rule,-2.1222548039813147,0.12919463087248323,0.7118365886065942
377,common <= 0.9000000059604645 & interdisciplinary <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,-2.4249242281309162,0.837248322147651,0.8951339991726346
423,positive <= 0.7000000178813934 & common <= 0.9000000059604645 & positive > 0.30000000447034836 & socially controversial > 0.9000000059604645 & common > 0.7000000178813934,rule,-2.6499519570306123,0.06040268456375839,0.631301766409694
449,positive <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & negative > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.18635615065323402,0.19798657718120805,0.07425956884509895
473,common <= 0.9000000059604645 & subject to geographical variability > 0.9000000059604645 & conceptually dense > 0.7000000178813934 & negative > 0.7000000178813934,rule,-0.4702629285767866,0.07550335570469799,0.12424431919733736
490,common <= 0.9000000059604645 & neutral > 0.5000000149011612 & positive > 0.5000000149011612,rule,-0.2619771593256087,0.837248322147651,0.09670597522124234
614,unambiguous <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,0.32892923938928625,0.28187919463087246,0.1479901282041066
618,conceptually dense <= 0.7000000178813934 & negative > 0.5000000149011612 & common <= 0.9000000059604645 & negative <= 0.7000000178813934,rule,3.472637287302088,0.031879194630872486,0.6100674746308904
680,common > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.5000000149011612 & interdisciplinary > 0.9000000059604645,rule,-0.08349153920342378,0.087248322147651,0.02356119585791172
778,common > 0.7000000178813934 & neutral <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & positive > 0.7000000178813934,rule,0.14989664860444268,0.337248322147651,0.07086670489864502
793,positive > 0.7000000178813934 & negative > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,-0.20198093161500053,0.44798657718120805,0.1004425409861587
813,unambiguous <= 0.7000000178813934 & neutral > 0.5000000149011612 & socially controversial > 0.7000000178813934,rule,-1.1718992351674407,0.5939597315436241,0.5755105973770679
814,common <= 0.9000000059604645 & positive > 0.30000000447034836 & conceptually dense > 0.7000000178813934,rule,-0.6847489833936644,0.8137583892617449,0.26657381978411143
838,neutral <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & common <= 0.9000000059604645 & negative > 0.5000000149011612 & common > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,-0.36330320097597985,0.45302013422818793,0.1808479735403342
843,socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,0.2607431575239456,0.08053691275167785,0.07095411027200894
863,conceptually dense > 0.5000000149011612 & positive > 0.5000000149011612,rule,-0.40515652502868443,0.9228187919463087,0.10812766845353275
870,negative <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & common <= 0.9000000059604645 & neutral > 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,-0.5418544441414324,0.28187919463087246,0.24378832604039816
894,neutral <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,-0.8775952667793594,0.6040268456375839,0.4291956032949125
906,conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & negative > 0.5000000149011612,rule,1.932184061630471,0.0436241610738255,0.3946629314853959
1028,neutral <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,-0.1009915401023435,0.5687919463087249,0.050015561201731895
1036,common <= 0.9000000059604645 & conceptually dense > 0.5000000149011612,rule,-1.3789887075910576,0.8808724832214765,0.4467075329058106
1067,unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,-0.30928694866784195,0.6124161073825504,0.15068421376637062
