,rule,type,coef,support,importance
47,technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,-0.0023804584650060504,0.4513422818791946,0.0011845799150535083
81,negative <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & neutral <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.024966895502321788,0.018456375838926176,0.003360412251709184
98,common > 0.9000000059604645 & negative <= 0.7000000178813934,rule,0.02520809221154188,0.07214765100671142,0.006522145942148355
131,positive > 0.7000000178813934 & subject to geographical variability > 0.9000000059604645 & interdisciplinary <= 0.9000000059604645,rule,-0.0355997618779715,0.0587248322147651,0.008369823235450788
137,common <= 0.9000000059604645 & positive > 0.5000000149011612 & socially controversial > 0.9000000059604645,rule,-0.005985397677964453,0.06543624161073826,0.0014801531446547434
155,common > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,-0.02010300338583516,0.010067114093959731,0.002006856489112727
173,common > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial > 0.9000000059604645,rule,0.008800429973717232,0.025167785234899327,0.0013784509833003093
176,common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & negative <= 0.7000000178813934,rule,-0.0016225751965037434,0.37919463087248323,0.0007872517862614744
179,subject to geographical variability <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & negative <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & unambiguous <= 0.9000000059604645,rule,0.002531457939311978,0.5285234899328859,0.0012636677237380773
219,positive > 0.30000000447034836 & common <= 0.9000000059604645 & subject to geographical variability > 0.9000000059604645 & interdisciplinary <= 0.9000000059604645,rule,-0.00518380673478215,0.1493288590604027,0.0018475726506930563
235,neutral <= 0.7000000178813934 & positive > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,-0.003946274167066717,0.5335570469798657,0.0019686882659060976
265,socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.001792437261797611,0.0738255033557047,0.00046869851871023707
270,unambiguous <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & subject to time variability > 0.7000000178813934 & positive <= 0.7000000178813934 & neutral <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & negative > 0.7000000178813934,rule,0.05839597953584972,0.17953020134228187,0.022412123470292408
278,socially controversial <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & negative <= 0.7000000178813934,rule,0.00842905485224396,0.3573825503355705,0.004039446020516867
287,common <= 0.9000000059604645 & negative <= 0.7000000178813934 & socially controversial > 0.9000000059604645,rule,-0.027489596220570615,0.01174496644295302,0.002961616141625132
321,neutral > 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.011148520717382203,0.15268456375838926,0.004009935349416545
323,positive > 0.5000000149011612 & positive <= 0.9000000059604645,rule,-0.0059411779704855614,0.8808724832214765,0.0019245762776304016
327,technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,-0.0065183691066574585,0.04194630872483222,0.0013067146126688692
331,negative <= 0.5000000149011612 & unambiguous > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.028198954482906494,0.050335570469798654,0.006165319530573113
361,conceptually dense > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & subject to time variability > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common > 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,-0.0730125902174795,0.028523489932885907,0.012153888245043574
365,unambiguous > 0.5000000149011612 & interdisciplinary > 0.9000000059604645 & subject to geographical variability > 0.9000000059604645,rule,0.03921946280087637,0.03523489932885906,0.007231009809622051
375,common > 0.9000000059604645 & unambiguous > 0.7000000178813934,rule,0.0006507428516479464,0.050335570469798654,0.00014227611222529274
380,subject to time variability <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & positive <= 0.9000000059604645 & positive > 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.0881004284180133,0.016778523489932886,0.011315677686115745
395,neutral > 0.7000000178813934 & common <= 0.9000000059604645 & positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,-0.019559619789067142,0.020134228187919462,0.0027473323201863404
428,common > 0.7000000178813934 & neutral > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.017545181921869376,0.03523489932885906,0.003234857734609409
433,neutral > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.009903158098421393,0.15100671140939598,0.003545879442315106
435,common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645,rule,0.0015636836451076092,0.0738255033557047,0.0004088824885610495
439,socially controversial <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & unambiguous <= 0.7000000178813934,rule,-2.5674743765009242e-05,0.07885906040268456,6.9198225785847074e-06
458,positive > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & subject to geographical variability > 0.9000000059604645 & interdisciplinary <= 0.9000000059604645,rule,-0.008806600480488461,0.03859060402684564,0.0016963023505167053
500,technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,-0.006040580425661827,0.053691275167785234,0.0013615918788156946
548,common > 0.9000000059604645 & unambiguous > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.00661288711651193,0.06040268456375839,0.0015753973601845429
561,technically complicated <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.04765941132048874,0.47651006711409394,0.023803393769456397
587,subject to geographical variability <= 0.9000000059604645 & interdisciplinary <= 0.9000000059604645,rule,0.002456288517600535,0.761744966442953,0.0010464180369663834
600,common > 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.014849726253072064,0.3540268456375839,0.0071013968047327685
705,unambiguous <= 0.7000000178813934 & subject to geographical variability > 0.9000000059604645,rule,-0.05410425767252225,0.14261744966442952,0.01891930140060669
716,positive > 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,-0.038257338709346396,0.05536912751677853,0.008749428039243756
738,neutral <= 0.7000000178813934 & common <= 0.9000000059604645 & positive <= 0.5000000149011612,rule,0.03976556806560694,0.07214765100671142,0.010288634150488085
741,neutral <= 0.7000000178813934 & positive > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,0.015128318067748586,0.03691275167785235,0.0028524081830883226
770,common <= 0.9000000059604645 & neutral <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.046690589896977566,0.2751677852348993,0.020851960741941764
