,rule,type,coef,support,importance
20,positive > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645,rule,0.007118743307429949,0.6006711409395973,0.003486479092819051
21,common <= 0.9000000059604645 & subject to geographical variability > 0.9000000059604645 & positive <= 0.7000000178813934 & interdisciplinary > 0.9000000059604645,rule,-0.04737099210833826,0.02181208053691275,0.006919459539617964
27,common <= 0.9000000059604645 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645,rule,-0.004866107271573143,0.8171140939597316,0.0018811054791179915
65,negative > 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,-0.006577340701926756,0.3523489932885906,0.003142008666264326
97,unambiguous > 0.7000000178813934 & negative <= 0.7000000178813934,rule,0.013893836218649449,0.19966442953020133,0.005554034658911532
110,technically complicated > 0.7000000178813934 & negative > 0.7000000178813934 & interdisciplinary > 0.9000000059604645,rule,-0.0021674077327386043,0.05704697986577181,0.0005026920014643391
143,negative > 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.02455686621171582,0.0738255033557047,0.0064212941021175194
169,common > 0.5000000149011612 & positive > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,0.03711078354813286,0.9161073825503355,0.010288100257872797
189,conceptually dense > 0.5000000149011612 & positive > 0.30000000447034836 & positive > 0.7000000178813934,rule,0.020254181867602476,0.6510067114093959,0.009654192981246253
198,negative > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,0.005655563519915776,0.2332214765100671,0.002391636236310937
213,common > 0.5000000149011612 & unambiguous > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.0021295471890918722,0.3053691275167785,0.000980791905517031
217,socially controversial <= 0.7000000178813934 & neutral > 0.7000000178813934 & neutral > 0.5000000149011612 & positive <= 0.9000000059604645,rule,-0.011623164205014415,0.16275167785234898,0.00429056270590945
275,negative <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.01626450033369757,0.0738255033557047,0.0042529506479468395
299,positive <= 0.9000000059604645 & unambiguous > 0.5000000149011612,rule,-0.058479795477824066,0.9899328859060402,0.005837961362497226
314,technically complicated > 0.7000000178813934 & positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & positive <= 0.9000000059604645,rule,-0.019563484121417736,0.0050335570469798654,0.0013844839214793405
329,subject to geographical variability <= 0.9000000059604645 & positive > 0.5000000149011612 & positive > 0.9000000059604645,rule,0.055129077021337715,0.01174496644295302,0.005939380232042558
330,positive <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & positive > 0.30000000447034836 & conceptually dense > 0.7000000178813934,rule,-0.022575832182161696,0.08892617449664429,0.006425920643276665
332,unambiguous > 0.5000000149011612 & neutral <= 0.7000000178813934 & negative <= 0.5000000149011612 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,0.011429332819702273,0.013422818791946308,0.0013152498963826243
346,unambiguous <= 0.7000000178813934 & positive <= 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & socially controversial > 0.9000000059604645,rule,0.004970016943062528,0.028523489932885907,0.0008273234838269559
361,socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,-0.01842832656691313,0.010067114093959731,0.0018396756964363238
372,common <= 0.9000000059604645 & positive <= 0.5000000149011612 & interdisciplinary > 0.9000000059604645,rule,-0.0030300846889562767,0.008389261744966443,0.00027636767807768283
373,negative <= 0.5000000149011612 & positive > 0.30000000447034836 & conceptually dense > 0.7000000178813934,rule,0.0013867274531469422,0.08053691275167785,0.00037735990298719204
379,common > 0.7000000178813934 & negative > 0.5000000149011612,rule,-0.0022408300600854554,0.7684563758389261,0.0009452244441365695
384,common <= 0.9000000059604645 & positive <= 0.5000000149011612 & neutral > 0.5000000149011612,rule,-0.055251018693664236,0.07718120805369127,0.0147453230096825
410,socially controversial <= 0.5000000149011612 & positive > 0.9000000059604645 & positive > 0.5000000149011612 & negative <= 0.5000000149011612 & common > 0.5000000149011612,rule,0.023274042973956726,0.010067114093959731,0.0023234172165082735
421,negative > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & interdisciplinary > 0.9000000059604645 & common <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,-0.008747712719247656,0.030201342281879196,0.0014970917740994311
477,socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,-0.01177018651135994,0.010067114093959731,0.001175002298165731
484,common <= 0.9000000059604645 & positive <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,-0.022726250952383224,0.27348993288590606,0.010130229599424476
490,negative > 0.7000000178813934 & positive <= 0.5000000149011612 & unambiguous > 0.7000000178813934,rule,-0.0001570035125903144,0.03691275167785235,2.9602636729389644e-05
499,technically complicated > 0.7000000178813934 & negative <= 0.7000000178813934 & interdisciplinary > 0.9000000059604645 & negative <= 0.9000000059604645,rule,0.0016409359385345737,0.050335570469798654,0.0003587684215880819
502,unambiguous <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & common > 0.5000000149011612 & socially controversial > 0.9000000059604645 & positive <= 0.5000000149011612,rule,0.013435926596683322,0.02181208053691275,0.001962579762957142
534,negative > 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.007718055314611518,0.0436241610738255,0.0015764700663458697
565,common <= 0.9000000059604645 & positive <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.004760491878481849,0.04865771812080537,0.0010242267099126567
587,common > 0.5000000149011612 & positive > 0.5000000149011612,rule,0.020379844217773085,0.9010067114093959,0.006086501717380003
589,negative <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common <= 0.9000000059604645 & negative <= 0.7000000178813934,rule,-0.0009752871166990688,0.050335570469798654,0.00021323332083627474
614,subject to geographical variability > 0.9000000059604645 & positive <= 0.5000000149011612 & subject to time variability <= 0.9000000059604645,rule,-0.0015857734396351486,0.02181208053691275,0.00023163321404503161
619,common > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.00625659830807774,0.2802013422818792,0.002809822558070036
628,technically complicated > 0.7000000178813934 & negative > 0.7000000178813934 & positive > 0.30000000447034836 & socially controversial > 0.7000000178813934,rule,0.013276598016686233,0.22986577181208054,0.00558608027778703
669,neutral <= 0.7000000178813934 & positive <= 0.5000000149011612 & positive <= 0.9000000059604645,rule,-0.013683093801009806,0.09563758389261745,0.004024110102889634
687,positive <= 0.5000000149011612 & socially controversial > 0.9000000059604645 & interdisciplinary > 0.9000000059604645,rule,-0.039800695102510206,0.0050335570469798654,0.0028166466714791725
705,neutral <= 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.013108942089449517,0.06040268456375839,0.0031229616351630576
720,neutral > 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,0.005898179168304049,0.03355704697986577,0.0010621795621853175
731,technically complicated > 0.7000000178813934 & positive <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645,rule,0.0007387880936820031,0.09563758389261745,0.00021727283865151308
766,neutral <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & positive <= 0.5000000149011612 & positive <= 0.9000000059604645,rule,-0.006376926728201936,0.08221476510067115,0.0017516884659376877
775,socially controversial <= 0.5000000149011612 & positive > 0.9000000059604645,rule,0.0013978638506525654,0.015100671140939598,0.000170474301480242
801,neutral <= 0.7000000178813934 & positive > 0.5000000149011612 & common <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & positive <= 0.9000000059604645,rule,0.004616838531594445,0.5067114093959731,0.0023082113000971794
813,neutral <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,-0.0010281057854007068,0.006711409395973154,8.394259528346634e-05
817,conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.03170667971694628,0.04697986577181208,0.006708998417418159
851,neutral <= 0.7000000178813934 & negative > 0.5000000149011612,rule,-0.004853236820483476,0.6308724832214765,0.0023420193933475176
869,negative > 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & neutral > 0.5000000149011612 & socially controversial > 0.7000000178813934 & negative <= 0.9000000059604645,rule,-0.011846439199044817,0.22818791946308725,0.004971528576260583
