,rule,type,coef,support,importance
2,common,linear,0.0027641003184462683,1.0,0.00023906764466860976
75,unambiguous <= 0.9000000059604645 & common > 0.9000000059604645,rule,0.27501246281613995,0.07885906040268456,0.07412099092419618
87,common <= 0.9000000059604645 & unambiguous <= 0.9000000059604645,rule,-13.137834889597396,0.9144295302013423,3.6750299181587867
161,unambiguous <= 0.7000000178813934 & common > 0.9000000059604645,rule,0.056191506300377767,0.04194630872483222,0.011264514357676588
271,positive > 0.30000000447034836 & common > 0.9000000059604645 & positive > 0.7000000178813934,rule,0.019122210695360655,0.06375838926174497,0.004671977441509884
276,unambiguous <= 0.9000000059604645 & positive > 0.5000000149011612 & negative > 0.5000000149011612 & common > 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,0.25143639303384624,0.053691275167785234,0.05667563821171814
318,common <= 0.9000000059604645 & unambiguous <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,-0.0009838484369896164,0.9010067114093959,0.000293829292186477
420,conceptually dense <= 0.9000000059604645 & common > 0.9000000059604645 & positive > 0.7000000178813934,rule,0.02283490490219098,0.06040268456375839,0.005439991378826351
421,common > 0.9000000059604645,rule,0.62716943326731,0.10570469798657718,0.1928290684609811
444,common <= 0.9000000059604645,rule,-2.8093974043123885e-15,0.8942953020134228,8.637753303569573e-16
479,unambiguous <= 0.9000000059604645 & common > 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,0.2342343265951545,0.08892617449664429,0.06667179231696821
662,common > 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,1.279928186802501,0.11409395973154363,0.40692161658630416
663,subject to time variability > 0.7000000178813934 & common > 0.9000000059604645,rule,0.10079481783898794,0.10738255033557047,0.031205974387827358
686,unambiguous <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & common > 0.9000000059604645,rule,0.2736997532775637,0.05704697986577181,0.06347983108907163
747,conceptually dense > 0.5000000149011612 & common > 0.9000000059604645,rule,0.17255293120656526,0.07718120805369127,0.04605071122788356
772,unambiguous <= 0.7000000178813934 & common > 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,0.015707120519226826,0.040268456375838924,0.003087834047404038
858,technically complicated > 0.7000000178813934 & common > 0.9000000059604645 & positive > 0.5000000149011612,rule,0.2450238451289656,0.025167785234899327,0.03837918843269666
874,technically complicated > 0.7000000178813934 & unambiguous <= 0.9000000059604645 & positive > 0.5000000149011612 & positive > 0.30000000447034836 & common > 0.9000000059604645,rule,6.6800363262831425e-15,0.020134228187919462,9.382738466866578e-16
