,rule,type,coef,support,importance
1,technically complicated,linear,13.31318130517003,1.0,1.5264055136689179
2,common,linear,-14.768701684481739,1.0,1.2773482579340807
3,socially controversial,linear,6.004767142695189,1.0,0.8346324304908789
5,positive,linear,8.329684412672972,1.0,1.0852695756193729
6,negative,linear,-16.709922419942842,1.0,2.261680892840228
7,neutral,linear,-0.973021273295586,1.0,0.0921114553511591
10,subject to time variability,linear,-4.519635288086661,1.0,0.16777149842097727
26,positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & common > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,-1.168478162409116,0.4865771812080537,0.5840285161371416
71,positive > 0.7000000178813934 & common > 0.5000000149011612 & negative > 0.5000000149011612 & subject to geographical variability > 0.9000000059604645 & interdisciplinary > 0.9000000059604645,rule,2.4498153221021255,0.010067114093959731,0.24456185386471233
79,common > 0.5000000149011612 & unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & interdisciplinary > 0.9000000059604645,rule,-1.3100033551103087,0.016778523489932886,0.1682577031728441
92,common <= 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,-1.1536552644933302,0.006711409395973154,0.09419343645290351
99,unambiguous <= 0.7000000178813934 & common > 0.5000000149011612 & common > 0.9000000059604645 & positive <= 0.7000000178813934 & interdisciplinary > 0.9000000059604645,rule,0.11234585414306984,0.010067114093959731,0.011215339423898974
103,negative > 0.6000000089406967 & common <= 0.5000000149011612 & positive > 0.6000000089406967,rule,81.7192951660581,0.0016778523489932886,3.344543395357368
107,socially controversial > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.5000000149011612 & common > 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,-0.9578213053325011,0.016778523489932886,0.12302320620521734
118,unambiguous <= 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.6000000089406967 & technically complicated <= 0.7000000178813934,rule,-57.794340066459284,0.0016778523489932886,2.365361546077051
129,neutral > 0.5000000149011612 & common > 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,-2.355323975164976,0.9932885906040269,0.19230706607847733
152,positive > 0.7000000178813934 & common > 0.5000000149011612 & unambiguous > 0.5000000149011612 & neutral <= 0.7000000178813934 & interdisciplinary > 0.9000000059604645,rule,0.9928578301770847,0.016778523489932886,0.1275233207847037
157,positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.5000000149011612 & interdisciplinary > 0.9000000059604645,rule,9.503615315436763,0.04194630872483222,1.9051564590261363
171,positive > 0.7000000178813934 & negative > 0.7000000178813934 & interdisciplinary > 0.9000000059604645,rule,10.833624938001632,0.008389261744966443,0.9881122399622789
176,positive > 0.7000000178813934 & negative > 0.7000000178813934 & common > 0.5000000149011612 & interdisciplinary > 0.9000000059604645,rule,8.567796415084526e-15,0.006711409395973154,6.995418926295245e-16
178,common <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & unambiguous > 0.5000000149011612 & common > 0.5000000149011612,rule,1.2751878542996888,0.05704697986577181,0.295757334920534
186,interdisciplinary <= 0.9000000059604645 & common > 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.9000000059604645,rule,-7.793902637409326,0.02348993288590604,1.1804136601012805
209,common <= 0.7000000178813934 & positive > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,5.014361603524057,0.06040268456375839,1.194578388231932
223,subject to time variability > 0.7000000178813934 & common > 0.7000000178813934 & common > 0.9000000059604645,rule,-2.8670314979328744,0.09228187919463088,0.829786150149402
224,unambiguous <= 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial <= 0.6000000089406967 & technically complicated <= 0.7000000178813934,rule,25.24620392718728,0.0016778523489932886,1.0332568878737731
227,positive > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,3.188516301616428,0.912751677852349,0.8997948510146556
230,common <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934 & neutral <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & positive <= 0.5000000149011612 & common <= 0.9000000059604645 & negative > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,0.5417222800812366,0.0016778523489932886,0.02217118576808487
239,common <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,rule,0.15108003203123765,0.003355704697986577,0.008737134650782718
241,common > 0.5000000149011612 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,5.589941347580353,0.04697986577181208,1.1828077865350477
249,positive <= 0.7000000178813934 & common > 0.9000000059604645 & common > 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,-1.8552144061151572,0.04865771812080537,0.39915206156466837
263,positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & neutral <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,0.7292864899422272,0.12248322147651007,0.2390915255385064
272,positive > 0.7000000178813934 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,133.83604768399846,0.0016778523489932886,5.477537079005165
