,rule,type,coef,support,importance
10,subject to time variability,linear,-0.05046740815244916,1.0,0.0018733796307586247
47,socially controversial <= 0.9000000059604645 & subject to geographical variability > 0.9000000059604645 & negative > 0.7000000178813934,rule,0.0004939731811435007,0.05536912751677853,0.00011297133955309612
71,interdisciplinary > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & common > 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.00798323471121617,0.01174496644295302,0.0008600809045506265
95,socially controversial > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & subject to time variability > 0.9000000059604645 & conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & positive > 0.5000000149011612,rule,-0.052041899684108966,0.020134228187919462,0.0073097736330214646
113,socially controversial > 0.7000000178813934 & common > 0.5000000149011612 & neutral <= 0.7000000178813934 & positive <= 0.7000000178813934 & neutral > 0.5000000149011612,rule,0.08681307105113988,0.2651006711409396,0.03831814344134019
132,neutral <= 0.7000000178813934 & positive <= 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & common > 0.7000000178813934 & socially controversial > 0.6000000089406967,rule,0.034730404836601815,0.07718120805369127,0.009268807158327709
133,technically complicated > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common <= 0.9000000059604645,rule,-0.0064180767795768735,0.11241610738255034,0.0020273273805862324
144,neutral > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive > 0.30000000447034836 & positive <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,-0.14280484889895598,0.016778523489932886,0.018341949876655172
184,subject to geographical variability <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & common > 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.0035258563280118286,0.03523489932885906,0.0006500726903021683
204,neutral > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.06749632919201225,0.03355704697986577,0.012155144722553786
210,positive <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.9000000059604645,rule,-0.1281362681383436,0.02348993288590604,0.01940668344237588
212,unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934 & neutral <= 0.7000000178813934 & positive > 0.30000000447034836 & common <= 0.9000000059604645,rule,0.06430611756774576,0.18456375838926176,0.024947125260060744
218,common > 0.9000000059604645 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934 & neutral > 0.5000000149011612 & subject to geographical variability > 0.9000000059604645,rule,-0.04437281771051999,0.003355704697986577,0.0025661318571291365
234,common > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.024946573412429868,0.29697986577181207,0.011398777738931864
264,interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934 & neutral <= 0.7000000178813934 & common <= 0.9000000059604645 & negative > 0.7000000178813934,rule,0.1138481739925811,0.20973154362416108,0.04634952307257673
297,unambiguous <= 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial > 0.9000000059604645 & subject to geographical variability > 0.9000000059604645,rule,-0.010643582492025624,0.020134228187919462,0.001494991134707843
334,technically complicated > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645,rule,-0.001993644433042791,0.11073825503355705,0.0006256210418950556
390,unambiguous > 0.5000000149011612 & neutral <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & common <= 0.9000000059604645 & subject to geographical variability > 0.9000000059604645,rule,0.007977549774496882,0.06879194630872483,0.002019117917768629
414,neutral > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.03050118691158683,0.28523489932885904,0.013772086448607865
434,common > 0.7000000178813934 & negative <= 0.7000000178813934 & neutral > 0.5000000149011612 & positive <= 0.7000000178813934,rule,-0.12636256926590575,0.0436241610738255,0.025810492388818013
453,technically complicated > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934 & neutral <= 0.7000000178813934 & positive > 0.5000000149011612,rule,-0.017448358100502114,0.08221476510067115,0.004792918115089892
468,common > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934 & positive > 0.5000000149011612 & interdisciplinary > 0.7000000178813934,rule,-0.10429267651355893,0.20302013422818793,0.04195145647830364
524,negative <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.11148553195966497,0.2802013422818792,0.05006787189682121
533,unambiguous <= 0.7000000178813934 & positive > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.0007546091846794154,0.17953020134228187,0.0002896157295977731
537,conceptually dense > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & negative > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.05926884024976498,0.07214765100671142,0.015334759278365851
543,subject to time variability <= 0.9000000059604645 & neutral > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,0.00023566042387336436,0.8489932885906041,8.437949228671091e-05
