,rule,type,coef,support,importance
0,conceptually dense,linear,0.01570823285042414,1.0,0.0010051934891651831
18,unambiguous <= 0.7000000178813934 & positive <= 0.7000000178813934 & interdisciplinary > 0.9000000059604645 & conceptually dense <= 0.9000000059604645,rule,0.07173648592477845,0.028523489932885907,0.011941464210828227
21,positive <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,-0.2263349405327269,0.29194630872483224,0.10290493279576303
47,positive <= 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial > 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & negative <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645,rule,0.00950519000390138,0.025167785234899327,0.0014888407210176073
56,positive > 0.7000000178813934 & neutral > 0.5000000149011612,rule,0.005962583322979754,0.6812080536912751,0.002778612714079929
57,positive > 0.7000000178813934,rule,0.07556719179124026,0.6812080536912751,0.03521493092922093
66,subject to geographical variability <= 0.9000000059604645 & common <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & neutral > 0.5000000149011612,rule,-0.012627834209117929,0.05704697986577181,0.002928803453478736
67,technically complicated <= 0.7000000178813934 & subject to geographical variability > 0.9000000059604645 & positive <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,-0.019015631427168007,0.016778523489932886,0.002442380361726039
80,positive > 0.7000000178813934 & neutral > 0.7000000178813934,rule,0.0058391104825535126,0.3221476510067114,0.0027286116549405065
87,technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & interdisciplinary > 0.9000000059604645 & neutral <= 0.7000000178813934,rule,0.009552228447431022,0.0738255033557047,0.00249778076985672
94,conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,-0.00447084678408071,0.24328859060402686,0.0019182967860352377
117,positive <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & neutral > 0.5000000149011612,rule,-0.045311850831430106,0.1040268456375839,0.013833498122545768
124,positive <= 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645 & common <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & neutral > 0.5000000149011612,rule,0.02207521238943503,0.06208053691275168,0.005326787806423605
128,unambiguous <= 0.7000000178813934 & positive <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645 & common <= 0.9000000059604645,rule,-0.00012317943427154183,0.1644295302013423,4.56582913083682e-05
129,common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & positive <= 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.028104332743487857,0.02181208053691275,0.004105187260207169
157,positive > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial <= 0.9000000059604645,rule,0.013774869414947807,0.6040268456375839,0.006736719775795642
