,rule,type,coef,support,importance
5,positive,linear,0.1673371331397188,1.0,0.021802254499775017
35,technically complicated > 0.7000000178813934 & common <= 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645 & positive > 0.7000000178813934,rule,0.03620163306979185,0.24496644295302014,0.01556913868464325
45,unambiguous <= 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.030605487629986522,0.37416107382550334,0.014810164797711689
60,neutral <= 0.7000000178813934 & subject to time variability > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.004270644065940268,0.19798657718120805,0.001701774724987329
61,unambiguous > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.9000000059604645,rule,-0.0888440348795272,0.015100671140939598,0.010834835438160318
70,common > 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,-0.17040120157307853,0.988255033557047,0.018358325276291408
94,technically complicated > 0.7000000178813934 & socially controversial > 0.9000000059604645 & positive <= 0.9000000059604645 & positive > 0.7000000178813934 & common > 0.7000000178813934,rule,0.010536755818108551,0.01174496644295302,0.0011351867761492007
111,neutral <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,0.021740452601449453,0.3288590604026846,0.010213635450345381
129,subject to geographical variability > 0.9000000059604645 & interdisciplinary > 0.9000000059604645 & common > 0.7000000178813934 & socially controversial > 0.9000000059604645,rule,-0.020118103324646357,0.0050335570469798654,0.0014237336463569796
145,negative > 0.7000000178813934 & interdisciplinary > 0.9000000059604645 & positive > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.09912266763751001,0.006711409395973154,0.008093149645753691
146,negative > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,-0.013999373160057709,0.031879194630872486,0.0024593879301477773
149,technically complicated > 0.7000000178813934 & negative <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.0411928219116113,0.25838926174496646,0.01803211961770691
169,positive > 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934,rule,0.04996110674884249,0.040268456375838924,0.009821762446924768
176,negative > 0.5000000149011612 & common <= 0.9000000059604645 & common > 0.5000000149011612,rule,-0.03574799653391336,0.7701342281879194,0.01504083938954223
203,unambiguous <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.004044840874758689,0.6057046979865772,0.0019767088804528085
216,conceptually dense <= 0.9000000059604645 & positive <= 0.5000000149011612 & positive <= 0.7000000178813934 & neutral > 0.7000000178813934,rule,-0.0013123820430388747,0.008389261744966443,0.00011969961740918624
226,negative > 0.5000000149011612 & common > 0.5000000149011612,rule,-0.010183398497706622,0.8741610738255033,0.00337750478178824
248,positive <= 0.7000000178813934 & common > 0.5000000149011612 & negative <= 0.7000000178813934,rule,-0.03246079802026739,0.03859060402684564,0.006252506640152874
259,unambiguous <= 0.7000000178813934 & neutral <= 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,0.05654887809345365,0.46476510067114096,0.02820414634340677
269,negative > 0.5000000149011612 & common > 0.7000000178813934,rule,-0.03065279818808838,0.7634228187919463,0.013026841253677065
303,common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & neutral > 0.7000000178813934,rule,0.07927517095450445,0.025167785234899327,0.01241722707639239
311,common > 0.7000000178813934 & common <= 0.9000000059604645 & negative <= 0.7000000178813934,rule,-0.018799354525975653,0.5234899328859061,0.009389298482607063
331,positive > 0.7000000178813934 & negative <= 0.7000000178813934,rule,0.015292123795433207,0.5889261744966443,0.0075241621419927275
333,positive <= 0.7000000178813934 & subject to time variability > 0.7000000178813934,rule,-0.07412697833915488,0.3104026845637584,0.03429547423324005
350,socially controversial > 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.06162220895806679,0.010067114093959731,0.006151664383049056
364,unambiguous > 0.7000000178813934 & negative > 0.7000000178813934 & common <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & neutral > 0.7000000178813934,rule,-0.0665835664053157,0.008389261744966443,0.006072947634974118
375,subject to time variability <= 0.9000000059604645 & common > 0.5000000149011612,rule,-0.024128700694864013,0.9681208053691275,0.004238892311864929
419,positive > 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & neutral <= 0.7000000178813934,rule,0.04222231074578433,0.1593959731543624,0.015455263134216666
432,socially controversial <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612 & positive <= 0.5000000149011612,rule,-0.04141384064331371,0.008389261744966443,0.003777269665295792
441,subject to geographical variability <= 0.9000000059604645 & socially controversial > 0.9000000059604645 & positive > 0.7000000178813934,rule,0.0168401098762742,0.006711409395973154,0.0013749582464631638
451,conceptually dense > 0.5000000149011612 & positive <= 0.9000000059604645 & negative <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & neutral > 0.7000000178813934,rule,-0.12021243217190596,0.03523489932885906,0.022163926127365355
458,unambiguous <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.07099623132598133,0.2516778523489933,0.030810737572530326
475,subject to geographical variability <= 0.9000000059604645 & socially controversial <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.039513781823645296,0.37583892617449666,0.019138055818404907
482,negative <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & common > 0.7000000178813934,rule,0.008771760027766152,0.025167785234899327,0.0013739602805385737
490,unambiguous > 0.7000000178813934 & positive > 0.5000000149011612,rule,0.0001522414254508645,0.27684563758389263,6.811883142972226e-05
491,conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.9000000059604645,rule,-0.0070370207719453745,0.025167785234899327,0.001102240257755897
498,unambiguous <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.04996366842112759,0.02348993288590604,0.007567171346224829
