,rule,type,coef,support,importance
5,positive,linear,0.015367991141333899,1.0,0.0024725810996566806
18,positive <= 0.5000000149011612 & common <= 0.9000000059604645,rule,-0.0021200497776226734,0.1716867469879518,0.0007994876310001326
44,socially controversial > 0.7000000178813934 & negative <= 0.9000000059604645 & neutral > 0.30000000447034836 & common > 0.7000000178813934 & negative > 0.7000000178813934,rule,0.0003036464051974009,0.05572289156626506,6.96521773328211e-05
104,technically complicated <= 0.7000000178813934 & neutral <= 0.5000000149011612 & positive <= 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,-0.006055025348555599,0.03313253012048193,0.0010837440863342665
126,subject to time variability <= 0.9000000059604645 & common <= 0.9000000059604645 & positive <= 0.9000000059604645 & subject to geographical variability > 0.5000000149011612,rule,-0.012632827697170605,0.927710843373494,0.003271473962448552
127,positive > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.00037824850591132176,0.8072289156626506,0.0001492095159671253
214,positive <= 0.30000000447034836 & subject to time variability > 0.5000000149011612 & common <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.00417198816698236,0.007530120481927711,0.0003606639195066898
270,positive > 0.30000000447034836 & common <= 0.9000000059604645,rule,0.01325937391460223,0.9668674698795181,0.0023731970126058747
315,socially controversial <= 0.7000000178813934 & subject to geographical variability <= 0.7000000178813934 & negative <= 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.0035321008582094456,0.10391566265060241,0.0010778244846215842
322,technically complicated <= 0.5000000149011612 & positive > 0.5000000149011612,rule,0.001704412895480606,0.27710843373493976,0.0007628449265389236
387,technically complicated > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & positive <= 0.30000000447034836 & technically complicated <= 0.7000000178813934,rule,-0.002373568591388979,0.006024096385542169,0.00018366891926389166
399,negative > 0.9000000059604645 & common <= 0.9000000059604645,rule,-0.017312405599036244,0.012048192771084338,0.0018888012092399976
405,subject to time variability <= 0.9000000059604645 & negative > 0.9000000059604645 & common <= 0.9000000059604645,rule,-5.185109713465392e-16,0.012048192771084338,5.657007884208008e-17
469,technically complicated > 0.5000000149011612 & positive <= 0.30000000447034836,rule,-0.0017066540925381951,0.01957831325301205,0.00023645015202643598
492,subject to time variability <= 0.9000000059604645 & positive > 0.30000000447034836,rule,0.025796071170256174,0.9849397590361446,0.0031417698035972053
583,subject to geographical variability > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & positive <= 0.5000000149011612 & neutral <= 0.5000000149011612,rule,-0.005609739841998221,0.08132530120481928,0.001533332845804526
649,negative <= 0.30000000447034836,rule,0.00235410869767459,0.058734939759036146,0.0005535167208204095
653,technically complicated <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.5000000149011612 & common > 0.5000000149011612,rule,-0.016232669043120457,0.046686746987951805,0.0034245582423269414
669,subject to geographical variability > 0.9000000059604645 & socially controversial > 0.7000000178813934 & negative <= 0.9000000059604645,rule,0.000377414618068389,0.045180722891566265,7.838913898288138e-05
712,positive <= 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,-0.01527102583863906,0.07078313253012049,0.003916441497650658
719,socially controversial <= 0.9000000059604645 & positive <= 0.9000000059604645,rule,-0.0008128894938460298,0.9322289156626506,0.00020432194428720955
745,subject to geographical variability > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,9.030051030161146e-05,0.6370481927710844,4.342110088157445e-05
768,negative > 0.30000000447034836,rule,-0.0001804654055747791,0.9352409638554217,4.4412570550577155e-05
828,subject to geographical variability > 0.7000000178813934 & socially controversial > 0.5000000149011612 & negative > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934,rule,-0.001569873310707355,0.0858433734939759,0.00043977273461710115
829,subject to time variability <= 0.7000000178813934 & negative > 0.7000000178813934,rule,-0.012208778192013468,0.01355421686746988,0.0014117117482766793
841,positive <= 0.30000000447034836 & common <= 0.7000000178813934,rule,-0.010851556348200817,0.010542168674698794,0.0011082957180071722
868,common <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & neutral > 0.30000000447034836 & positive <= 0.5000000149011612,rule,-0.004982740040714816,0.043674698795180725,0.0010183240764338368
869,technically complicated > 0.5000000149011612 & positive <= 0.30000000447034836 & technically complicated <= 0.7000000178813934,rule,-0.006227155401935481,0.015060240963855422,0.0007584212601594342
890,technically complicated <= 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & unambiguous > 0.7000000178813934,rule,0.0013000130735399582,0.0572289156626506,0.0003019663888266411
895,socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-3.1418022393977836e-05,0.04066265060240964,6.205294015428585e-06
912,socially controversial > 0.5000000149011612 & negative <= 0.9000000059604645,rule,0.0006158812089966465,0.6475903614457831,0.00029421921388147294
958,positive <= 0.30000000447034836 & negative > 0.9000000059604645,rule,-0.03211697355988914,0.006024096385542169,0.002485240934335028
973,technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & neutral > 0.30000000447034836 & negative > 0.7000000178813934,rule,-0.009442013467288613,0.0030120481927710845,0.0005174168035843116
