,rule,type,coef,support,importance
9,interdisciplinary,linear,0.9645083161758126,1.0,0.10135865088681492
17,negative <= 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,0.08455286411517961,0.21234939759036145,0.034579654100436494
20,conceptually dense > 0.5000000149011612 & unambiguous <= 0.5000000149011612 & positive <= 0.7000000178813934 & positive > 0.30000000447034836,rule,0.26503055453966645,0.1927710843373494,0.10454788357745308
66,subject to geographical variability > 0.7000000178813934 & negative <= 0.7000000178813934 & interdisciplinary > 0.30000000447034836 & subject to time variability > 0.5000000149011612,rule,0.09698027945879542,0.6641566265060241,0.0458022779719803
76,unambiguous <= 0.7000000178813934 & common <= 0.9000000059604645,rule,0.255857891117259,0.9156626506024096,0.0711011360156688
77,interdisciplinary <= 0.9000000059604645 & subject to geographical variability > 0.5000000149011612 & socially controversial > 0.30000000447034836 & common <= 0.7000000178813934 & common > 0.30000000447034836,rule,-0.07485751188360874,0.5271084337349398,0.03737370512836861
82,interdisciplinary > 0.7000000178813934 & common <= 0.9000000059604645,rule,0.1336553903106672,0.6957831325301205,0.06149149779866438
98,technically complicated > 0.30000000447034836 & interdisciplinary <= 0.7000000178813934 & neutral <= 0.7000000178813934,rule,-0.2264211127143327,0.1536144578313253,0.08164264846011988
106,technically complicated <= 0.7000000178813934 & subject to geographical variability > 0.5000000149011612 & common <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & positive > 0.7000000178813934 & common <= 0.9000000059604645,rule,0.05267952302995352,0.2213855421686747,0.021871455917113588
135,conceptually dense > 0.7000000178813934 & neutral <= 0.7000000178813934,rule,0.047608789191270526,0.5632530120481928,0.023613146258438435
150,unambiguous > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & subject to geographical variability <= 0.7000000178813934 & negative <= 0.9000000059604645 & positive <= 0.9000000059604645,rule,-0.43466273393341753,0.09789156626506024,0.1291678460259993
153,conceptually dense <= 0.5000000149011612 & subject to time variability > 0.5000000149011612,rule,-0.08006966125961847,0.043674698795180725,0.016363860684346275
178,socially controversial <= 0.7000000178813934 & negative > 0.7000000178813934,rule,-0.14146575711415668,0.04969879518072289,0.03074361256250717
194,conceptually dense > 0.7000000178813934 & negative > 0.5000000149011612 & positive > 0.30000000447034836,rule,0.016833737992386952,0.4066265060240964,0.008268799796766566
214,conceptually dense <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & subject to time variability > 0.5000000149011612,rule,-0.42298539453938433,0.2816265060240964,0.19025552833204232
245,negative > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,0.2922298143820439,0.10090361445783133,0.08801992815859438
248,conceptually dense > 0.7000000178813934 & technically complicated > 0.30000000447034836 & subject to time variability <= 0.7000000178813934 & technically complicated <= 0.9000000059604645,rule,-0.0586540521333992,0.11746987951807229,0.018885394045090955
266,socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & subject to geographical variability > 0.7000000178813934 & negative <= 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,0.03181856971156334,0.15210843373493976,0.011426874525316615
294,subject to geographical variability > 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & subject to time variability > 0.5000000149011612,rule,0.15235850614361943,0.8524096385542169,0.054040564864164996
295,technically complicated > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.07380184844605724,0.32680722891566266,0.034616470769215264
325,socially controversial <= 0.5000000149011612 & interdisciplinary <= 0.7000000178813934 & subject to geographical variability <= 0.7000000178813934 & subject to geographical variability > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.3866353400427028,0.04819277108433735,0.08280698966034857
327,subject to geographical variability > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & subject to time variability > 0.7000000178813934,rule,0.07102117338151859,0.5060240963855421,0.035508009257499445
336,conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & positive > 0.30000000447034836,rule,0.11169043442772411,0.23343373493975902,0.047246826298039564
344,positive > 0.30000000447034836 & unambiguous <= 0.7000000178813934 & positive <= 0.9000000059604645,rule,0.22984128978757745,0.9096385542168675,0.0658952432081734
380,positive > 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & common <= 0.9000000059604645 & positive > 0.30000000447034836,rule,0.05206111386702746,0.536144578313253,0.025962453615540962
426,unambiguous > 0.5000000149011612 & positive <= 0.5000000149011612,rule,-0.006261378384225983,0.08283132530120482,0.0017258055500955877
441,socially controversial > 0.30000000447034836 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.31035479041625313,0.4382530120481928,0.1539895622008742
449,positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.9000000059604645,rule,-0.2813138279672204,0.045180722891566265,0.05842897360783446
464,positive > 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.393610455424442,0.5692771084337349,0.1949070117770799
504,conceptually dense <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.009115709419157618,0.12650602409638553,0.0030302330679412735
526,conceptually dense > 0.5000000149011612 & neutral > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645,rule,0.06338585950633847,0.6987951807228916,0.029080260489183177
552,positive > 0.30000000447034836 & interdisciplinary > 0.5000000149011612,rule,0.29623407078205516,0.9533132530120482,0.06249562693971705
567,subject to geographical variability > 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive > 0.7000000178813934,rule,0.015950139651216142,0.3328313253012048,0.007516132203908252
572,subject to geographical variability > 0.7000000178813934 & common <= 0.5000000149011612,rule,0.008062715473917629,0.06325301204819277,0.001962605865153499
607,conceptually dense > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & negative <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & subject to time variability <= 0.7000000178813934,rule,-0.37787277849545714,0.024096385542168676,0.05794620811805927
618,unambiguous > 0.5000000149011612 & negative > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,-0.05199314937153791,0.20180722891566266,0.020867401841115282
643,conceptually dense > 0.7000000178813934 & positive > 0.5000000149011612 & neutral > 0.5000000149011612 & common > 0.30000000447034836 & common <= 0.9000000059604645,rule,0.029653867513739444,0.4307228915662651,0.014683925757266547
645,conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934,rule,0.04900510653018812,0.4367469879518072,0.024305695808787015
656,conceptually dense > 0.7000000178813934 & negative > 0.30000000447034836 & common <= 0.9000000059604645,rule,0.10760426035205096,0.6506024096385542,0.051303530566750105
663,negative > 0.30000000447034836 & conceptually dense <= 0.7000000178813934,rule,-0.02469178903497545,0.2756024096385542,0.011032719112804363
679,socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & positive > 0.30000000447034836 & common <= 0.9000000059604645,rule,0.07097789473984392,0.2756024096385542,0.03171415302364991
692,common <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612,rule,0.08188086176314585,0.5316265060240963,0.04085844862169898
705,conceptually dense > 0.5000000149011612 & neutral > 0.5000000149011612 & positive <= 0.5000000149011612,rule,-0.008963393201894702,0.045180722891566265,0.0018616996847064843
