,rule,type,coef,support,importance
9,interdisciplinary,linear,-1.0869906196784487,1.0,0.11423012211451726
52,positive > 0.7000000178813934 & subject to time variability > 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.9721915177756874,0.26957831325301207,0.4314009856456932
68,subject to geographical variability > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,-2.5276310581889954,0.838855421686747,0.9293195857604907
71,unambiguous <= 0.5000000149011612 & common <= 0.5000000149011612 & subject to time variability > 0.5000000149011612,rule,-0.34686376996900614,0.04216867469879518,0.06971053794685515
82,interdisciplinary > 0.5000000149011612 & common <= 0.9000000059604645,rule,-4.034017443660618,0.9487951807228916,0.8891589937971762
89,conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934,rule,0.4413322697736301,0.21084337349397592,0.18002269781924357
115,common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & interdisciplinary > 0.5000000149011612,rule,-1.3353809035165092,0.4503012048192771,0.6643839133401367
207,technically complicated <= 0.7000000178813934 & neutral <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,-0.6242831450844071,0.48343373493975905,0.31197019651985813
226,positive > 0.7000000178813934 & common <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612,rule,-0.39969777837030357,0.3177710843373494,0.18610326121032603
240,common > 0.5000000149011612 & unambiguous <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,0.47855710985150623,0.030120481927710843,0.08179441017098155
300,socially controversial <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & positive <= 0.5000000149011612,rule,0.61396475178347,0.018072289156626505,0.08178803613235759
327,conceptually dense > 0.5000000149011612 & unambiguous <= 0.5000000149011612 & negative > 0.5000000149011612,rule,-0.33753926398534834,0.21686746987951808,0.1391038459525824
331,conceptually dense > 0.7000000178813934 & neutral <= 0.7000000178813934 & subject to time variability > 0.5000000149011612,rule,-0.16909258345237482,0.5406626506024096,0.08426624158153642
342,conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.3270715449596311,0.552710843373494,0.16262448708331517
349,technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & interdisciplinary <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & subject to time variability <= 0.7000000178813934 & positive > 0.30000000447034836,rule,-1.011612472947533,0.28012048192771083,0.4542725726929723
370,common > 0.7000000178813934 & technically complicated > 0.30000000447034836 & conceptually dense <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.8417157467408238,0.15060240963855423,0.30104881677250345
389,unambiguous <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,0.4782129000171755,0.02108433734939759,0.06870271565507019
434,unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.2552584739240295,0.18674698795180722,0.09947634310191714
452,socially controversial <= 0.9000000059604645 & subject to geographical variability <= 0.9000000059604645 & interdisciplinary > 0.5000000149011612,rule,-0.05075837009125816,0.8795180722891566,0.016523080001835305
454,positive > 0.5000000149011612 & interdisciplinary > 0.5000000149011612,rule,-0.1833186866390131,0.8283132530120482,0.06913093458750154
458,positive > 0.5000000149011612 & common <= 0.7000000178813934,rule,-0.33762076275809805,0.48042168674698793,0.16868091820275372
487,unambiguous <= 0.7000000178813934 & positive > 0.7000000178813934,rule,-2.3214999870028974,0.536144578313253,1.1577131423846545
495,positive > 0.30000000447034836 & subject to geographical variability > 0.7000000178813934 & subject to time variability > 0.5000000149011612 & common <= 0.9000000059604645,rule,-2.1747541672442368,0.8177710843373494,0.8395270469024708
496,conceptually dense > 0.7000000178813934 & positive > 0.30000000447034836,rule,-0.9570458363533868,0.6521084337349398,0.455842272467506
509,common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,0.22768681698231008,0.3463855421686747,0.1083374450226319
515,conceptually dense > 0.5000000149011612 & negative <= 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & common <= 0.9000000059604645,rule,-2.2363858224639377,0.44879518072289154,1.1123138010210558
530,common > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645,rule,1.3815788159319187,0.9081325301204819,0.39905353255393583
558,positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & subject to time variability > 0.5000000149011612,rule,-1.5664853281881448,0.7439759036144579,0.6836694714860906
568,interdisciplinary <= 0.7000000178813934 & neutral <= 0.7000000178813934,rule,1.0595011830957497,0.17771084337349397,0.4050146118069369
570,conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934 & neutral <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,1.7245719800041015,0.10993975903614457,0.5394713890481257
600,positive > 0.5000000149011612 & subject to geographical variability > 0.7000000178813934 & common <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612,rule,-0.3920203174055012,0.4623493975903614,0.19545365329395942
606,technically complicated <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.47428941663489466,0.02710843373493976,0.07702431878335082
608,neutral > 0.7000000178813934 & negative <= 0.5000000149011612 & subject to time variability > 0.7000000178813934,rule,-1.8686294051481434,0.04819277108433735,0.40021063727396333
620,subject to geographical variability <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & subject to time variability > 0.5000000149011612 & common <= 0.9000000059604645 & positive > 0.30000000447034836,rule,0.24012897712437953,0.0677710843373494,0.06035705942466675
632,unambiguous > 0.30000000447034836 & unambiguous <= 0.5000000149011612 & common <= 0.5000000149011612,rule,-1.8502092209965673,0.0391566265060241,0.35888042869795
635,conceptually dense > 0.7000000178813934 & unambiguous <= 0.5000000149011612,rule,-0.6550273117991735,0.25,0.2836351460953573
636,subject to geographical variability <= 0.9000000059604645 & interdisciplinary > 0.5000000149011612,rule,-2.0494765020042136,0.9201807228915663,0.5554352060656522
656,socially controversial > 0.30000000447034836 & interdisciplinary <= 0.9000000059604645,rule,0.3607425747974702,0.927710843373494,0.0934200931800008
677,technically complicated > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,1.512637153186594,0.16114457831325302,0.5561426095201055
685,positive > 0.5000000149011612 & technically complicated <= 0.5000000149011612 & subject to time variability > 0.7000000178813934,rule,1.3724554040469628,0.07228915662650602,0.35541940621631907
687,technically complicated <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & interdisciplinary <= 0.9000000059604645 & unambiguous <= 0.5000000149011612 & subject to time variability <= 0.7000000178813934 & positive > 0.30000000447034836,rule,0.0020779006265972347,0.0286144578313253,0.00034642829187721817
743,subject to geographical variability > 0.7000000178813934 & socially controversial > 0.30000000447034836 & interdisciplinary > 0.5000000149011612,rule,-0.5370860599688928,0.8358433734939759,0.19894615114190048
749,conceptually dense > 0.7000000178813934 & neutral > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & subject to time variability > 0.7000000178813934,rule,-1.2678331854077085,0.3463855421686747,0.6032576230913161
783,technically complicated > 0.7000000178813934 & technically complicated <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,0.7225801882484523,0.03765060240963856,0.1375429718970955
794,socially controversial <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & negative > 0.7000000178813934,rule,3.6820259542058755,0.043674698795180725,0.7524967484926663
836,unambiguous > 0.5000000149011612 & common <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.541399272013182,0.10993975903614457,0.16935762652359734
847,interdisciplinary <= 0.9000000059604645 & neutral > 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612 & subject to geographical variability > 0.7000000178813934 & technically complicated > 0.7000000178813934 & subject to time variability > 0.7000000178813934,rule,-1.238987661315913,0.02108433734939759,0.17799983436764324
857,conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,-0.8595295463181607,0.5436746987951807,0.4281220989621811
916,common > 0.7000000178813934 & interdisciplinary <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.0008863866939974966,0.10240963855421686,0.0002687402611597688
