,rule,type,coef,support,importance
18,socially controversial <= 0.7000000178813934 & neutral > 0.5000000149011612 & positive <= 0.7000000178813934,rule,-0.0778783512229681,0.12198795180722892,0.0254873953657926
20,subject to geographical variability > 0.9000000059604645 & interdisciplinary <= 0.7000000178813934,rule,-0.10371245854271739,0.016566265060240965,0.013237799023822147
26,subject to geographical variability > 0.5000000149011612 & negative <= 0.30000000447034836,rule,0.10962881933568795,0.07379518072289157,0.028661060473261404
39,neutral <= 0.7000000178813934 & interdisciplinary <= 0.7000000178813934 & subject to geographical variability <= 0.7000000178813934,rule,0.02740722301293672,0.03614457831325301,0.005115552688910678
53,common <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,0.029429304203984312,0.5572289156626506,0.01461794899077528
56,positive > 0.30000000447034836 & negative > 0.5000000149011612 & interdisciplinary <= 0.7000000178813934,rule,-0.02140822426769631,0.09337349397590361,0.006228832561760549
70,socially controversial <= 0.7000000178813934 & unambiguous <= 0.5000000149011612,rule,0.07687546790403178,0.09186746987951808,0.022204615965501537
79,unambiguous > 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.003032054195115279,0.07379518072289157,0.0007926920053595378
88,negative > 0.7000000178813934 & unambiguous <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,0.024486046995860676,0.07078313253012049,0.006279746467677993
98,unambiguous > 0.7000000178813934 & socially controversial > 0.30000000447034836,rule,-0.023206775945408653,0.03162650602409638,0.004061270006353508
112,neutral <= 0.7000000178813934 & positive > 0.5000000149011612 & negative <= 0.5000000149011612,rule,0.05058193845744761,0.3132530120481928,0.02346072767004214
115,interdisciplinary > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.022831640415035756,0.27259036144578314,0.010166744030024981
116,neutral > 0.7000000178813934 & subject to time variability <= 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.02922917891705866,0.03614457831325301,0.0054556203936908495
135,unambiguous > 0.7000000178813934 & unambiguous > 0.5000000149011612 & negative > 0.30000000447034836 & common <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,-0.05095802966612433,0.03313253012048193,0.009120599852663237
