,rule,type,coef,support,importance
37,common > 0.9000000059604645 & negative > 0.30000000447034836,rule,0.19786927537061164,0.016566265060240965,0.025255921392188494
89,common > 0.9000000059604645 & socially controversial > 0.6000000089406967 & conceptually dense <= 0.7000000178813934,rule,0.03415473970043003,0.004518072289156626,0.0022905736349572983
92,common > 0.9000000059604645 & negative <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645,rule,6.794910461167994e-07,0.012048192771084338,7.413317012654832e-08
98,common > 0.9000000059604645 & socially controversial <= 0.7000000178813934 & positive <= 0.9000000059604645,rule,-0.030945231521675103,0.007530120481927711,0.002675182201852228
126,common > 0.9000000059604645 & conceptually dense > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & subject to geographical variability > 0.7000000178813934,rule,0.29132336187960484,0.016566265060240965,0.03718434766367052
167,interdisciplinary <= 0.7000000178813934 & negative > 0.30000000447034836 & common > 0.9000000059604645 & negative <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,-0.060669660679305334,0.0030120481927710845,0.0033246618437884315
195,common > 0.9000000059604645 & positive > 0.9000000059604645 & unambiguous > 0.7000000178813934,rule,0.5994903164654488,0.0030120481927710845,0.032851717951888675
240,common > 0.9000000059604645 & socially controversial > 0.30000000447034836 & subject to time variability > 0.5000000149011612,rule,0.3968623827269816,0.016566265060240965,0.050655288057713015
254,common > 0.9000000059604645 & subject to time variability > 0.5000000149011612,rule,0.10074321704066826,0.0286144578313253,0.016795943054681694
266,interdisciplinary <= 0.7000000178813934 & positive > 0.5000000149011612 & negative > 0.30000000447034836 & common > 0.9000000059604645 & negative <= 0.5000000149011612 & socially controversial <= 0.6000000089406967,rule,-0.024621546298140434,0.0015060240963855422,0.0009547815300536139
281,common > 0.9000000059604645 & conceptually dense > 0.5000000149011612 & negative <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645,rule,0.008034120461815444,0.009036144578313253,0.0007602542065144333
303,common > 0.9000000059604645 & positive > 0.30000000447034836,rule,0.26146943141418266,0.02108433734939759,0.037564147680450036
329,socially controversial <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & negative > 0.30000000447034836 & subject to time variability > 0.5000000149011612 & common > 0.9000000059604645 & positive > 0.7000000178813934 & subject to time variability <= 0.7000000178813934 & positive > 0.30000000447034836,rule,0.30662400874396534,0.0015060240963855422,0.0118903555720969
357,common > 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & subject to time variability <= 0.7000000178813934,rule,0.02162804862985216,0.0015060240963855422,0.0008386988011570918
392,common > 0.9000000059604645 & conceptually dense > 0.5000000149011612,rule,0.10584746217884919,0.01957831325301205,0.014664745851679492
428,subject to time variability <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.03216529810481732,0.0015060240963855422,0.0012473153459686469
436,common > 0.9000000059604645 & unambiguous <= 0.7000000178813934 & subject to geographical variability > 0.9000000059604645,rule,0.11411313444275496,0.004518072289156626,0.007652950643146641
440,common > 0.9000000059604645 & conceptually dense > 0.5000000149011612 & positive > 0.9000000059604645 & socially controversial <= 0.30000000447034836,rule,0.1382423296696063,0.004518072289156626,0.009271165242471117
455,common > 0.9000000059604645 & subject to geographical variability > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & subject to time variability > 0.5000000149011612,rule,0.017951545228176498,0.007530120481927711,0.0015518919047842845
497,common <= 0.9000000059604645,rule,-13.836601353777343,0.9804216867469879,1.9170062099485603
498,common > 0.9000000059604645 & interdisciplinary > 0.5000000149011612,rule,0.250677794153167,0.01957831325301205,0.03473041361827187
501,common > 0.9000000059604645 & unambiguous > 0.7000000178813934 & negative <= 0.6000000089406967,rule,0.004789384313359987,0.0030120481927710845,0.0002624554530811515
516,socially controversial <= 0.7000000178813934 & interdisciplinary <= 0.7000000178813934,rule,-0.0020958630716802523,0.2605421686746988,0.0009199381380937321
524,common > 0.9000000059604645 & subject to geographical variability > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,0.07450120129534692,0.004518072289156626,0.004996392563858994
532,common > 0.9000000059604645 & positive > 0.9000000059604645 & unambiguous > 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,0.22568145894436606,0.004518072289156626,0.01513523464944323
537,common > 0.9000000059604645 & positive > 0.30000000447034836 & subject to time variability > 0.5000000149011612,rule,0.03666072115696852,0.018072289156626505,0.004883681641192802
543,technically complicated > 0.5000000149011612 & common <= 0.9000000059604645,rule,-0.0038233410028539914,0.7168674698795181,0.0017224925650122854
544,common > 0.9000000059604645 & negative <= 0.7000000178813934 & positive > 0.9000000059604645,rule,0.03217883562203274,0.004518072289156626,0.002158060436880592
551,common > 0.9000000059604645 & socially controversial > 0.7000000178813934 & positive <= 0.9000000059604645,rule,0.02540524712463714,0.006024096385542169,0.001965881373701371
