,rule,type,coef,support,importance
1,technically complicated,linear,0.35208707948003026,1.0,0.04694416718763373
10,subject to time variability,linear,-0.02319768699741669,1.0,0.0027201700794238595
18,subject to time variability <= 0.9000000059604645 & positive > 0.7000000178813934 & common > 0.5000000149011612,rule,0.0015309334449528662,0.5225903614457831,0.000764685050628365
21,common > 0.5000000149011612 & positive > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,0.4374671813979521,0.2635542168674699,0.1927306794801107
27,interdisciplinary <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & interdisciplinary > 0.5000000149011612,rule,-6.894172818214132,0.7259036144578314,3.075199529463944
30,subject to time variability <= 0.9000000059604645 & interdisciplinary > 0.5000000149011612 & positive <= 0.7000000178813934,rule,1.6512217842518369,0.411144578313253,0.8124694360205905
38,interdisciplinary <= 0.5000000149011612 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612,rule,-0.020113388136247044,0.030120481927710843,0.0034377562996709635
48,interdisciplinary <= 0.9000000059604645 & common > 0.5000000149011612 & positive <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & negative <= 0.7000000178813934,rule,-0.12597242768563524,0.15813253012048192,0.04596295827901447
51,conceptually dense > 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645,rule,0.2914876388242167,0.5963855421686747,0.14301021280004347
63,negative > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & common > 0.5000000149011612 & conceptually dense > 0.30000000447034836,rule,-0.33495433602658115,0.4126506024096386,0.1649016912031926
68,conceptually dense > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & subject to geographical variability > 0.7000000178813934 & subject to time variability > 0.7000000178813934,rule,-0.4831590890373648,0.05120481927710843,0.10649563504677952
70,interdisciplinary > 0.9000000059604645 & subject to geographical variability > 0.5000000149011612,rule,0.0367802474070118,0.016566265060240965,0.004694609790008367
77,interdisciplinary <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,-0.41863912847015994,0.6746987951807228,0.19612710634861896
79,common > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,0.0974444269009897,0.10090361445783133,0.029350364107843523
80,interdisciplinary > 0.30000000447034836 & interdisciplinary <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,-0.013552737953508788,0.6822289156626506,0.0063102895937045276
89,common <= 0.7000000178813934 & neutral > 0.5000000149011612,rule,-0.10896338431651476,0.4623493975903614,0.054327009581768344
102,interdisciplinary <= 0.9000000059604645,rule,-0.37939999790355755,0.9759036144578314,0.05818040486019049
110,common <= 0.9000000059604645,rule,0.08801577762792354,0.9789156626506024,0.012644834431095322
117,technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & interdisciplinary > 0.5000000149011612 & positive > 0.7000000178813934,rule,0.045255914625550814,0.08132530120481928,0.012369981909457772
125,common > 0.5000000149011612 & interdisciplinary > 0.5000000149011612 & interdisciplinary > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,-0.2714455078421537,0.11746987951807229,0.08739985032423386
130,common > 0.9000000059604645,rule,-0.016828776005107605,0.015060240963855422,0.002049619879530798
134,unambiguous <= 0.5000000149011612 & negative > 0.7000000178813934,rule,-0.15555421337399472,0.09487951807228916,0.045584921405599096
149,common > 0.5000000149011612 & interdisciplinary > 0.5000000149011612 & negative <= 0.7000000178813934,rule,0.053839490124299096,0.7123493975903614,0.024371379533232793
150,common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & positive <= 0.9000000059604645 & neutral > 0.7000000178813934,rule,-0.21626981769880219,0.0572289156626506,0.05023504547140693
153,conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & negative > 0.7000000178813934,rule,-0.18811780842698542,0.08885542168674698,0.053526090537911145
154,interdisciplinary <= 0.9000000059604645 & interdisciplinary > 0.5000000149011612 & interdisciplinary > 0.30000000447034836 & subject to time variability <= 0.5000000149011612 & interdisciplinary <= 0.7000000178813934,rule,0.2137749968190063,0.02710843373493976,0.034716932162904
166,common <= 0.5000000149011612 & positive > 0.5000000149011612 & negative <= 0.7000000178813934,rule,-0.41003701571346285,0.058734939759036146,0.09641115746987305
168,unambiguous <= 0.5000000149011612 & common <= 0.5000000149011612 & positive <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,0.240167883607052,0.012048192771084338,0.0262025624563038
173,technically complicated > 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.7000000178813934,rule,0.07307133487669161,0.10240963855421686,0.022154224280481458
174,common <= 0.5000000149011612 & positive <= 0.5000000149011612 & negative <= 0.7000000178813934,rule,0.16978386789452088,0.0015060240963855422,0.006583928531693988
176,interdisciplinary <= 0.5000000149011612 & interdisciplinary <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,-0.22528649780045598,0.02108433734939759,0.03236590689785956
181,interdisciplinary <= 0.7000000178813934 & common > 0.5000000149011612 & positive <= 0.7000000178813934 & interdisciplinary <= 0.5000000149011612,rule,-1.776237746621906,0.004518072289156626,0.11912265728018046
190,unambiguous <= 0.5000000149011612 & common > 0.5000000149011612 & positive <= 0.5000000149011612,rule,-0.19017706332638215,0.0783132530120482,0.05109371019710498
200,common > 0.5000000149011612 & interdisciplinary <= 0.9000000059604645 & positive <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.18949035412263315,0.05572289156626506,0.04346639881881166
207,technically complicated > 0.5000000149011612 & common > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,-0.26234315282459414,0.060240963855421686,0.06242002592447114
212,subject to geographical variability > 0.7000000178813934 & conceptually dense <= 0.5000000149011612,rule,-0.07614948431553833,0.022590361445783132,0.011315320645655947
