,rule,type,coef,support,importance
1,technically complicated,linear,1.640022202420746,1.0,0.21866600891907334
2,common,linear,-23.28250909747747,1.0,2.866467634432861
58,positive > 0.5000000149011612 & common <= 0.5000000149011612 & subject to geographical variability > 0.7000000178813934 & common > 0.30000000447034836,rule,9.726498690831912,0.04066265060240964,1.9210561174232959
59,positive > 0.5000000149011612 & common <= 0.5000000149011612 & negative <= 0.7000000178813934,rule,44.87727276769761,0.05271084337349398,10.028078434131459
60,positive > 0.5000000149011612 & interdisciplinary > 0.5000000149011612 & common <= 0.5000000149011612,rule,59.75014484843617,0.07680722891566265,15.910587210027163
209,positive > 0.5000000149011612 & common <= 0.7000000178813934 & common > 0.30000000447034836,rule,0.3025844872374864,0.48042168674698793,0.15117621536119338
227,common > 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.30000000447034836,rule,-14.529789133774424,0.37650602409638556,7.039817604423294
272,positive > 0.7000000178813934 & common <= 0.5000000149011612 & subject to geographical variability > 0.7000000178813934,rule,8.511463860835288,0.04819277108433735,1.8229288089411952
281,positive > 0.5000000149011612 & neutral > 0.5000000149011612 & common <= 0.5000000149011612,rule,21.42736009125541,0.06626506024096386,5.3299455420312505
289,positive > 0.5000000149011612 & common <= 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,64.70422022850823,0.05120481927710843,14.261797366102684
294,positive > 0.5000000149011612 & common <= 0.5000000149011612,rule,1988.0444436392486,0.05421686746987952,450.1829906106014
348,positive <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & common > 0.30000000447034836,rule,-17.15230272214943,0.40512048192771083,8.420328627498568
357,common > 0.5000000149011612 & positive <= 0.7000000178813934,rule,-8.958789328140336,0.3810240963855422,4.350732842126645
362,positive > 0.5000000149011612 & common <= 0.5000000149011612 & negative > 0.30000000447034836,rule,25.618328964599204,0.0572289156626506,5.950612684338662
380,positive <= 0.7000000178813934 & common > 0.30000000447034836,rule,-6.78374740627745,0.4442771084337349,3.370744078384933
391,positive > 0.5000000149011612 & subject to time variability > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,26.703459528800384,0.046686746987951805,5.6335499839906795
401,common <= 0.7000000178813934 & positive > 0.7000000178813934,rule,5.587274712577557,0.3102409638554217,2.584629488119494
485,interdisciplinary <= 0.7000000178813934 & conceptually dense > 0.30000000447034836,rule,-4.341281391797774,0.29518072289156627,1.9801624448568402
530,positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common <= 0.5000000149011612,rule,48.960567092011146,0.05271084337349398,10.940513464794323
553,positive > 0.5000000149011612 & subject to time variability > 0.5000000149011612 & common <= 0.5000000149011612,rule,22.70690891137881,0.058734939759036146,5.339028640865039
554,positive > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.5000000149011612 & interdisciplinary > 0.7000000178813934,rule,23.46649765442143,0.03614457831325301,4.3800170896091375
590,conceptually dense <= 0.7000000178813934,rule,-8.4401924966797,0.3102409638554217,3.9043668934365883
608,conceptually dense > 0.7000000178813934,rule,7.171366804484448e-15,0.6686746987951807,3.3754888882127245e-15
