,rule,type,coef,support,importance
8,subject to geographical variability,linear,0.009009160310146744,1.0,0.0007756128594721545
18,unambiguous <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & subject to geographical variability > 0.7000000178813934,rule,0.0040959312982074645,0.8177710843373494,0.0015811649697661382
39,socially controversial <= 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,-0.0061507590393176876,0.2575301204819277,0.002689565646910632
42,neutral <= 0.7000000178813934 & interdisciplinary <= 0.7000000178813934,rule,0.01269002983746497,0.17018072289156627,0.004768805229059883
49,subject to time variability <= 0.7000000178813934 & socially controversial > 0.30000000447034836,rule,0.005849138021877525,0.3042168674698795,0.0026910419172795613
54,conceptually dense <= 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.7000000178813934,rule,-0.0053746507329149856,0.14759036144578314,0.0019063534351047974
81,positive > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,0.008024171367442828,0.5331325301204819,0.004003267341720057
92,conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.010621518792722693,0.5316265060240963,0.0053001247242881605
111,unambiguous > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,-0.004820589213186621,0.4864457831325301,0.0024094088206299143
145,subject to geographical variability <= 0.9000000059604645 & negative > 0.7000000178813934,rule,-0.009868686114652657,0.15060240963855423,0.0035296432191261073
151,conceptually dense <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & positive > 0.7000000178813934 & positive <= 0.9000000059604645 & technically complicated <= 0.5000000149011612 & interdisciplinary > 0.5000000149011612 & subject to time variability <= 0.5000000149011612,rule,-0.004537724792271789,0.004518072289156626,0.00030432065543567813
171,subject to time variability > 0.5000000149011612 & positive > 0.7000000178813934 & positive <= 0.9000000059604645 & technically complicated <= 0.5000000149011612 & interdisciplinary > 0.5000000149011612,rule,-0.004007254890527894,0.13855421686746988,0.0013844294089858994
191,technically complicated > 0.5000000149011612 & negative > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645,rule,-0.004720997210952969,0.37198795180722893,0.002281824130952483
195,subject to geographical variability > 0.7000000178813934 & negative <= 0.9000000059604645,rule,0.0012925466355468655,0.8493975903614458,0.0004622934010220905
218,interdisciplinary > 0.7000000178813934 & neutral <= 0.7000000178813934,rule,-0.003929399478043657,0.5512048192771084,0.0019543699594453015
256,socially controversial > 0.5000000149011612 & subject to geographical variability > 0.5000000149011612 & positive <= 0.5000000149011612,rule,-0.002087017155886004,0.1355421686746988,0.0007143896281925257
267,conceptually dense > 0.7000000178813934 & interdisciplinary <= 0.7000000178813934,rule,0.01736945352678914,0.0858433734939759,0.004865750646361965
273,common > 0.5000000149011612 & negative > 0.30000000447034836 & subject to time variability <= 0.9000000059604645,rule,-0.0030497516852892557,0.8554216867469879,0.0010725219397603061
297,neutral <= 0.7000000178813934 & negative > 0.5000000149011612,rule,0.003225834075125181,0.4427710843373494,0.001602317120243044
343,socially controversial <= 0.7000000178813934 & subject to geographical variability > 0.5000000149011612 & common > 0.5000000149011612,rule,-0.00936718250556022,0.5948795180722891,0.004598493641831453
430,positive <= 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,0.00754763807103899,0.25150602409638556,0.003274759547640835
441,common > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & positive > 0.7000000178813934,rule,-0.0021242329859928414,0.5346385542168675,0.0010595647103398412
445,conceptually dense > 0.5000000149011612 & positive > 0.7000000178813934 & common > 0.5000000149011612 & subject to geographical variability <= 0.7000000178813934,rule,-0.015811048094468757,0.07379518072289157,0.004133597427457598
