,rule,type,coef,support,importance
62,subject to time variability <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645 & technically complicated > 0.5000000149011612,rule,0.007606234247342953,0.20783132530120482,0.0030862708153772396
78,socially controversial <= 0.9000000059604645 & interdisciplinary <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,rule,0.0002122024265048454,0.3313253012048193,9.988150826017845e-05
108,neutral > 0.5000000149011612 & negative <= 0.5000000149011612 & positive > 0.30000000447034836,rule,0.004955666650598833,0.4954819277108434,0.002477732163323958
119,neutral > 0.5000000149011612 & positive > 0.7000000178813934,rule,0.011006917368767431,0.5602409638554217,0.0054633688536752725
142,negative > 0.30000000447034836 & negative <= 0.5000000149011612 & subject to geographical variability <= 0.7000000178813934,rule,0.0034818184876935334,0.05120481927710843,0.0007674459187000099
174,common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.011474451052120988,0.3102409638554217,0.005307991118198304
178,subject to time variability > 0.5000000149011612 & conceptually dense <= 0.5000000149011612,rule,0.0004418775746919273,0.045180722891566265,9.177811604972711e-05
179,negative > 0.5000000149011612 & positive <= 0.5000000149011612 & conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612 & neutral <= 0.9000000059604645,rule,-0.004151555814668927,0.13102409638554216,0.0014008458071937955
266,common > 0.7000000178813934 & subject to time variability > 0.7000000178813934 & subject to geographical variability > 0.7000000178813934,rule,-0.0051463719583700615,0.2635542168674699,0.0022672872539249477
296,common > 0.5000000149011612 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.018707036318357528,0.08885542168674698,0.0053228055761719096
342,positive > 0.7000000178813934 & common > 0.5000000149011612 & negative <= 0.7000000178813934,rule,0.028383059525323613,0.536144578313253,0.014154400696756105
395,common > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.0031436428433943026,0.21987951807228914,0.001301986338714103
414,socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,-0.0011709470127661404,0.5180722891566265,0.0005850909411585387
436,conceptually dense > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.018878801774660444,0.5602409638554217,0.009370639767230241
453,socially controversial > 0.5000000149011612 & positive > 0.30000000447034836 & common > 0.5000000149011612 & negative <= 0.9000000059604645,rule,-0.0033332472740499417,0.5843373493975904,0.0016427438768342143
460,socially controversial > 0.30000000447034836 & positive > 0.30000000447034836 & common > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & negative <= 0.9000000059604645,rule,-0.0027476127106545655,0.8072289156626506,0.0010838640634789553
461,conceptually dense > 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,-0.02311268394104691,0.1897590361445783,0.00906272311325234
525,positive > 0.7000000178813934 & technically complicated > 0.30000000447034836 & neutral <= 0.9000000059604645,rule,0.04404858054071019,0.5798192771084337,0.021741840476028493
559,common > 0.5000000149011612 & positive <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & negative <= 0.7000000178813934,rule,-0.014280961708415061,0.18825301204819278,0.005582628963204308
615,positive > 0.7000000178813934 & technically complicated > 0.30000000447034836 & common <= 0.9000000059604645 & common > 0.5000000149011612,rule,0.031559877848407476,0.5346385542168675,0.015742026911035517
