,rule,type,coef,support,importance
2,common,linear,0.03857685823362369,1.0,0.004240405392325057
29,socially controversial > 0.6000000089406967 & negative > 0.7000000178813934 & common > 0.9000000059604645,rule,0.10947373900682286,0.014018691588785047,0.012870577470731403
43,neutral > 0.5000000149011612 & common <= 0.9000000059604645,rule,-0.3596742237574524,0.9174454828660437,0.09898510978942333
57,negative > 0.30000000447034836 & interdisciplinary > 0.9000000059604645 & subject to geographical variability > 0.5000000149011612,rule,0.0014949097598882597,0.6246105919003115,0.000723870131151263
104,subject to time variability > 0.7000000178813934 & conceptually dense <= 0.9000000059604645,rule,0.019399341294645794,0.8738317757009346,0.006441335136856383
105,subject to geographical variability > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,-0.01407870559875587,0.2367601246105919,0.00598477094570273
133,negative > 0.5000000149011612 & positive <= 0.5000000149011612 & common > 0.7000000178813934 & negative <= 0.9000000059604645 & subject to geographical variability > 0.7000000178813934,rule,0.09909513883678996,0.1557632398753894,0.03593494344288984
145,unambiguous > 0.7000000178813934 & technically complicated > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,-0.07068853565479641,0.07476635514018691,0.018592072243407334
148,negative > 0.7000000178813934 & common > 0.9000000059604645,rule,0.10908884326155976,0.010903426791277258,0.011328729086314932
274,negative > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & neutral > 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,-0.02126490150715557,0.056074766355140186,0.004892331873552827
303,unambiguous > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,rule,-0.03606510081653794,0.3333333333333333,0.017001251567700312
315,subject to geographical variability > 0.7000000178813934 & neutral > 0.7000000178813934 & subject to time variability > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,-0.037342080261678075,0.11370716510903427,0.011854440010746727
316,unambiguous > 0.7000000178813934 & negative > 0.30000000447034836 & negative <= 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.05077564316071201,0.3862928348909657,0.02472261219450352
322,neutral <= 0.7000000178813934 & positive > 0.30000000447034836 & positive <= 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,0.06158575049603821,0.08099688473520249,0.01680246067971837
347,common <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & unambiguous > 0.7000000178813934 & socially controversial <= 0.6000000089406967,rule,-0.03500108450310803,0.06386292834890965,0.008558066117203547
355,neutral > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.026444280178374666,0.67601246105919,0.01237579919501389
378,positive > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & conceptually dense > 0.5000000149011612,rule,0.0004949362298004906,0.6728971962616822,0.00023220188363974977
385,common <= 0.9000000059604645 & positive <= 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & neutral > 0.5000000149011612,rule,-0.06832819564187996,0.04984423676012461,0.014869789854728767
389,positive <= 0.5000000149011612 & socially controversial <= 0.9000000059604645,rule,0.08363694040876539,0.1542056074766355,0.030205123875981926
397,socially controversial > 0.30000000447034836 & socially controversial <= 0.9000000059604645,rule,0.028474344100777555,0.881619937694704,0.00919885371787835
407,socially controversial > 0.30000000447034836 & negative > 0.7000000178813934 & common > 0.9000000059604645,rule,0.0794282276605338,0.01557632398753894,0.009835543941786625
410,unambiguous > 0.5000000149011612 & common > 0.9000000059604645,rule,0.053184636434351826,0.03894080996884735,0.010288776968950248
448,technically complicated > 0.7000000178813934 & negative > 0.7000000178813934 & positive <= 0.5000000149011612,rule,0.030835308328656098,0.13551401869158877,0.010554055780447285
458,neutral > 0.7000000178813934 & positive > 0.30000000447034836,rule,-0.002293225335496519,0.778816199376947,0.0009517894300390641
464,subject to geographical variability > 0.7000000178813934 & technically complicated > 0.5000000149011612 & interdisciplinary > 0.9000000059604645,rule,0.013047755190360256,0.5778816199376947,0.00644424987511231
506,negative > 0.5000000149011612 & common <= 0.9000000059604645,rule,-0.02387811632049383,0.42679127725856697,0.011810389650699575
512,technically complicated <= 0.5000000149011612 & socially controversial <= 0.9000000059604645,rule,0.04487123974928916,0.14641744548286603,0.015863070224110785
563,neutral <= 0.7000000178813934 & common > 0.9000000059604645,rule,0.18115934324573882,0.006230529595015576,0.01425496136311882
569,positive <= 0.7000000178813934 & common > 0.7000000178813934 & subject to geographical variability > 0.9000000059604645 & unambiguous > 0.5000000149011612 & subject to time variability > 0.5000000149011612,rule,0.0416983911155433,0.03426791277258567,0.007585626508247252
574,unambiguous > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,-0.00573003843957015,0.26479750778816197,0.002528238074294157
585,neutral > 0.7000000178813934 & socially controversial <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & neutral > 0.5000000149011612,rule,-0.015693574330220197,0.7725856697819314,0.0065781550650671145
599,unambiguous > 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.010491910653873109,0.5934579439252337,0.005153500197715801
607,interdisciplinary > 0.9000000059604645 & common <= 0.9000000059604645 & neutral > 0.7000000178813934 & technically complicated > 0.7000000178813934 & subject to geographical variability > 0.5000000149011612,rule,0.012129389693837655,0.35514018691588783,0.005804589545628143
652,negative > 0.30000000447034836 & socially controversial <= 0.30000000447034836,rule,-0.024641015171539972,0.014018691588785047,0.002896987876727288
686,subject to geographical variability <= 0.7000000178813934 & interdisciplinary > 0.9000000059604645 & common <= 0.9000000059604645,rule,-0.166313485900689,0.01557632398753894,0.020594486958453475
691,socially controversial > 0.9000000059604645 & positive <= 0.5000000149011612 & common <= 0.9000000059604645,rule,-0.008811070441146322,0.04361370716510903,0.0017995206988124849
718,subject to geographical variability > 0.7000000178813934 & common > 0.9000000059604645,rule,0.060152270277863504,0.03271028037383177,0.010699720733477776
722,positive > 0.7000000178813934 & neutral <= 0.9000000059604645 & negative <= 0.7000000178813934 & socially controversial <= 0.9000000059604645,rule,0.0805778301198361,0.6417445482866043,0.0386360808365609
732,neutral > 0.7000000178813934 & subject to time variability > 0.5000000149011612,rule,-0.029211787617829162,0.7897196261682243,0.011904028838562399
737,positive <= 0.9000000059604645 & unambiguous > 0.7000000178813934 & negative <= 0.7000000178813934,rule,-0.024516292620005865,0.46417445482866043,0.01222663990203831
738,common > 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.028668506053106696,0.7601246105919003,0.012241659777325324
