,rule,type,coef,support,importance
2,common,linear,-0.8004082753924061,1.0,0.08798164812906642
15,socially controversial <= 0.5000000149011612 & common <= 0.9000000059604645 & subject to time variability > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,0.33323508935771545,0.367601246105919,0.16066997132260066
52,conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,0.9685047349904006,0.5467289719626168,0.48213290543426796
62,technically complicated > 0.5000000149011612 & interdisciplinary > 0.9000000059604645,rule,0.258838593634787,0.5809968847352025,0.12770989837621025
72,common <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & unambiguous <= 0.7000000178813934,rule,0.01413720596262624,0.38006230529595014,0.0068622258320605025
98,technically complicated > 0.5000000149011612 & socially controversial > 0.9000000059604645,rule,0.3278044884634818,0.0778816199376947,0.08784675494577547
109,negative <= 0.9000000059604645 & subject to time variability > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.1137986347388311,0.8753894080996885,0.03758505369254431
114,socially controversial <= 0.9000000059604645 & positive <= 0.30000000447034836 & neutral > 0.7000000178813934,rule,-0.669312143486337,0.010903426791277258,0.06950716242867461
115,neutral <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & subject to time variability > 0.7000000178813934 & common > 0.7000000178813934 & socially controversial > 0.30000000447034836,rule,-0.1185075174066334,0.13551401869158877,0.040561778587749495
140,common <= 0.7000000178813934 & common <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & unambiguous <= 0.7000000178813934,rule,0.558792671088867,0.10903426791277258,0.17416573134275085
144,positive > 0.30000000447034836 & common > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.14403087874222467,0.8862928348909658,0.045723360878130975
148,subject to geographical variability <= 0.9000000059604645 & common <= 0.9000000059604645,rule,0.20939502131360718,0.8566978193146417,0.07336798333689627
150,technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.11890820990897083,0.09345794392523364,0.034610982723662545
156,subject to geographical variability > 0.5000000149011612 & positive <= 0.9000000059604645 & common <= 0.9000000059604645 & conceptually dense > 0.5000000149011612,rule,0.11150302825870867,0.9127725856697819,0.0314625889070778
163,positive > 0.30000000447034836 & socially controversial <= 0.5000000149011612 & neutral > 0.7000000178813934 & interdisciplinary <= 0.9000000059604645,rule,-0.42689245094034106,0.21806853582554517,0.17627849063652964
177,positive > 0.30000000447034836 & positive > 0.5000000149011612 & negative > 0.30000000447034836 & subject to geographical variability <= 0.7000000178813934,rule,-0.05934031681591311,0.06386292834890965,0.01450921769813432
214,positive > 0.30000000447034836 & neutral > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.02637799003359378,0.7710280373831776,0.011083270647544673
230,technically complicated > 0.7000000178813934 & common <= 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,0.05857515753758001,0.0763239875389408,0.015552629418325414
