,rule,type,coef,support,importance
2,common,linear,-43.65908204236265,1.0,4.802352254276118
14,positive > 0.5000000149011612 & common <= 0.5000000149011612,rule,1153.752869266741,0.0264797507788162,185.24318324946327
40,socially controversial > 0.5000000149011612 & positive > 0.5000000149011612,rule,1.6674668130664152,0.3925233644859813,0.814244333535033
68,technically complicated > 0.5000000149011612 & positive > 0.5000000149011612 & common <= 0.5000000149011612 & socially controversial > 0.7000000178813934,rule,147.9474595817859,0.020249221183800622,20.838645327656067
79,technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & common <= 0.5000000149011612,rule,110.28154426177211,0.020249221183800622,15.533338615975797
152,common > 0.5000000149011612 & positive <= 0.7000000178813934 & neutral <= 0.9000000059604645,rule,-10.082961094805214,0.2757009345794392,4.505740472193972
208,positive > 0.5000000149011612 & common <= 0.5000000149011612 & socially controversial <= 0.9000000059604645,rule,794.9186334048677,0.02336448598130841,120.07899629755306
270,unambiguous > 0.5000000149011612 & positive > 0.5000000149011612 & common <= 0.5000000149011612,rule,10.708642150786627,0.014018691588785047,1.258990600471307
286,positive <= 0.5000000149011612,rule,-8.708877717206871,0.235202492211838,3.6936554747716266
307,positive > 0.5000000149011612 & common <= 0.5000000149011612 & subject to time variability > 0.5000000149011612,rule,224.37525858661303,0.028037383177570093,37.03978744219514
371,positive > 0.7000000178813934 & interdisciplinary > 0.9000000059604645,rule,14.713207965087397,0.43146417445482865,7.287165991788996
513,neutral <= 0.9000000059604645 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.5000000149011612 & subject to time variability > 0.5000000149011612,rule,147.67105229761472,0.010903426791277258,15.335439402905642
530,neutral > 0.5000000149011612 & negative > 0.5000000149011612 & positive > 0.5000000149011612 & common <= 0.5000000149011612,rule,43.74279474960939,0.012461059190031152,4.85245058292803
542,technically complicated > 0.7000000178813934 & positive > 0.7000000178813934,rule,7.490527367185916,0.3956386292834891,3.662773708274681
663,common > 0.5000000149011612 & positive <= 0.7000000178813934,rule,-30.841244787581132,0.24922118380062305,13.340754146288655
