,rule,type,coef,support,importance
0,conceptually dense,linear,0.08233015832213313,1.0,0.007398507565972323
34,technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & negative <= 0.5000000149011612 & unambiguous > 0.7000000178813934,rule,0.015530903632585975,0.1542056074766355,0.005608919525696001
48,conceptually dense <= 0.5000000149011612 & subject to time variability <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645 & subject to time variability > 0.5000000149011612,rule,-0.033441668773944014,0.003115264797507788,0.0018636222968117348
49,positive > 0.30000000447034836 & subject to time variability > 0.7000000178813934 & unambiguous > 0.7000000178813934,rule,0.01045165560305354,0.49221183800623053,0.005225193813015521
66,socially controversial > 0.5000000149011612 & subject to geographical variability > 0.7000000178813934 & negative <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.0020046637538222853,0.102803738317757,0.0006088211336236985
70,subject to geographical variability <= 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,0.02239376435636649,0.024922118380062305,0.003490914674076957
78,technically complicated > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & positive <= 0.5000000149011612 & interdisciplinary <= 0.9000000059604645,rule,-0.015889326798089687,0.006230529595015576,0.0012502901342796994
92,positive > 0.30000000447034836 & technically complicated <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.006961785117775285,0.0529595015576324,0.0015591102773094751
97,socially controversial <= 0.7000000178813934 & socially controversial > 0.30000000447034836,rule,0.01152714998310409,0.48130841121495327,0.005759546279838066
103,unambiguous <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & common <= 0.9000000059604645,rule,0.025500005455158292,0.3037383177570093,0.011726713436805399
107,negative <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & subject to geographical variability > 0.5000000149011612,rule,0.008284745402649599,0.17757009345794392,0.003166019063785706
132,positive <= 0.30000000447034836 & neutral <= 0.9000000059604645 & unambiguous > 0.7000000178813934,rule,-0.008511408736148562,0.029595015576323987,0.001442405077513855
139,neutral > 0.5000000149011612 & subject to geographical variability > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & negative <= 0.7000000178813934 & interdisciplinary > 0.9000000059604645 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & subject to time variability > 0.7000000178813934,rule,0.021599660624920938,0.03894080996884735,0.004178539248813735
140,common > 0.5000000149011612 & subject to time variability > 0.7000000178813934 & conceptually dense <= 0.9000000059604645,rule,-0.025268164675944404,0.8489096573208723,0.009049462585059453
144,technically complicated > 0.5000000149011612 & common <= 0.7000000178813934 & interdisciplinary > 0.9000000059604645,rule,0.024299222111589556,0.17289719626168223,0.00918895432190509
146,unambiguous <= 0.7000000178813934 & negative <= 0.9000000059604645 & common <= 0.9000000059604645,rule,0.007067605279347482,0.3925233644859813,0.0034511976521968473
149,positive > 0.5000000149011612 & technically complicated <= 0.5000000149011612 & interdisciplinary > 0.9000000059604645 & conceptually dense <= 0.9000000059604645,rule,0.007894521374423029,0.03271028037383177,0.0014042557935154587
175,positive > 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.0456875255012752,0.04205607476635514,0.009170268433894397
