,rule,type,coef,support,importance
9,interdisciplinary,linear,1.049429194079622,1.0,0.03875339859325588
20,neutral <= 0.5000000149011612 & negative > 0.5000000149011612,rule,-0.06237880359080729,0.2811188811188811,0.028042103458021116
99,socially controversial > 0.5000000149011612 & neutral > 0.30000000447034836,rule,0.0019578280463463096,0.6027972027972028,0.0009580017642853373
116,positive > 0.30000000447034836 & unambiguous <= 0.7000000178813934,rule,0.09704444431884818,0.9314685314685315,0.024518832703766317
131,subject to time variability <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,0.03159946840214309,0.7118881118881119,0.014310876573619442
134,technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & unambiguous > 0.30000000447034836,rule,0.12279727461361234,0.7174825174825175,0.05528623985544456
151,technically complicated > 0.5000000149011612 & common <= 0.5000000149011612,rule,0.15912466156953997,0.06993006993006994,0.04058142340921416
167,neutral > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.01247096732462293,0.05174825174825175,0.0027625478457562673
172,interdisciplinary > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.06932597950803862,0.9454545454545454,0.01574329466417126
176,positive > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612,rule,0.06649049589548789,0.7286713286713287,0.029564685046461
185,conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,-0.24106215651669896,0.14265734265734265,0.08430499728380497
193,common <= 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,0.04814714898224228,0.04755244755244755,0.010246547279034473
197,negative > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & socially controversial > 0.30000000447034836 & socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.06434892774806072,0.01818181818181818,0.00859756573516203
204,common <= 0.7000000178813934 & positive > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,0.00928191560242912,0.09230769230769231,0.002686741537029059
221,neutral > 0.7000000178813934 & socially controversial > 0.30000000447034836 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.09779988553642616,0.43216783216783217,0.04844785583818309
231,technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.1618111341532434,0.6111888111888112,0.07887974111298761
237,neutral > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common <= 0.7000000178813934 & neutral > 0.30000000447034836,rule,-0.029833759965267537,0.11888111888111888,0.009655653823840704
251,technically complicated <= 0.7000000178813934 & common <= 0.7000000178813934 & neutral <= 0.7000000178813934,rule,-0.0635431134893408,0.07972027972027972,0.017211266268290077
266,socially controversial > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,0.06280288865311497,0.8013986013986014,0.025055037736107146
271,common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.015643088026668136,0.3300699300699301,0.007355974339154996
285,technically complicated <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & negative <= 0.5000000149011612 & conceptually dense > 0.30000000447034836,rule,0.15128783707509078,0.03076923076923077,0.026126180913279968
293,socially controversial > 0.30000000447034836 & conceptually dense <= 0.9000000059604645,rule,0.42714601029208216,0.9874125874125874,0.047620496341984
304,positive > 0.30000000447034836 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & negative > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612 & negative <= 0.9000000059604645,rule,-0.2900033124152537,0.016783216783216783,0.03725333880441715
330,neutral > 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.003575779041059547,0.3902097902097902,0.0017442550095687693
348,technically complicated <= 0.9000000059604645 & common <= 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,0.033558398975365264,0.05314685314685315,0.007528029701536492
363,socially controversial <= 0.7000000178813934 & common <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.68714916187031,0.019580419580419582,0.09520680829198958
384,positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & common <= 0.7000000178813934,rule,0.04332551068027255,0.2111888111888112,0.017683396070355843
385,negative <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & common <= 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,0.04191105757190684,0.12727272727272726,0.013968043183921109
420,positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & neutral > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense <= 0.9000000059604645,rule,0.04849192560533291,0.1258741258741259,0.016085132836394192
437,technically complicated > 0.5000000149011612 & negative > 0.5000000149011612 & negative <= 0.7000000178813934,rule,0.13045140004029143,0.3888111888111888,0.0635924883466909
458,technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common <= 0.7000000178813934 & neutral <= 0.7000000178813934,rule,0.07885664764886986,0.02097902097902098,0.011301261343029275
467,technically complicated <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & negative <= 0.9000000059604645,rule,-0.24496606502224463,0.393006993006993,0.11964592425279778
468,neutral > 0.7000000178813934 & negative <= 0.9000000059604645 & common <= 0.9000000059604645,rule,-0.13987557562454814,0.5230769230769231,0.06986325814924553
473,technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.26387414649999735,0.5468531468531469,0.13135653492232313
486,technically complicated <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & neutral > 0.7000000178813934,rule,0.017756814709741185,0.4223776223776224,0.008770765879297572
499,common > 0.7000000178813934 & negative > 0.7000000178813934 & positive > 0.5000000149011612 & neutral > 0.4000000134110451 & socially controversial > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,-0.13521252712864013,0.008391608391608392,0.01233416150504652
510,positive > 0.7000000178813934 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & negative <= 0.5000000149011612,rule,-0.00566432116842928,0.03636363636363636,0.0010603228318165673
519,neutral > 0.7000000178813934 & negative > 0.9000000059604645,rule,0.013330203403458866,0.022377622377622378,0.001971647687354555
523,socially controversial > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,0.10262484540718504,0.3006993006993007,0.04705986816948338
