,rule,type,coef,support,importance
9,interdisciplinary,linear,695.7821895837197,1.0,25.693895957101056
47,subject to time variability <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934,rule,13.61582154334621,0.46853146853146854,6.794414074252139
54,socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-58.27298535572545,0.043356643356643354,11.867797402213101
116,technically complicated <= 0.9000000059604645 & positive > 0.5000000149011612 & unambiguous <= 0.7000000178813934,rule,10.869987061049047,0.7874125874125875,4.447326115211776
220,neutral <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,8.346901450577601,0.2,3.3387605802310407
239,negative <= 0.9000000059604645 & conceptually dense > 0.30000000447034836,rule,23.582691861033727,0.8531468531468531,8.347316902761062
289,technically complicated > 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & common <= 0.7000000178813934,rule,52.8525781956581,0.24335664335664337,22.679495644825792
325,technically complicated <= 0.9000000059604645 & neutral <= 0.5000000149011612 & technically complicated <= 0.5000000149011612,rule,-8.215781904213738,0.03636363636363636,1.5379391237236097
346,subject to time variability <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.6945449315570555,0.5174825174825175,0.3470601212442499
351,subject to time variability <= 0.9000000059604645 & negative > 0.7000000178813934 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,55.18449155032469,0.17062937062937064,20.759565798920082
413,technically complicated <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934,rule,64.52452739267774,0.45034965034965035,32.102806530932696
450,unambiguous > 0.5000000149011612 & interdisciplinary > 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & common > 0.5000000149011612,rule,10.6655434578313,0.9034965034965035,3.149326968624496
458,technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & conceptually dense <= 0.9000000059604645,rule,1.9022344172361427,0.6055944055944056,0.9296650314644767
501,neutral > 0.7000000178813934 & positive > 0.5000000149011612,rule,11.501175528079838,0.4811188811188811,5.7464861707648565
