,rule,type,coef,support,importance
2,common,linear,-0.40054009913070726,1.0,0.049139170476590305
9,interdisciplinary,linear,0.001967230672748504,1.0,7.264603921445458e-05
35,positive > 0.30000000447034836 & socially controversial <= 0.9000000059604645 & conceptually dense > 0.5000000149011612 & unambiguous > 0.5000000149011612 & socially controversial > 0.30000000447034836,rule,0.06339517029672759,0.9020979020979021,0.018839918005422885
38,technically complicated > 0.5000000149011612 & interdisciplinary > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & neutral <= 0.7000000178813934,rule,-0.0452510333804141,0.055944055944055944,0.010399305622184078
41,conceptually dense > 0.5000000149011612 & positive > 0.5000000149011612 & technically complicated > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & common <= 0.9000000059604645,rule,0.016123868805281015,0.27972027972027974,0.007237387505686003
44,negative > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & common > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.011519582916556569,0.46153846153846156,0.005742725372000929
60,socially controversial <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.3465795737790054,0.35244755244755244,0.16557230216843344
91,socially controversial > 0.30000000447034836 & common <= 0.7000000178813934,rule,0.2943139152458348,0.3678321678321678,0.1419226938647249
92,neutral > 0.7000000178813934,rule,-0.00030268746374497373,0.5524475524475524,0.00015050881261255888
102,subject to time variability <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & neutral <= 0.7000000178813934,rule,0.16512748598548893,0.3594405594405594,0.07923419096077156
108,socially controversial > 0.5000000149011612 & neutral > 0.30000000447034836,rule,0.12145083220364136,0.5804195804195804,0.059934809451811434
117,technically complicated <= 0.5000000149011612 & socially controversial > 0.30000000447034836 & positive > 0.5000000149011612 & unambiguous > 0.30000000447034836,rule,0.03805549444137513,0.12727272727272726,0.012683067919023475
123,negative > 0.7000000178813934 & negative <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.09580105407336711,0.009790209790209791,0.009432566910562564
162,negative <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,-0.3155501014803237,0.11608391608391608,0.10107875120334729
167,socially controversial > 0.30000000447034836 & positive <= 0.7000000178813934 & neutral <= 0.7000000178813934,rule,0.039897577899502795,0.25874125874125875,0.017472871723165855
203,neutral > 0.7000000178813934 & negative > 0.5000000149011612 & technically complicated > 0.5000000149011612 & positive > 0.5000000149011612,rule,0.12204053692455523,0.3230769230769231,0.057072479219953634
213,socially controversial > 0.30000000447034836 & interdisciplinary > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612,rule,0.08496631512282173,0.8937062937062937,0.026187736794429584
230,unambiguous > 0.5000000149011612 & positive > 0.30000000447034836 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934,rule,-0.013997418246369988,0.2097902097902098,0.005699171831488808
235,positive <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.1131737724652652,0.3090909090909091,0.052299719803989
252,socially controversial > 0.5000000149011612 & unambiguous > 0.30000000447034836 & common <= 0.7000000178813934,rule,0.07883713892050308,0.2867132867132867,0.03565224084425107
256,technically complicated > 0.5000000149011612 & negative <= 0.9000000059604645,rule,-0.20809363584516968,0.7230769230769231,0.09311735325629149
262,neutral <= 0.7000000178813934,rule,0.004685143916938771,0.44755244755244755,0.0023296486717121834
269,negative > 0.7000000178813934 & negative <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & common > 0.5000000149011612,rule,0.016594462460891347,0.0993006993006993,0.004962828359053904
306,negative <= 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,-0.011860973927930103,0.4937062937062937,0.005930017123412088
319,technically complicated <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.1699431125808069,0.6559440559440559,0.08073307629619479
326,neutral > 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,-0.15696573991681262,0.07692307692307693,0.0418265594743941
328,positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934,rule,-0.1166367564982499,0.027972027972027972,0.019232546554024562
330,negative <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & interdisciplinary <= 0.7000000178813934 & common > 0.7000000178813934,rule,-0.24525444721370077,0.006993006993006993,0.020437370867157887
342,negative <= 0.7000000178813934 & conceptually dense <= 0.5000000149011612,rule,-0.0669413204959877,0.02937062937062937,0.011302580681873274
394,negative > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,-0.060822318861881323,0.36083916083916084,0.02920955124936108
406,socially controversial > 0.30000000447034836 & neutral > 0.7000000178813934 & negative <= 0.9000000059604645 & positive <= 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.06808530906545605,0.06433566433566433,0.016704725602217634
417,technically complicated <= 0.5000000149011612 & negative > 0.5000000149011612 & interdisciplinary > 0.7000000178813934,rule,-0.15993977985127197,0.12867132867132866,0.053553565305655845
457,conceptually dense > 0.5000000149011612 & technically complicated <= 0.9000000059604645 & negative > 0.7000000178813934 & socially controversial > 0.30000000447034836 & socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.09516153530302031,0.019580419580419582,0.013184948117678135
460,negative <= 0.5000000149011612 & neutral > 0.5000000074505806 & common <= 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.007083116950712542,0.02937062937062937,0.0011959354882963682
479,socially controversial <= 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,-0.20674247975060947,0.14545454545454545,0.07288882580067875
485,technically complicated <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,0.014534842278355739,0.593006993006993,0.007140583539958098
503,negative <= 0.9000000059604645 & neutral > 0.30000000447034836,rule,-0.09865641926317863,0.6881118881118881,0.04570400828628032
528,socially controversial <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,-0.08498102593062208,0.08951048951048951,0.02426031353342955
542,neutral > 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,-0.055808309237488016,0.0951048951048951,0.01637191270278941
551,socially controversial > 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,0.07192635380676105,0.43776223776223777,0.03568347971583389
567,negative > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & neutral <= 0.7000000178813934,rule,0.023557754593886586,0.17202797202797201,0.008890808593718283
634,negative <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,0.05563684618537863,0.26433566433566436,0.024534670855509984
646,technically complicated > 0.5000000149011612 & negative <= 0.9000000059604645 & positive > 0.7000000178813934,rule,-0.03644130079033983,0.4979020979020979,0.018220490009258336
674,unambiguous <= 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated > 0.30000000447034836,rule,0.09744612692194603,0.005594405594405594,0.007268140878013989
679,negative <= 0.5000000149011612 & neutral > 0.5000000074505806 & common <= 0.7000000178813934,rule,-0.0030051468999728907,0.03076923076923077,0.0005189644659980482
691,neutral > 0.5000000149011612 & socially controversial > 0.5000000149011612 & unambiguous <= 0.7000000178813934,rule,0.013863706708689425,0.5916083916083916,0.006814514653803881
693,negative > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,0.07055678151560807,0.6195804195804195,0.034254610633814145
703,interdisciplinary <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.12718807836178908,0.016783216783216783,0.01633836708840732
708,negative <= 0.5000000149011612 & neutral <= 0.5000000074505806 & common <= 0.7000000178813934 & common <= 0.9000000059604645,rule,0.005958186035498669,0.016783216783216783,0.0007653785785810358
715,socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,-0.09347624375301147,0.07412587412587412,0.024488497525571383
717,technically complicated <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & positive <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,-0.025970008467770117,0.01818181818181818,0.0034698146924615546
720,negative <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934,rule,-0.08315367592221584,0.26713286713286716,0.036792367783459394
724,negative > 0.7000000178813934 & negative <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,-0.09161103856500878,0.005594405594405594,0.00683292353738177
746,subject to time variability <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & unambiguous > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.056914340868089004,0.8363636363636363,0.021055191302151922
747,positive > 0.30000000447034836 & technically complicated <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & socially controversial > 0.30000000447034836 & positive <= 0.5000000149011612,rule,0.05517122338735062,0.04895104895104895,0.01190405846008521
752,socially controversial > 0.5000000149011612 & positive <= 0.5000000149011612 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.19842201264058304,0.03496503496503497,0.036448390752958304
787,conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934,rule,-0.06869759031583347,0.18461538461538463,0.026653650882039873
801,negative > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common > 0.5000000149011612,rule,0.004149725812424229,0.34545454545454546,0.001973262050155575
811,neutral <= 0.5000000149011612 & common <= 0.7000000178813934,rule,0.009324525135596574,0.13706293706293707,0.003206832689785291
870,negative > 0.9000000059604645 & positive > 0.5000000149011612,rule,0.0404595484374329,0.08671328671328671,0.011385901567308199
883,technically complicated > 0.5000000149011612 & negative > 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.0006054287549955066,0.08951048951048951,0.00017283730406286203
920,socially controversial <= 0.7000000178813934 & positive > 0.30000000447034836 & positive <= 0.5000000149011612,rule,-0.3222842845071641,0.026573426573426574,0.05183397406407676
922,socially controversial > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.06534747545537921,0.4755244755244755,0.032634567758779806
939,negative <= 0.5000000149011612 & neutral <= 0.5000000074505806 & common <= 0.7000000178813934,rule,1.393473904282443e-05,0.004195804195804196,9.007275001897655e-07
