,rule,type,coef,support,importance
0,conceptually dense,linear,-0.007468420623657,1.0,0.0008159702995774471
5,positive,linear,0.009865201401990755,1.0,0.0018379965688748632
14,unambiguous > 0.30000000447034836 & neutral > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.013483526783742426,0.012587412587412588,0.0015032148783110193
22,unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & negative > 0.7000000178813934,rule,-0.0024271482373951314,0.31608391608391606,0.0011284931023267846
33,unambiguous > 0.7000000178813934 & common > 0.6000000089406967 & positive <= 0.5000000149011612,rule,-0.01454147719801328,0.004195804195804196,0.000939946443588237
40,conceptually dense <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & common > 0.5000000149011612 & technically complicated > 0.30000000447034836 & positive <= 0.5000000149011612,rule,-0.0012521676700222603,0.03076923076923077,0.00021623918824699873
42,unambiguous > 0.30000000447034836 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.5000000149011612 & technically complicated > 0.30000000447034836,rule,-0.0032735617595615477,0.019580419580419582,0.0004535629004134431
73,subject to time variability <= 0.9000000059604645 & technically complicated > 0.30000000447034836 & positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.019761491397481894,0.14125874125874127,0.006882695375049416
76,technically complicated > 0.7000000178813934,rule,-0.0009530897090200138,0.5230769230769231,0.00047603702135520434
100,unambiguous > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.5000000149011612 & technically complicated > 0.30000000447034836,rule,-0.01166706998404977,0.0013986013986013986,0.0004360184503381873
104,neutral > 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.0010592162468131606,0.022377622377622378,0.0001566668714819198
132,technically complicated <= 0.7000000178813934,rule,0.0010090803494040704,0.47692307692307695,0.0005040025081503587
147,interdisciplinary > 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.011951909117938187,0.1972027972027972,0.004755506097293313
156,socially controversial > 0.30000000447034836 & interdisciplinary <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated > 0.30000000447034836 & common > 0.7000000178813934 & conceptually dense <= 0.5000000149011612 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,rule,-0.009962675120379677,0.002797202797202797,0.0005261743694675945
170,negative > 0.9000000059604645 & neutral <= 0.30000000447034836 & socially controversial > 0.9000000059604645,rule,-0.03391868604673693,0.004195804195804196,0.0021924697117547427
178,neutral > 0.30000000447034836 & socially controversial > 0.30000000447034836 & technically complicated <= 0.9000000059604645 & neutral > 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.0043272485051331164,0.032167832167832165,0.0007635241180272942
188,socially controversial <= 0.9000000059604645 & positive > 0.5000000149011612 & socially controversial <= 0.5000000149011612,rule,0.008094591350500365,0.14405594405594405,0.002842387013361539
208,negative <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & positive <= 0.5000000149011612 & negative > 0.5000000149011612,rule,-0.011497698639742503,0.05034965034965035,0.002514149027310157
218,neutral <= 0.30000000447034836 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & common <= 0.9000000059604645 & positive <= 0.5000000149011612,rule,0.0011560520090916542,0.023776223776223775,0.0001761260125949274
237,socially controversial > 0.30000000447034836 & technically complicated <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & technically complicated > 0.30000000447034836 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & positive <= 0.5000000149011612,rule,0.010026563231556242,0.03776223776223776,0.0019112704989777535
245,neutral > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.016958637108688467,0.002797202797202797,0.0008956630703976865
251,neutral > 0.5000000074505806 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,0.007385244009830254,0.07832167832167833,0.0019842460665267284
255,negative <= 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & socially controversial <= 0.7000000178813934,rule,0.004036879953514361,0.11748251748251748,0.0012998526252757491
277,negative > 0.9000000059604645 & common > 0.7000000178813934 & technically complicated > 0.5000000149011612 & positive <= 0.30000000447034836 & socially controversial <= 0.9000000059604645,rule,0.01990365327624675,0.009790209790209791,0.0019597126890593167
341,unambiguous > 0.30000000447034836 & positive > 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & technically complicated <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,rule,0.0014303591897061247,0.04195804195804196,0.0002867774388673258
356,negative > 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.005751711339376434,0.17482517482517482,0.002184600619873895
357,subject to geographical variability <= 0.9000000059604645 & subject to time variability > 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,-0.02087635562636186,0.002797202797202797,0.0011025756762871935
366,unambiguous > 0.30000000447034836 & neutral > 0.5000000149011612,rule,0.0013979570945419598,0.7048951048951049,0.0006375941100869237
380,socially controversial <= 0.9000000059604645 & negative <= 0.9000000059604645 & technically complicated > 0.30000000447034836,rule,-0.004624573829175075,0.813986013986014,0.0017995047118550928
383,conceptually dense <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & negative <= 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,rule,0.010520555332942279,0.046153846153846156,0.0022074037720593897
417,positive <= 0.30000000447034836 & common > 0.7000000178813934,rule,-0.01085817813762319,0.02937062937062937,0.0018333285562538981
