,rule,type,coef,support,importance
2,common,linear,-1.3206793545108344,1.0,0.16202394738271494
9,interdisciplinary,linear,0.6947835585781621,1.0,0.02565701843775598
19,technically complicated > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.15098068131565512,0.6125874125874126,0.07355162612489649
111,positive > 0.30000000447034836 & technically complicated <= 0.9000000059604645 & negative > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.20385001274560624,0.01818181818181818,0.02723610083381359
115,socially controversial > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & common > 0.5000000149011612,rule,0.05975858970920465,0.4699300699300699,0.029825212150374533
122,socially controversial <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & positive > 0.5000000149011612 & socially controversial > 0.30000000447034836,rule,0.020651044415510716,0.7734265734265734,0.008644821929517306
127,socially controversial > 0.30000000447034836 & common <= 0.9000000059604645,rule,0.011386522192963718,0.9874125874125874,0.0012694297157713602
220,negative > 0.7000000178813934 & unambiguous > 0.5000000149011612 & neutral <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.5000000149011612,rule,0.0033435174333502756,0.15384615384615385,0.0012063451432792703
229,technically complicated <= 0.9000000059604645 & positive <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & neutral <= 0.7000000178813934,rule,0.14126711945659615,0.26713286713286716,0.06250537642640003
261,socially controversial <= 0.7000000178813934 & positive > 0.30000000447034836,rule,-0.0015487029814823994,0.3734265734265734,0.0007491292081519966
289,socially controversial > 0.7000000178813934 & unambiguous > 0.30000000447034836 & common <= 0.7000000178813934,rule,0.0758833441562421,0.22797202797202798,0.031834919875138194
303,technically complicated > 0.5000000149011612 & neutral <= 0.4000000134110451 & socially controversial > 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,-0.10160105572129415,0.02097902097902098,0.014560853367071592
310,negative > 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & socially controversial > 0.5000000149011612 & neutral > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.03676603434559864,0.02937062937062937,0.006207691549325797
324,socially controversial <= 0.7000000178813934 & negative <= 0.9000000059604645,rule,-0.09331237656412546,0.35244755244755244,0.04457834845853207
353,negative <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.08503149523093577,0.1958041958041958,0.033742069401103955
372,negative > 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,-0.07974293205272015,0.33706293706293705,0.037695008921443486
378,positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & common <= 0.7000000178813934,rule,0.029738664708626447,0.23916083916083916,0.012685655921805159
415,negative > 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & neutral > 0.4000000134110451,rule,0.15858983563803813,0.38741258741258744,0.07725849556653362
442,technically complicated > 0.5000000149011612 & negative > 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,0.11022132591632615,0.11608391608391608,0.035306703839846784
449,socially controversial <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.20529378715785768,0.05034965034965035,0.044890650857005374
451,technically complicated <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,0.13686005952235916,0.593006993006993,0.06723572706105735
462,socially controversial <= 0.5000000149011612 & positive > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,0.1323405475231343,0.06013986013986014,0.03146340710131128
468,positive > 0.7000000178813934 & socially controversial > 0.5000000149011612 & neutral > 0.30000000447034836,rule,0.008061195542156365,0.427972027972028,0.003988556803606721
469,negative <= 0.9000000059604645 & neutral > 0.30000000447034836,rule,-0.07560972383417221,0.6377622377622377,0.03634158907408355
476,positive <= 0.5000000149011612 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.13030069034476907,0.043356643356643354,0.026536862406145605
480,positive <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & unambiguous > 0.30000000447034836 & conceptually dense > 0.7000000178813934,rule,0.017645314115371805,0.25874125874125875,0.0077276447916078015
486,technically complicated <= 0.5000000149011612 & neutral <= 0.7000000178813934,rule,0.03582659743423802,0.07692307692307693,0.009546690310525697
496,socially controversial <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,-0.1763403199424483,0.07972027972027972,0.047763479529124124
543,technically complicated <= 0.9000000059604645 & positive > 0.5000000149011612 & common <= 0.7000000178813934 & neutral <= 0.7000000178813934,rule,0.09683530203459374,0.10909090909090909,0.030188719154751614
560,socially controversial > 0.7000000178813934 & common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.023161889673012664,0.1958041958041958,0.00919106604776219
597,technically complicated <= 0.9000000059604645 & negative > 0.9000000059604645,rule,0.2247144562934772,0.15664335664335666,0.08167565723535346
630,negative <= 0.9000000059604645 & negative <= 0.5000000149011612 & neutral <= 0.30000000447034836,rule,0.03858311010633776,0.019580419580419582,0.005345818595200621
635,socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,-0.4226024052553547,0.13146853146853146,0.14280244707503564
654,socially controversial <= 0.5000000149011612 & positive > 0.7000000178813934 & neutral > 0.5000000074505806 & negative <= 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,-0.04737682485927946,0.06713286713286713,0.011856143449953315
662,negative > 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated > 0.5000000149011612 & neutral <= 0.4000000134110451,rule,-0.005912696735303145,0.13986013986013987,0.0020507707783799767
663,positive > 0.5000000149011612 & common <= 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.12628756257302576,0.2601398601398601,0.05540371001696378
671,interdisciplinary <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.3264726044612656,0.023776223776223775,0.04973852179057532
675,socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,-0.1434680036049712,0.07412587412587412,0.037585120135572594
683,positive > 0.7000000178813934 & socially controversial > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,0.05181476901680272,0.13286713286713286,0.017587542992122368
706,subject to time variability <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & unambiguous > 0.5000000149011612 & common <= 0.9000000059604645,rule,0.15609725785502845,0.8363636363636363,0.05774744248547978
723,socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.07095493522504318,0.04055944055944056,0.013997085740395149
731,negative > 0.7000000178813934 & unambiguous > 0.5000000149011612 & neutral <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.013669055805806985,0.008391608391608392,0.0012468988303865954
737,technically complicated <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,0.164211140854741,0.7062937062937062,0.07479144309546516
752,conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934,rule,-0.13147533842403772,0.15664335664335666,0.047786577032674436
757,technically complicated <= 0.9000000059604645 & socially controversial > 0.30000000447034836 & negative <= 0.5000000149011612 & common > 0.7000000178813934,rule,0.15328076417191763,0.11468531468531469,0.04884165777699176
833,socially controversial <= 0.7000000178813934 & neutral <= 0.7000000178813934 & common <= 0.9000000059604645,rule,-0.09928665992228465,0.09090909090909091,0.02854290787499781
846,technically complicated <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,-0.02565823271416704,0.06573426573426573,0.006358546595799027
854,negative > 0.7000000178813934 & positive <= 0.30000000447034836,rule,-0.10595718979551966,0.06293706293706294,0.02573167442834107
860,technically complicated > 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & conceptually dense > 0.7000000178813934,rule,0.06131910897904682,0.6573426573426573,0.02910192820009922
862,technically complicated > 0.5000000149011612 & positive > 0.5000000149011612 & common <= 0.7000000178813934,rule,0.07677917174971335,0.22377622377622378,0.03199954948133864
863,socially controversial > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.07990436343329435,0.5202797202797202,0.03991930615824714
883,technically complicated <= 0.9000000059604645 & socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.0049658014711141535,0.04755244755244755,0.0010568085676440908
887,socially controversial <= 0.7000000178813934 & positive > 0.30000000447034836 & positive <= 0.5000000149011612,rule,-0.3494328840682189,0.01818181818181818,0.046687214471795205
889,technically complicated > 0.7000000178813934 & negative <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & common > 0.5000000149011612,rule,-0.06944100102238514,0.365034965034965,0.033431673061229066
901,positive > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,0.37756134155842913,0.6363636363636364,0.18162425717009448
902,technically complicated <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & common > 0.7000000178813934,rule,-0.009709420018441254,0.2097902097902098,0.0039532756752156326
907,positive > 0.5000000149011612 & common <= 0.5000000149011612,rule,0.003285771944461027,0.057342657342657345,0.0007639294485942298
929,socially controversial > 0.5000000149011612 & common <= 0.9000000059604645 & technically complicated > 0.30000000447034836,rule,0.1913639385697047,0.8475524475524475,0.06878656460712973
944,technically complicated <= 0.9000000059604645 & socially controversial > 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,0.10611275051331691,0.8447552447552448,0.038427443154298906
969,negative <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.04893758909398926,0.46153846153846156,0.02439629425564437
975,positive <= 0.5000000149011612 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.08712767702572671,0.07412587412587412,0.02282532777943972
978,technically complicated > 0.5000000149011612 & negative > 0.5000000149011612 & technically complicated <= 0.9000000059604645,rule,0.019104053367855336,0.6993006993006993,0.00876039549123748
1002,negative > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & unambiguous > 0.5000000149011612 & technically complicated > 0.5000000149011612 & negative <= 0.7000000178813934,rule,0.1524124792712614,0.36363636363636365,0.07331736670082628
1017,technically complicated <= 0.9000000059604645 & technically complicated > 0.30000000447034836 & conceptually dense <= 0.5000000149011612 & common > 0.5000000149011612,rule,-0.014544560997893377,0.032167832167832165,0.0025663243270723835
1072,socially controversial > 0.7000000178813934 & socially controversial <= 0.9000000059604645,rule,0.02033507953215448,0.5888111888111888,0.010005862870699878
1080,technically complicated <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common > 0.5000000149011612,rule,0.008789795110278198,0.8923076923076924,0.0027247609838503177
1085,conceptually dense > 0.5000000149011612 & technically complicated <= 0.9000000059604645 & negative > 0.7000000178813934 & neutral <= 0.30000000447034836 & socially controversial > 0.7000000178813934 & positive <= 0.5000000149011612,rule,0.09066737774174723,0.06013986013986014,0.021555786719095173
1088,socially controversial > 0.30000000447034836 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645,rule,0.2857926988419363,0.9804195804195804,0.039597531656496335
1103,socially controversial > 0.30000000447034836 & interdisciplinary > 0.7000000178813934 & negative <= 0.5000000149011612,rule,0.02885828523308892,0.11328671328671329,0.00914643006849915
