,rule,type,coef,support,importance
22,common <= 0.9000000059604645 & interdisciplinary > 0.5000000149011612,rule,1.226979836395703,0.9874125874125874,0.13679020148359977
27,common > 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & neutral <= 0.5000000149011612 & socially controversial > 0.5000000149011612,rule,0.2526936951169411,0.05174825174825175,0.055976285151769785
35,positive > 0.30000000447034836 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & neutral > 0.5000000149011612 & socially controversial > 0.5000000149011612 & subject to time variability <= 0.9000000059604645,rule,-0.21440852830239115,0.16223776223776223,0.07904573095653225
52,common > 0.7000000178813934 & negative <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,0.02137278804397873,0.1020979020979021,0.006471188954635142
62,socially controversial > 0.30000000447034836 & common <= 0.9000000059604645 & interdisciplinary > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645,rule,0.35029110852926815,0.9888111888111888,0.03684493310099317
98,conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.02294610063730628,0.7076923076923077,0.010436412917454497
109,conceptually dense <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.5000000149011612,rule,0.31533931723898384,0.12447552447552447,0.10410084412428564
171,negative <= 0.7000000178813934 & neutral > 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.13091262523988131,0.35804195804195804,0.0627627285175898
173,negative > 0.7000000178813934 & neutral > 0.30000000447034836 & interdisciplinary > 0.7000000178813934,rule,-0.024398346882130578,0.23916083916083916,0.010407630491821489
175,common <= 0.9000000059604645 & conceptually dense > 0.5000000149011612 & neutral > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,0.01547197284185843,0.5146853146853146,0.0077326490390884454
179,neutral <= 0.7000000178813934 & common > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.05473423130754063,0.019580419580419582,0.007583610308019197
187,socially controversial <= 0.9000000059604645 & positive > 0.5000000149011612 & interdisciplinary > 0.7000000178813934,rule,0.21007402264190367,0.7706293706293706,0.0883210113267239
203,positive > 0.5000000149011612 & negative > 0.7000000178813934 & unambiguous <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common <= 0.7000000178813934,rule,0.05994613302126737,0.07132867132867132,0.015428519686354673
209,positive <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,rule,-0.12470117906570566,0.1972027972027972,0.04961694500308662
221,conceptually dense > 0.7000000178813934 & common > 0.7000000178813934 & negative > 0.7000000178813934 & socially controversial <= 0.9000000059604645,rule,0.059313171490009836,0.1888111888111888,0.02321271748230136
228,positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial > 0.5000000149011612 & technically complicated <= 0.5000000149011612,rule,-0.2948349643296739,0.08811188811188811,0.08357319697255718
230,negative > 0.7000000178813934 & conceptually dense > 0.5000000149011612,rule,-0.014346887602149435,0.38461538461538464,0.006979821870342131
257,technically complicated > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & common <= 0.7000000178813934 & common <= 0.9000000059604645,rule,0.3468310526871557,0.2993006993006993,0.1588318819926728
259,common > 0.7000000178813934 & negative <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,-0.29302019156604975,0.14265734265734265,0.10247592077923104
269,conceptually dense <= 0.7000000178813934 & positive <= 0.5000000149011612 & interdisciplinary > 0.7000000178813934,rule,-0.022265991787957896,0.026573426573426574,0.0035811080351400137
292,neutral <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,-0.2801978967657064,0.08811188811188811,0.07942420964534089
338,socially controversial <= 0.5000000149011612 & common > 0.5000000149011612 & neutral > 0.5000000149011612,rule,-0.25898615603816827,0.10909090909090909,0.0807397732576065
339,common <= 0.5000000149011612 & neutral > 0.5000000149011612,rule,0.2251708511194872,0.03076923076923077,0.03888517746357253
361,socially controversial <= 0.9000000059604645 & common <= 0.9000000059604645,rule,0.03553907213422508,0.9776223776223776,0.005256523645092321
364,unambiguous <= 0.9000000059604645 & negative <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,0.28205697931448753,0.36363636363636365,0.13568229505749518
368,unambiguous > 0.30000000447034836 & conceptually dense <= 0.7000000178813934 & common <= 0.7000000178813934 & socially controversial > 0.5000000149011612,rule,0.14674335369247785,0.08951048951048951,0.04189217217067785
369,positive <= 0.5000000149011612 & negative <= 0.9000000059604645,rule,-0.040253177093905114,0.13146853146853146,0.013602033779436438
370,common <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,0.28159467014837586,0.9496503496503497,0.06157501498622676
376,interdisciplinary > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & technically complicated > 0.5000000149011612 & common <= 0.5000000149011612,rule,0.2557920887662463,0.039160839160839164,0.04961790813876437
377,conceptually dense > 0.5000000149011612 & negative <= 0.5000000149011612 & unambiguous <= 0.7000000178813934,rule,0.17496169167501943,0.13986013986013987,0.060684039903606025
415,neutral > 0.30000000447034836 & common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,-0.04197786898089759,0.02097902097902098,0.00601601617772252
418,positive > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & negative > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,0.02275658173117059,0.08531468531468532,0.006357037554644128
439,technically complicated > 0.30000000447034836 & socially controversial > 0.30000000447034836 & interdisciplinary > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,0.002497358041397868,0.43496503496503497,0.001238071270935526
459,neutral <= 0.7000000178813934 & negative <= 0.9000000059604645 & technically complicated > 0.5000000149011612,rule,-0.09089874107834273,0.3076923076923077,0.04195326511308126
477,socially controversial <= 0.9000000059604645 & positive > 0.30000000447034836 & subject to time variability <= 0.9000000059604645,rule,-0.02921797172650037,0.9398601398601398,0.006946449567505249
490,unambiguous <= 0.9000000059604645 & neutral <= 0.7000000178813934 & negative > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.23052531397334458,0.16083916083916083,0.0846909736508776
491,positive > 0.7000000178813934 & technically complicated > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.18180900651325338,0.2811188811188811,0.08173140035978535
518,common > 0.7000000178813934 & negative <= 0.7000000178813934 & unambiguous > 0.30000000447034836 & technically complicated <= 0.7000000178813934 & negative > 0.5000000149011612,rule,-0.0009451975364869447,0.1258741258741259,0.0003135290616166628
528,technically complicated > 0.7000000178813934 & common <= 0.5000000149011612 & socially controversial > 0.5000000149011612,rule,0.037726996697722844,0.02937062937062937,0.006369943420616228
539,positive > 0.30000000447034836 & positive <= 0.7000000178813934 & common <= 0.9000000059604645 & neutral <= 0.5000000149011612 & socially controversial > 0.5000000149011612 & subject to time variability <= 0.9000000059604645,rule,0.038526752143733176,0.08671328671328671,0.010841984761519955
543,common > 0.7000000178813934 & negative <= 0.7000000178813934 & positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & neutral <= 0.7000000178813934,rule,-0.07841551081978058,0.07412587412587412,0.02054295257895136
563,positive > 0.30000000447034836 & neutral > 0.5000000149011612 & neutral > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.7000000178813934,rule,-0.07532091084066164,0.05874125874125874,0.017710943545515286
574,common > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,-0.03810300469736462,0.16363636363636364,0.014096026429423583
580,positive > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,0.04894065845957186,0.6615384615384615,0.023158051730154762
632,technically complicated > 0.30000000447034836 & socially controversial > 0.30000000447034836 & conceptually dense > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & interdisciplinary <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.16810944321994478,0.004195804195804196,0.010866425132501278
635,negative > 0.5000000149011612 & positive > 0.5000000149011612 & negative <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,-0.09936254791184518,0.34405594405594403,0.0472031142641157
647,socially controversial <= 0.5000000149011612 & neutral > 0.5000000074505806 & technically complicated <= 0.7000000178813934,rule,-0.10761042227470749,0.06153846153846154,0.025860438944468073
649,negative <= 0.5000000149011612 & socially controversial <= 0.7000000178813934,rule,-0.10283758778375676,0.14825174825174825,0.03654327096522773
