,rule,type,coef,support,importance
9,interdisciplinary,linear,0.09466522559492858,1.0,0.0034935669613083606
46,socially controversial <= 0.5000000149011612 & interdisciplinary > 0.5000000149011612,rule,-0.0030538967047908268,0.14825174825174825,0.0010852002384347486
62,unambiguous > 0.5000000149011612 & neutral <= 0.30000000447034836 & positive > 0.30000000447034836 & socially controversial > 0.7000000178813934 & technically complicated > 0.30000000447034836,rule,-0.0034440428417539665,0.18461538461538463,0.0013362377793001195
70,positive <= 0.5000000149011612 & negative <= 0.9000000059604645 & common > 0.5000000149011612 & neutral > 0.30000000447034836,rule,-0.01985822370589225,0.08391608391608392,0.0055059293218052705
75,positive <= 0.30000000447034836 & socially controversial > 0.9000000059604645,rule,-0.0035458286901077192,0.009790209790209791,0.0003491221124479423
134,positive <= 0.5000000149011612 & neutral > 0.5000000149011612 & common > 0.7000000178813934,rule,-0.013793360790587525,0.06573426573426573,0.003418229473427135
135,negative > 0.9000000059604645 & conceptually dense > 0.5000000149011612 & technically complicated > 0.7000000178813934 & positive > 0.30000000447034836,rule,-0.004639821958285816,0.08391608391608392,0.0012864459654818858
138,socially controversial <= 0.9000000059604645 & neutral <= 0.30000000447034836,rule,0.02183114041818922,0.27692307692307694,0.00976895812335539
143,technically complicated <= 0.5000000149011612 & negative <= 0.5000000149011612 & positive > 0.7000000178813934,rule,0.026206724998031707,0.05454545454545454,0.005951307096628555
165,positive > 0.5000000149011612 & socially controversial > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,0.011822772561076498,0.18601398601398603,0.004600453083185677
173,conceptually dense > 0.7000000178813934 & conceptually dense > 0.5000000149011612 & common > 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,0.01051361997494752,0.046153846153846156,0.0022059486078676027
174,socially controversial <= 0.9000000059604645 & positive > 0.30000000447034836 & neutral <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934,rule,0.0011157237692216817,0.027972027972027972,0.00018397467468421694
178,socially controversial <= 0.7000000178813934 & technically complicated > 0.30000000447034836 & common > 0.5000000149011612,rule,-0.018822016122714974,0.386013986013986,0.009163194401925711
233,positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & neutral > 0.4000000134110451,rule,-0.004994613742823678,0.015384615384615385,0.0006147216914244527
243,positive <= 0.7000000178813934 & unambiguous > 0.5000000149011612 & negative > 0.7000000178813934,rule,-0.011862322165536714,0.27972027972027974,0.005324542345640927
254,negative <= 0.5000000149011612 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & technically complicated <= 0.7000000178813934,rule,0.00234153424101922,0.07132867132867132,0.0006026478325302793
272,positive <= 0.5000000149011612 & socially controversial <= 0.9000000059604645 & positive > 0.30000000447034836,rule,-0.03959273841437293,0.13286713286713286,0.013439005948532297
275,unambiguous > 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & technically complicated > 0.5000000149011612 & positive <= 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,-0.016184794003242298,0.2601398601398601,0.007100442952340738
