,rule,type,coef,support,importance
9,interdisciplinary,linear,0.06880522143129952,1.0,0.002539218037534275
30,common <= 0.9000000059604645 & positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.7000000178813934,rule,-0.0028745048255406393,0.2,0.0011498019302162558
63,socially controversial > 0.5000000149011612 & common > 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,0.011928905548094044,0.1034965034965035,0.003633619375963271
71,technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612 & negative > 0.5000000149011612 & socially controversial > 0.7000000178813934 & conceptually dense > 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & negative <= 0.9000000059604645,rule,0.003949725502996208,0.012587412587412588,0.00044033628861160976
83,socially controversial > 0.7000000178813934 & subject to time variability <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & negative > 0.5000000149011612,rule,-0.008495780403616149,0.11468531468531469,0.002707110714534883
118,common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934,rule,-0.03474586526221118,0.9874125874125874,0.0038736528253811185
130,neutral <= 0.30000000447034836 & positive > 0.30000000447034836 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934 & negative > 0.7000000178813934 & positive <= 0.7000000178813934 & negative <= 0.9000000059604645,rule,0.01687069283419702,0.016783216783216783,0.002167180887636429
136,common > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & unambiguous > 0.30000000447034836 & technically complicated <= 0.9000000059604645 & negative <= 0.9000000059604645,rule,0.0031164371730880037,0.2951048951048951,0.0014213755155825447
161,neutral <= 0.5000000149011612 & neutral <= 0.30000000447034836 & conceptually dense <= 0.9000000059604645,rule,-0.001787725135614102,0.2965034965034965,0.0008164820240623387
169,neutral > 0.30000000447034836 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,0.042087009584705515,0.05454545454545454,0.009557574204184004
170,common <= 0.9000000059604645 & unambiguous <= 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.0026737478495858923,0.5062937062937063,0.00133676801146949
196,positive > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,-0.0057528774728090185,0.7580419580419581,0.002463779159835308
208,common <= 0.9000000059604645 & socially controversial <= 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,-0.0063067416988848305,0.14545454545454545,0.0022234956145172095
209,common > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & negative > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & negative <= 0.9000000059604645,rule,0.00901780176709493,0.14825174825174825,0.0032044700832404237
218,socially controversial > 0.5000000149011612 & neutral > 0.30000000447034836,rule,0.0027719089554334515,0.5986013986013986,0.0013587380973361823
