,rule,type,coef,support,importance
21,socially controversial > 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & common <= 0.7000000178813934,rule,-0.010452289412445685,0.3062937062937063,0.004818016469544312
26,interdisciplinary > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & common <= 0.7000000178813934,rule,0.0017131065965513895,0.0979020979020979,0.0005091048365752752
70,positive <= 0.7000000178813934 & common > 0.5000000149011612 & unambiguous <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,-0.04404779829533678,0.009790209790209791,0.004336943979400674
71,positive <= 0.7000000178813934 & socially controversial <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & common <= 0.7000000178813934 & neutral <= 0.5000000149011612,rule,0.04975039004798659,0.05174825174825175,0.011020623282464975
78,positive <= 0.7000000178813934 & socially controversial <= 0.6000000089406967 & common <= 0.5000000149011612 & positive <= 0.5000000149011612,rule,-0.22594556436031019,0.002797202797202797,0.01193321707521014
93,positive <= 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & technically complicated > 0.7000000178813934 & negative > 0.9000000059604645 & neutral <= 0.30000000447034836,rule,-0.28729851228056086,0.005594405594405594,0.02142851775906424
98,positive <= 0.7000000178813934 & technically complicated > 0.7000000178813934 & interdisciplinary > 0.7000000178813934 & positive > 0.5000000149011612 & common <= 0.5000000149011612,rule,0.06123619884903591,0.004195804195804196,0.003958246232018114
106,conceptually dense > 0.5000000149011612 & socially controversial > 0.30000000447034836 & common > 0.5000000149011612 & positive > 0.7000000178813934 & neutral <= 0.9000000059604645 & technically complicated > 0.30000000447034836,rule,0.0811148812337734,0.6363636363636364,0.03901996424929174
113,interdisciplinary > 0.7000000178813934 & positive <= 0.5000000149011612 & socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.13410639646271078,0.03496503496503497,0.02463417377787598
126,common <= 0.5000000149011612,rule,-0.0007259637771095775,0.06573426573426573,0.0001799061749511988
127,negative <= 0.9000000059604645 & positive <= 0.5000000149011612,rule,-0.00883789655249739,0.13006993006993006,0.002972894781511245
146,common > 0.5000000149011612,rule,0.0004010687486112354,0.9342657342657342,9.939165937782075e-05
