,rule,type,coef,support,importance
94,technically complicated <= 0.7000000178813934 & common <= 0.9000000059604645 & neutral > 0.7000000178813934,rule,0.0019514751749122568,0.2545454545454545,0.0008500731277563105
149,common > 0.5000000149011612 & socially controversial > 0.5000000149011612 & positive > 0.7000000178813934,rule,-0.0012381310087874078,0.5118881118881119,0.0006188904980630672
172,conceptually dense > 0.5000000149011612 & common > 0.5000000149011612 & negative > 0.7000000178813934 & positive <= 0.9000000059604645 & positive > 0.7000000178813934,rule,-0.006494865789104238,0.1020979020979021,0.0019664960729412094
238,common > 0.5000000149011612 & negative > 0.5000000149011612 & positive > 0.7000000178813934,rule,-0.012595962903319317,0.4993006993006993,0.006297975291960376
289,technically complicated <= 0.7000000178813934 & negative <= 0.7000000178813934,rule,0.0015705510283078067,0.28251748251748254,0.0007070992506100394
531,conceptually dense <= 0.9000000059604645 & common > 0.5000000149011612 & positive > 0.7000000178813934,rule,-0.0023506120050209045,0.6503496503496503,0.0011209116651605359
543,socially controversial <= 0.9000000059604645 & positive <= 0.9000000059604645 & negative <= 0.9000000059604645 & common > 0.5000000149011612,rule,-0.006839592319045774,0.8013986013986014,0.0027286363307236325
595,conceptually dense <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645 & common > 0.5000000149011612,rule,-0.01497127735206992,0.9272727272727272,0.003887865661588068
730,socially controversial <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & neutral > 0.7000000178813934,rule,0.0024409503013238343,0.23496503496503496,0.001034906701790404
778,technically complicated > 0.7000000178813934 & common > 0.5000000149011612,rule,-0.017657016800053167,0.47132867132867134,0.00881398158457119
843,technically complicated > 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & common > 0.5000000149011612,rule,-4.948559284561993e-15,0.48951048951048953,2.4737350932194044e-15
1016,unambiguous <= 0.7000000178813934 & neutral <= 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.7000000178813934,rule,-0.0012025659065097343,0.18461538461538463,0.00046657781863080445
1036,positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & common <= 0.9000000059604645 & common > 0.5000000149011612,rule,-0.014629555921031353,0.3034965034965035,0.006726197880790432
1091,positive > 0.7000000178813934 & common > 0.5000000149011612,rule,-0.006945617518084215,0.6153846153846154,0.003379072479001824
