,rule,type,coef,support,importance
84,socially controversial > 0.5000000149011612 & positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645,rule,0.23583634284728994,0.509090909090909,0.11789867920573782
138,socially controversial > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,0.13203874504617724,0.22517482517482518,0.055152241345203364
151,common > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,0.07354073700497984,0.9132867132867133,0.02069542605056141
159,conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,0.3640883832254178,0.6671328671328671,0.17157280385627696
160,socially controversial > 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense <= 0.7000000178813934,rule,-0.18208459651532916,0.026573426573426574,0.029285226450542767
167,positive > 0.5000000149011612 & common > 0.5000000149011612 & technically complicated <= 0.9000000059604645 & unambiguous <= 0.7000000178813934,rule,0.5696411206638826,0.7384615384615385,0.25034161804160365
213,technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,-0.009873898576014502,0.11048951048951049,0.0030954566298501502
219,socially controversial > 0.7000000178813934 & common > 0.7000000178813934 & unambiguous > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,0.15886250341580063,0.3300699300699301,0.07470318498421524
225,positive > 0.5000000149011612 & common <= 0.5000000149011612 & technically complicated <= 0.9000000059604645,rule,-0.42272558971237695,0.039160839160839164,0.08199925017001343
266,unambiguous > 0.30000000447034836 & common > 0.5000000149011612 & negative > 0.5000000149011612 & positive > 0.7000000178813934,rule,0.21297027195646656,0.5188811188811189,0.10640918570401026
268,neutral <= 0.5000000149011612 & positive <= 0.30000000447034836 & common > 0.5000000149011612,rule,-0.4000399307207832,0.032167832167832165,0.07058530031657838
276,common <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,-0.2544057890429645,0.03776223776223776,0.048495009519977456
281,conceptually dense > 0.5000000149011612,rule,6.513283203553075e-05,0.972027972027972,1.0739926777178555e-05
283,subject to time variability <= 0.9000000059604645 & technically complicated > 0.30000000447034836 & neutral <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.13160938726607296,0.365034965034965,0.06336201872219076
289,socially controversial > 0.5000000149011612 & neutral > 0.5000000149011612,rule,0.1711941634061034,0.5804195804195804,0.08448266164041522
301,common <= 0.5000000149011612 & positive > 0.5000000149011612 & socially controversial <= 0.9000000059604645,rule,-0.05296254484709723,0.04755244755244755,0.011271346928432227
304,negative > 0.9000000059604645 & negative > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,0.0712110227650849,0.16363636363636364,0.026344181172471892
315,socially controversial > 0.7000000178813934 & positive > 0.30000000447034836 & common > 0.5000000149011612 & neutral <= 0.30000000447034836,rule,0.0641969608944117,0.16643356643356644,0.02391140182237816
348,positive > 0.5000000149011612 & common <= 0.7000000178813934 & common > 0.5000000149011612,rule,0.022773738406275203,0.22377622377622378,0.009491498181072606
380,common > 0.7000000178813934 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,0.10689930171845687,0.02937062937062937,0.018049210466070685
388,negative > 0.9000000059604645 & technically complicated > 0.7000000178813934,rule,0.02422502548345758,0.07972027972027972,0.0065615822243561
