,rule,type,coef,support,importance
40,common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & positive > 0.7000000178813934 & neutral > 0.5000000074505806,rule,2.3717314875282614,0.08111888111888112,0.6475244313380007
56,neutral > 0.5000000149011612 & positive <= 0.30000000447034836 & technically complicated <= 0.9000000059604645,rule,-0.4575970373470447,0.015384615384615385,0.05631963536579012
67,negative > 0.9000000059604645 & positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,0.2867704798513996,0.033566433566433566,0.051650323476574944
69,socially controversial > 0.5000000149011612 & positive <= 0.7000000178813934 & common > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,-2.6755939320341624,0.06713286713286713,0.669572635275671
71,positive <= 0.7000000178813934 & positive > 0.30000000447034836 & negative > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & neutral <= 0.30000000447034836,rule,-1.6529393779253634,0.023776223776223775,0.2518274432340466
72,common <= 0.5000000149011612 & positive <= 0.9000000059604645 & positive > 0.7000000178813934,rule,2.971575135851625,0.044755244755244755,0.6144209493333294
92,common <= 0.5000000149011612 & unambiguous <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.4828433646504703,0.03636363636363636,0.09038503088129016
93,common > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934 & positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,1.012576489434176,0.12167832167832168,0.3310253442294492
94,negative > 0.5000000149011612 & unambiguous > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,-0.49066008264032784,0.6433566433566433,0.23503021177497704
123,socially controversial > 0.5000000149011612 & positive <= 0.7000000178813934 & neutral > 0.30000000447034836 & common > 0.5000000149011612,rule,0.12115756139109192,0.17342657342657342,0.04587214671948027
130,common > 0.5000000149011612 & unambiguous > 0.5000000149011612,rule,-0.7519285249137253,0.9006993006993007,0.22487575094511156
134,socially controversial > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612,rule,-0.9850579639980528,0.15664335664335666,0.35803329234584486
136,conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612,rule,-1.8397193734938941,0.7118881118881119,0.833178474685417
144,common <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & positive > 0.7000000178813934 & common <= 0.5000000149011612,rule,0.4673673991334725,0.032167832167832165,0.08246493835396623
