,rule,type,coef,support,importance
19,negative <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,-0.3308906213808993,0.08671328671328671,0.09311740219776429
30,common <= 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934,rule,0.0990578056136612,0.1006993006993007,0.029809479702723893
56,positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,0.1683373826316569,0.043356643356643354,0.03428336372498964
57,positive > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.7000000178813934 & technically complicated > 0.5000000149011612,rule,0.1356939824412886,0.28251748251748254,0.06109264300689904
65,common > 0.5000000149011612 & conceptually dense > 0.7000000178813934 & neutral <= 0.7000000178813934,rule,0.3139517622638789,0.34545454545454546,0.1492891641659732
78,positive > 0.30000000447034836 & common > 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & socially controversial > 0.30000000447034836,rule,-0.2654747799737282,0.18041958041958042,0.10208475501410866
94,neutral > 0.30000000447034836 & negative > 0.9000000059604645 & interdisciplinary > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,0.089843846671589,0.05174825174825175,0.0199020588071791
137,positive <= 0.5000000149011612 & common <= 0.9000000059604645 & positive <= 0.30000000447034836 & negative > 0.7000000178813934 & common > 0.5000000149011612 & neutral <= 0.30000000447034836,rule,-0.04716849615848049,0.022377622377622378,0.006976611950476999
139,negative <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.000244388225880227,0.2545454545454545,0.00010645683134050688
145,positive <= 0.7000000178813934 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.010285279567956622,0.13706293706293707,0.0035372493786509376
200,negative <= 0.7000000178813934 & negative > 0.5000000149011612 & neutral > 0.4000000134110451 & technically complicated > 0.7000000178813934,rule,0.2829870345947457,0.1972027972027972,0.11259678727396653
202,conceptually dense <= 0.7000000178813934 & positive <= 0.7000000178813934 & positive > 0.30000000447034836,rule,-0.0001345940440414367,0.05174825174825175,2.9815047761705003e-05
214,negative <= 0.9000000059604645 & common > 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,-0.06397528132801182,0.22377622377622378,0.026663223030221304
256,technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & negative <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934 & socially controversial <= 0.9000000059604645,rule,-0.3607787951681777,0.25874125874125875,0.15800060906680893
277,positive > 0.7000000178813934 & common > 0.5000000149011612,rule,1.3534846575168509,0.6517482517482518,0.6448221202335098
287,technically complicated > 0.5000000149011612 & negative > 0.5000000149011612 & interdisciplinary > 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,0.15503681671209216,0.06853146853146853,0.039170936559734304
301,positive > 0.7000000178813934 & common > 0.5000000149011612 & common <= 0.9000000059604645,rule,1.07773069297988,0.6391608391608392,0.5175736555045167
314,common <= 0.5000000149011612 & socially controversial <= 0.5000000149011612,rule,-0.07998046545005727,0.016783216783216783,0.010274156361633492
317,technically complicated > 0.5000000149011612 & conceptually dense > 0.5000000149011612,rule,0.057753029103976325,0.8237762237762237,0.022004507146061177
339,positive <= 0.5000000149011612 & technically complicated > 0.7000000178813934 & neutral <= 0.7000000178813934 & common <= 0.7000000178813934 & common > 0.5000000149011612,rule,0.059498883241818755,0.02937062937062937,0.010045976436367456
348,socially controversial > 0.5000000149011612 & negative <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.06905239424784043,0.05174825174825175,0.015296371003798765
350,positive > 0.5000000149011612 & common > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,-0.110997420649504,0.2839160839160839,0.05004835924955092
367,conceptually dense > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,0.036877134810599434,0.45174825174825173,0.018352508074418877
369,positive <= 0.7000000178813934 & positive > 0.30000000447034836 & technically complicated <= 0.7000000178813934 & conceptually dense > 0.7000000178813934,rule,0.2523757015800794,0.07552447552447553,0.0666866816155081
371,negative <= 0.9000000059604645 & positive <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.18808072841801504,0.23496503496503496,0.07974189651131347
375,technically complicated <= 0.5000000149011612 & socially controversial > 0.7000000178813934 & negative <= 0.9000000059604645 & common > 0.5000000149011612 & positive > 0.7000000178813934,rule,0.020131299097287586,0.057342657342657345,0.0046804502804284115
379,negative > 0.7000000178813934 & positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934,rule,-0.38261670374329676,0.01818181818181818,0.05112085588563901
383,unambiguous > 0.5000000149011612 & positive > 0.7000000178813934 & common > 0.5000000149011612 & conceptually dense > 0.7000000178813934,rule,0.06625837999751806,0.3944055944055944,0.03238197057472918
395,common <= 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated > 0.5000000149011612,rule,0.17151748264378705,0.14825174825174825,0.060948627623446223
404,conceptually dense <= 0.7000000178813934 & positive <= 0.7000000178813934 & unambiguous <= 0.7000000178813934,rule,-0.23243079218560903,0.06153846153846154,0.05585669290271938
425,interdisciplinary > 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645,rule,0.3055369304838262,0.8895104895104895,0.09578550051422315
440,conceptually dense <= 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612 & technically complicated <= 0.7000000178813934,rule,0.1139252570572353,0.17902097902097902,0.043675512602490266
