,rule,type,coef,support,importance
5,positive,linear,0.17884342282073978,1.0,0.03337278880485097
21,common <= 0.7000000178813934 & socially controversial > 0.30000000447034836 & technically complicated > 0.5000000149011612 & unambiguous > 0.30000000447034836 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & interdisciplinary > 0.7000000178813934,rule,0.025235780376386314,0.26713286713286716,0.011165881755836523
24,socially controversial <= 0.9000000059604645 & unambiguous > 0.5000000149011612 & negative <= 0.9000000059604645 & subject to time variability <= 0.9000000059604645,rule,-0.010216189151429,0.8335664335664336,0.003805217575564455
27,conceptually dense > 0.7000000178813934 & common > 0.9000000059604645,rule,-0.010588012329329913,0.004195804195804196,0.0006843984554046384
32,negative <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.5000000149011612 & neutral <= 0.7000000178813934 & socially controversial > 0.7000000178813934,rule,-0.08562079223563686,0.011188811188811189,0.009005916179892092
46,socially controversial <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,-0.010366841200201522,0.25314685314685315,0.0045076513767032455
56,socially controversial <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.0922207837192871,0.027972027972027972,0.015206531537564084
57,socially controversial <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.024993376637711274,0.03496503496503497,0.004591065002335534
72,positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & subject to time variability <= 0.9000000059604645 & socially controversial > 0.7000000178813934,rule,0.03582407416616143,0.23216783216783216,0.015125479446941864
90,positive <= 0.7000000178813934 & common > 0.30000000447034836 & unambiguous > 0.30000000447034836 & common > 0.7000000178813934 & negative > 0.7000000178813934,rule,-0.004102266359608628,0.18461538461538463,0.0015916187870849401
94,negative > 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.01497927395123983,0.025174825174825177,0.0023465907982178074
97,socially controversial <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.05419148850855678,0.05034965034965035,0.01184980424268007
121,common <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & positive > 0.30000000447034836,rule,0.02175915830308179,0.11188811188811189,0.00685911218594748
123,positive <= 0.7000000178813934 & negative > 0.9000000059604645 & common > 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & technically complicated <= 0.7000000178813934 & technically complicated <= 0.5000000149011612,rule,-0.02601845165686329,0.004195804195804196,0.0016818065159076411
130,positive <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & common > 0.5000000149011612 & neutral <= 0.5000000149011612 & subject to time variability <= 0.9000000059604645,rule,0.01297332111983827,0.08951048951048951,0.003703613065275168
140,conceptually dense > 0.5000000149011612 & technically complicated > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & conceptually dense <= 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,-0.017463061709318068,0.193006993006993,0.006891944899662109
142,socially controversial <= 0.7000000178813934 & unambiguous <= 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.22294343017519191,0.032167832167832165,0.03933739550491949
146,negative > 0.7000000178813934 & common > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.09150387329005844,0.1902097902097902,0.035912213314513296
161,conceptually dense <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & socially controversial <= 0.5000000149011612,rule,0.027564248109198174,0.1034965034965035,0.008396242690465792
167,socially controversial > 0.7000000178813934 & technically complicated <= 0.7000000178813934 & positive <= 0.7000000178813934 & neutral > 0.5000000149011612,rule,-0.018518175348454832,0.06153846153846154,0.004450202246573907
178,negative <= 0.5000000149011612 & technically complicated > 0.7000000178813934,rule,0.015568087182521543,0.06153846153846154,0.003741250703746936
213,positive > 0.7000000178813934 & unambiguous > 0.30000000447034836,rule,0.22836794323032203,0.6573426573426573,0.10838297551525308
216,unambiguous <= 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.5000000149011612 & positive > 0.30000000447034836 & neutral <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & negative > 0.7000000178813934,rule,0.06865132217817813,0.17062937062937064,0.025825582512454356
219,conceptually dense > 0.7000000178813934 & technically complicated <= 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645 & negative > 0.9000000059604645,rule,-0.08942697880503217,0.006993006993006993,0.00745206601605637
254,interdisciplinary > 0.7000000178813934 & positive <= 0.7000000178813934,rule,-0.002239549990070035,0.3300699300699301,0.001053121495584837
281,positive <= 0.7000000178813934 & common <= 0.5000000149011612 & positive > 0.5000000149011612 & subject to time variability <= 0.9000000059604645,rule,0.2982078439004275,0.005594405594405594,0.02224220386032586
296,socially controversial <= 0.9000000059604645 & technically complicated > 0.30000000447034836 & negative <= 0.9000000059604645 & technically complicated <= 0.5000000149011612 & negative > 0.7000000178813934 & positive <= 0.5000000149011612,rule,0.16384473530515326,0.016783216783216783,0.021047219719004404
297,positive > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,0.006585580560208162,0.6643356643356644,0.0031098572236530034
301,negative > 0.7000000178813934 & subject to time variability <= 0.9000000059604645,rule,0.017028385250230958,0.4027972027972028,0.008351752325716714
307,socially controversial <= 0.9000000059604645 & neutral <= 0.5000000149011612 & technically complicated > 0.30000000447034836,rule,0.056964941155175135,0.2881118881118881,0.025798479630116732
313,positive <= 0.7000000178813934 & subject to geographical variability <= 0.9000000059604645 & common > 0.5000000149011612,rule,-0.21706833394823732,0.3076923076923077,0.10018538489918646
322,technically complicated <= 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,-0.06395519758874624,0.07832167832167833,0.017183298084733997
326,socially controversial <= 0.9000000059604645 & conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645,rule,0.00966626693991935,0.676923076923077,0.004520447328121114
330,neutral <= 0.30000000447034836 & negative > 0.9000000059604645,rule,-0.0612063001632176,0.10909090909090909,0.019081262383719436
333,positive <= 0.7000000178813934 & common > 0.5000000149011612 & socially controversial <= 0.9000000059604645 & technically complicated > 0.7000000178813934 & negative <= 0.9000000059604645,rule,-0.11406247028076491,0.15104895104895105,0.04084538128285366
