,rule,type,coef,support,importance
16,negative <= 0.7000000178813934 & positive <= 0.7000000178813934 & common > 0.5000000149011612,rule,-0.0025223556848249454,0.05034965034965035,0.0005515519488058964
39,positive > 0.7000000178813934 & socially controversial <= 0.5000000149011612,rule,0.03968062244478397,0.11608391608391608,0.012710716126771321
64,common <= 0.7000000178813934 & technically complicated <= 0.9000000059604645 & neutral <= 0.5000000149011612 & socially controversial <= 0.9000000059604645 & positive > 0.5000000149011612,rule,0.0022531876188512908,0.1076923076923077,0.0006984688079886639
74,conceptually dense > 0.7000000178813934 & common <= 0.9000000059604645 & socially controversial > 0.5000000149011612,rule,0.026431006490587394,0.6755244755244755,0.012374430401400061
126,technically complicated > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,rule,0.05082193028640639,0.15384615384615385,0.01833661405846217
172,common > 0.7000000178813934 & positive > 0.5000000149011612 & neutral <= 0.7000000178813934,rule,-0.0001991162172974002,0.18041958041958042,7.656746250680644e-05
174,socially controversial <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.0006069941661365996,0.36083916083916084,0.0002915052818701721
210,common <= 0.9000000059604645 & positive > 0.7000000178813934 & common > 0.5000000149011612,rule,0.184875054411032,0.6503496503496503,0.08815942598943359
256,unambiguous > 0.5000000149011612 & unambiguous > 0.30000000447034836 & common > 0.5000000149011612 & common > 0.7000000178813934 & technically complicated > 0.7000000178813934,rule,-0.0011621909037307396,0.3020979020979021,0.0005336402495066649
257,technically complicated > 0.7000000178813934 & neutral <= 0.30000000447034836,rule,-0.01405141008370873,0.14265734265734265,0.0049141022633249105
261,neutral > 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,-0.02571530360585516,0.1076923076923077,0.007971523235071389
282,technically complicated > 0.7000000178813934 & positive > 0.7000000178813934 & common > 0.5000000149011612,rule,0.02449127783308912,0.2937062937062937,0.011154773073582402
285,common <= 0.7000000178813934 & common <= 0.9000000059604645 & positive > 0.30000000447034836 & positive <= 0.7000000178813934,rule,0.01810665964417824,0.0965034965034965,0.005346543451308612
288,common > 0.7000000178813934 & interdisciplinary > 0.5000000149011612 & common > 0.5000000149011612,rule,-0.016225883476077042,0.6951048951048951,0.007469796185638417
289,common <= 0.7000000178813934 & positive > 0.30000000447034836 & negative > 0.5000000149011612,rule,0.007000214250835388,0.2699300699300699,0.0031075576668667076
297,positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & common > 0.7000000178813934 & neutral <= 0.5000000074505806 & positive > 0.5000000149011612,rule,-0.025916890468660005,0.004195804195804196,0.001675241702968876
307,positive <= 0.7000000178813934 & socially controversial <= 0.7000000178813934 & socially controversial <= 0.5000000149011612 & conceptually dense <= 0.9000000059604645 & common > 0.7000000178813934 & interdisciplinary > 0.7000000178813934,rule,-0.0450896707884912,0.002797202797202797,0.002381391424488367
316,common > 0.7000000178813934 & positive <= 0.7000000178813934 & positive > 0.5000000149011612 & subject to geographical variability <= 0.9000000059604645,rule,-0.08653995180474044,0.09230769230769231,0.025049838102970897
329,socially controversial <= 0.7000000178813934 & conceptually dense <= 0.9000000059604645 & positive <= 0.7000000178813934,rule,-0.041574972693987224,0.05034965034965035,0.009091008595210079
