,rule,type,coef,support,importance
9,interdisciplinary,linear,0.0489158731868739,1.0,0.001797725761290962
12,positive <= 0.9000000059604645 & negative > 0.5000000149011612 & positive > 0.7000000178813934 & common > 0.5000000149011612,rule,-0.04067805840103676,0.4951048951048951,0.020338054447412754
15,unambiguous <= 0.7000000178813934 & conceptually dense > 0.5000000149011612 & socially controversial <= 0.5000000149011612 & common > 0.7000000178813934 & negative > 0.5000000149011612 & technically complicated > 0.30000000447034836,rule,-0.001864745002858368,0.022377622377622378,0.0002758112581716248
20,positive > 0.7000000178813934 & socially controversial > 0.7000000178813934 & neutral <= 0.30000000447034836,rule,-0.007664578634990768,0.07412587412587412,0.002007932790211972
47,socially controversial > 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.006829956505776112,0.3300699300699301,0.0032117050487975017
128,technically complicated > 0.5000000149011612 & interdisciplinary > 0.7000000178813934 & negative > 0.5000000149011612,rule,-0.0033601583386630635,0.7216783216783217,0.0015059310576483805
130,common <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & positive > 0.7000000178813934,rule,-0.028707329371681918,0.1020979020979021,0.008691919480268154
143,negative > 0.7000000178813934 & negative <= 0.9000000059604645 & positive <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.02768768496345367,0.13426573426573427,0.00943977285182154
155,negative <= 0.7000000178813934 & common <= 0.7000000178813934 & positive > 0.7000000178813934,rule,0.003736133087015091,0.16503496503496504,0.0013868978200026738
157,technically complicated > 0.5000000149011612 & positive <= 0.7000000178813934 & positive <= 0.5000000149011612,rule,-0.024021317046679803,0.16783216783216784,0.00897717888732511
161,socially controversial <= 0.9000000059604645 & negative > 0.9000000059604645,rule,0.0257474128736541,0.15104895104895105,0.009220060667481487
172,neutral > 0.7000000178813934 & positive > 0.7000000178813934 & technically complicated > 0.5000000149011612 & socially controversial > 0.30000000447034836 & conceptually dense <= 0.9000000059604645 & negative > 0.7000000178813934,rule,-0.0038767183433059435,0.03076923076923077,0.0006694777765695102
176,negative <= 0.9000000059604645 & socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.03431002085859827,0.1958041958041958,0.013614850612940432
188,common > 0.7000000178813934 & negative > 0.5000000149011612,rule,-0.0028262274290480013,0.5314685314685315,0.0014103122136133683
202,socially controversial <= 0.9000000059604645 & positive <= 0.30000000447034836 & negative > 0.9000000059604645,rule,0.0320549949267021,0.03076923076923077,0.005535637317715206
205,common <= 0.7000000178813934 & technically complicated > 0.5000000149011612 & neutral <= 0.30000000447034836 & positive > 0.30000000447034836 & neutral <= 0.7000000178813934,rule,-0.0003627090255399819,0.1048951048951049,0.00011114065180361707
208,common <= 0.9000000059604645 & positive > 0.7000000178813934 & common > 0.5000000149011612,rule,-0.04153984816937068,0.6363636363636364,0.019982565046461183
279,socially controversial <= 0.9000000059604645 & positive > 0.5000000149011612 & positive <= 0.7000000178813934,rule,0.04708839181879996,0.12867132867132866,0.015766879689039157
312,technically complicated > 0.5000000149011612 & unambiguous <= 0.7000000178813934 & socially controversial > 0.7000000178813934 & neutral <= 0.5000000149011612,rule,-0.011059464156185046,0.17482517482517482,0.0042005780237389856
317,technically complicated > 0.7000000178813934 & common <= 0.5000000149011612,rule,0.0019273765169607162,0.04195804195804196,0.00038642608461206317
321,unambiguous > 0.5000000149011612 & conceptually dense > 0.5000000149011612 & conceptually dense <= 0.7000000178813934 & negative > 0.5000000149011612,rule,0.005956259287333556,0.18321678321678322,0.0023041440394417825
327,common <= 0.7000000178813934 & socially controversial > 0.5000000149011612 & neutral <= 0.7000000178813934,rule,-0.023036934929540388,0.18321678321678322,0.008911703427315242
349,positive <= 0.30000000447034836 & common > 0.7000000178813934 & common > 0.5000000149011612,rule,-0.0023387792287874404,0.033566433566433566,0.0004212382800690014
414,positive > 0.5000000149011612 & positive <= 0.7000000178813934 & negative > 0.5000000149011612,rule,0.017577785619463965,0.11328671328671329,0.005571155237704618
419,socially controversial > 0.7000000178813934 & positive <= 0.7000000178813934,rule,0.026466073717870544,0.2783216783216783,0.011861370319117371
428,conceptually dense > 0.7000000178813934 & unambiguous > 0.5000000149011612 & positive <= 0.5000000149011612,rule,-0.00483945006422845,0.16363636363636364,0.0017903316694065886
440,socially controversial > 0.30000000447034836 & unambiguous <= 0.7000000178813934 & common <= 0.9000000059604645 & conceptually dense <= 0.9000000059604645,rule,0.01753095934134501,0.9734265734265735,0.002819558183568399
446,common > 0.7000000178813934 & negative > 0.9000000059604645,rule,0.004527368440460237,0.06993006993006994,0.0011546108177049532
460,negative <= 0.7000000178813934 & positive > 0.7000000178813934 & socially controversial <= 0.7000000178813934 & conceptually dense <= 0.7000000178813934 & negative > 0.5000000149011612,rule,0.0005091933105792832,0.1048951048951049,0.0001560261048028013
463,socially controversial <= 0.7000000178813934 & technically complicated <= 0.7000000178813934,rule,-0.0029082648446262503,0.14125874125874127,0.001012914490759464
474,unambiguous <= 0.7000000178813934 & positive <= 0.7000000178813934 & common <= 0.7000000178813934 & technically complicated <= 0.7000000178813934 & negative > 0.7000000178813934,rule,0.004279008956452438,0.04895104895104895,0.000923263426863156
488,negative <= 0.9000000059604645 & common <= 0.9000000059604645 & negative > 0.5000000149011612 & common > 0.5000000149011612,rule,-0.017314173503600355,0.6587412587412588,0.008209204795255564
