LLM,Complexity,TopK,r2,mae,spearman,mcc,f1
gpt-3.5-turbo,easy,1,0.08762313243230721,5.650565254395296,0.1762661240231793,0.23012755383846564,0.4773666654435194
gpt-3.5-turbo,easy,3,0.10828189945865017,5.578099066676131,0.23290059713978678,0.23033120183765698,0.39492227687668197
gpt-3.5-turbo,easy,10,0.2831534968922406,4.842987274354715,0.27758272165953785,0.3705503778983015,0.30191685337316404
gpt-3.5-turbo,hard,1,0.11191008433744334,10.18158915173528,0.326988621659699,0.30059564973248204,0.3265779338217483
gpt-3.5-turbo,hard,3,0.30011347801120086,7.093792519884836,0.3989651255039934,0.4434370235004792,0.460712422794947
gpt-3.5-turbo,hard,10,0.420386097979034,6.480044970533605,0.48932912150538377,0.4931976134634363,0.49104468874581025
gpt-3.5-turbo,medium,1,0.1329615388601073,7.403842409780727,0.2702711965513837,0.4349839595705161,0.4666968373026534
gpt-3.5-turbo,medium,3,0.2920346596716307,6.182771985812364,0.3942689374846952,0.44003466034464295,0.4666968373026534
gpt-3.5-turbo,medium,10,0.4208107561750834,5.265394480570715,0.47934526142188855,0.4531330963548793,0.4749272899775505
gpt-4o,easy,1,0.052242748690487874,11.89657886325415,0.13235584701289344,0.2317910394270272,0.4387022370007008
gpt-4o,easy,3,0.17863338569528242,9.308691547021942,0.14644180007316865,0.565171285103078,0.4893183849898611
gpt-4o,easy,10,0.27623729226942845,6.7731751322224225,0.2466681210311295,0.565171285103078,0.4893183849898611
gpt-4o,hard,1,0.1547729257537617,30.86242069650455,0.33056796807052413,0.408992119143982,0.4622705963095816
gpt-4o,hard,3,0.3273201979332973,14.337886115973317,0.4539023171449629,0.5102925022190526,0.5253982864100121
gpt-4o,hard,10,0.40677885812870157,11.108134803234103,0.52503955866657,0.54771570406559,0.5547475468700687
gpt-4o,medium,1,0.1613551425424474,24.220266953806345,0.32377899815493766,0.4105040606288696,0.46442134772382754
gpt-4o,medium,3,0.3489939290430436,15.773347962855853,0.4733752182699028,0.5872876800895185,0.6113418404449921
gpt-4o,medium,10,0.48569674019089726,10.001797292907005,0.5329238849908189,0.6058215051455307,0.6137193975866102
gpt-4o-mini,easy,1,0.03862465708095676,59.704928585425456,0.16476490941363803,0.14790254592591826,0.29570848828635804
gpt-4o-mini,easy,3,0.12071059661882544,48.383080668700096,0.23319451260662286,0.40682422102876276,0.468570362061024
gpt-4o-mini,easy,10,0.3146582287468975,12.136996616557159,0.3530336158382121,0.519157363144487,0.4507069017596825
gpt-4o-mini,hard,1,0.11380215262633375,6.896526247901489,0.3550728054009638,0.26140861393611153,0.3423471036058563
gpt-4o-mini,hard,3,0.2231662322324386,6.603843041366249,0.4537697703485505,0.30929052055463907,0.3375099151513605
gpt-4o-mini,hard,10,0.41535805513493435,6.000813573932275,0.5168802630190846,0.41744529604698805,0.3883312363520954
gpt-4o-mini,medium,1,0.13781573692810387,5.406440312388013,0.3765196797085516,0.37876671813639123,0.4314915815241509
gpt-4o-mini,medium,3,0.25701210921233836,5.08008391952782,0.44877210259371164,0.3821891072400193,0.431780442216226
gpt-4o-mini,medium,10,0.459250930648517,4.4052651154475395,0.5350910754926775,0.5074479588822459,0.5335655493226523
llama3.1,easy,1,0.08260523686921888,6.5802934234255135,0.1757389619808118,0.1824993018496662,0.2181676270321017
llama3.1,easy,3,0.16815721211804835,5.410036316789669,0.22900482572247638,0.1871722535583137,0.24926041223990794
llama3.1,easy,10,0.19743045364485198,5.373772212208116,0.27767273328695696,0.201419030228944,0.22059885252546182
llama3.1,hard,1,0.18671157590431506,24.001899176858917,0.3407492756160436,0.40449651879988807,0.5061724296205382
llama3.1,hard,3,0.31231495158428774,24.276904380150267,0.46907451327007543,0.42603387783957297,0.4925921119725713
llama3.1,hard,10,0.5127886266919275,11.749323955268137,0.5625192528547357,0.46815544405581094,0.47542625649921333
llama3.1,medium,1,0.16132191881949426,19.383322465919747,0.29703653615170367,0.42472297579710777,0.5013392032370897
llama3.1,medium,3,0.28500878489801285,15.556097574726568,0.45390288386801225,0.44481002430950056,0.48367254950965605
llama3.1,medium,10,0.5172243110436537,10.235715098415392,0.5632047140271476,0.4713460480341756,0.5061096868404105
llama3.1:70b,easy,1,0.03538932431297169,34.25447654043011,0.16089126619663668,0.13748634930527845,0.5031999564175604
llama3.1:70b,easy,3,0.11628461916026862,27.792876498628704,0.23865921045805236,0.34528086898787697,0.36416945674002016
llama3.1:70b,easy,10,0.33637602506904213,7.309233125014296,0.29667295523341064,0.44565954522169776,0.34025500189176255
llama3.1:70b,hard,1,0.14932386017437366,18.019304140981752,0.24687789398656604,0.34085589816142625,0.4613733524178487
llama3.1:70b,hard,3,0.2460196379813057,17.411826857763447,0.328826617546018,0.3799412731422158,0.4217459080088019
llama3.1:70b,hard,10,0.351840777860671,13.604514355174055,0.47576280708893887,0.516548878922271,0.5534309662193002
llama3.1:70b,medium,1,0.17361750231538992,13.630221702045407,0.33464727566900593,0.48284661387221056,0.5481935506308501
llama3.1:70b,medium,3,0.30929674153119474,9.716540474828212,0.44519915114163083,0.5015673910763466,0.5481935506308501
llama3.1:70b,medium,10,0.4729950502927206,7.893008190270962,0.5296403150842708,0.6722683388162243,0.6657228469972312
