LLM,Complexity,Metric,TopK,RuleCountFile,EvalMode,r2,mae,spearman,mcc,f1
llama3.1:70b,medium,oversimplification,1,51,heldout_refit_on_rule_activations,0.20527353673853188,0.7820088261573405,0.45450038002918275,-0.23110441700506626,0.0
llama3.1:70b,medium,oversimplification,3,51,heldout_refit_on_rule_activations,0.21524797446687882,0.7745312560782671,0.4370007944951775,-0.20198855487224096,0.0
llama3.1:70b,medium,oversimplification,10,51,heldout_refit_on_rule_activations,0.23089663443265473,0.7463044551145768,0.44698201092662865,0.09100857245603813,0.09009708737864078
gpt-4o,medium,subjectivity_score_nn,1,43,heldout_refit_on_rule_activations,0.6244247772778186,0.19319538662593963,0.7544805153890365,1.0,1.0
gpt-4o,medium,subjectivity_score_nn,3,43,heldout_refit_on_rule_activations,0.6250645021079186,0.19290129890508914,0.754482481748236,1.0,1.0
gpt-4o,medium,subjectivity_score_nn,10,43,heldout_refit_on_rule_activations,0.6366713114546249,0.1881830663727875,0.6782284024173595,1.0,1.0
llama3.1,hard,gunning_fog,1,58,heldout_refit_on_rule_activations,0.384992733374956,3.2732217601807263,0.6440874702000077,0.08300896388786383,0.7759634225996082
llama3.1,hard,gunning_fog,3,58,heldout_refit_on_rule_activations,0.4721385848451466,3.0118019550975066,0.6985177809334422,1.0,1.0
llama3.1,hard,gunning_fog,10,58,heldout_refit_on_rule_activations,0.49121961475038334,2.9596376539983296,0.6718576055184636,1.0,1.0
llama3.1,medium,information_overload,1,105,heldout_refit_on_rule_activations,0.6016682985485324,0.4204022477537393,0.7752673487566909,0.9825099245713576,0.9880372175454143
llama3.1,medium,information_overload,3,105,heldout_refit_on_rule_activations,0.626051104603178,0.4158617362924286,0.7808204602033174,0.9825099245713576,0.9880372175454143
llama3.1,medium,information_overload,10,105,heldout_refit_on_rule_activations,0.6524175397083372,0.38878702478943145,0.7133965172671803,0.9997835551949552,0.9999294532627866
llama3.1:70b,hard,subjectivity_score_nn,1,42,heldout_refit_on_rule_activations,0.764654205643167,0.04760680264825366,0.4367555287490424,0.45599876547010804,0.41786743515850144
llama3.1:70b,hard,subjectivity_score_nn,3,42,heldout_refit_on_rule_activations,0.778033130294836,0.043837952451543996,0.5131278074291459,0.6523501195725921,0.669494092699182
llama3.1:70b,hard,subjectivity_score_nn,10,42,heldout_refit_on_rule_activations,0.7952765861502507,0.04066378640734453,0.5673827220375889,1.0,1.0
gpt-4o,hard,oversimplification,1,89,heldout_refit_on_rule_activations,0.20608445061321734,0.2506600640532284,0.41944489643547994,0.040935846565197484,0.11051419800460476
gpt-4o,hard,oversimplification,3,89,heldout_refit_on_rule_activations,0.2905957664696165,0.2268106249940407,0.4650996695557074,0.040935846565197484,0.11051419800460476
gpt-4o,hard,oversimplification,10,89,heldout_refit_on_rule_activations,0.40823966012359336,0.2020224227582032,0.4818196096744117,0.8276784835665514,0.8229166666666666
llama3.1,easy,explanation_length,1,42,heldout_refit_on_rule_activations,0.9438472904993401,28.596939502106284,0.12479770560620822,1.0,1.0
llama3.1,easy,explanation_length,3,42,heldout_refit_on_rule_activations,0.9577736628032979,28.085837536154447,0.12479796225817925,1.0,1.0
llama3.1,easy,explanation_length,10,42,heldout_refit_on_rule_activations,0.9626131027800228,27.6449000379538,0.1247978159673395,1.0,1.0
gpt-4o-mini,medium,explanation_length,1,57,heldout_refit_on_rule_activations,0.9046797999601458,29.09851658248799,0.0809076403417922,1.0,1.0
gpt-4o-mini,medium,explanation_length,3,57,heldout_refit_on_rule_activations,0.9327562467425008,24.173785204504952,0.5861185749005288,1.0,1.0
gpt-4o-mini,medium,explanation_length,10,57,heldout_refit_on_rule_activations,0.9319276760794855,23.687698248713165,0.5738911687735612,1.0,1.0
gpt-4o,hard,gunning_fog,1,88,heldout_refit_on_rule_activations,0.4484112401118848,3.5517757626952307,0.6362306524621051,1.0,1.0
gpt-4o,hard,gunning_fog,3,88,heldout_refit_on_rule_activations,0.6408744528360992,2.8444295977716756,0.7650175544061405,1.0,1.0
gpt-4o,hard,gunning_fog,10,88,heldout_refit_on_rule_activations,0.6983150968832008,2.5734411087138347,0.8027190524530143,1.0,1.0
gpt-4o,medium,oversimplification,1,60,heldout_refit_on_rule_activations,0.22139700908963122,0.17729322196519917,0.4355741720371274,1.0,1.0
gpt-4o,medium,oversimplification,3,60,heldout_refit_on_rule_activations,0.289569305106291,0.16948512181126438,0.3227194813392351,1.0,1.0
gpt-4o,medium,oversimplification,10,60,heldout_refit_on_rule_activations,0.3143124971806416,0.16436891481881433,0.36378613535876764,1.0,1.0
gpt-4o-mini,hard,gunning_fog,1,48,heldout_refit_on_rule_activations,0.536598667842012,2.679241409177595,0.539745732009798,1.0,1.0
gpt-4o-mini,hard,gunning_fog,3,48,heldout_refit_on_rule_activations,0.5728100978466115,2.581110363694706,0.4954664996675373,1.0,1.0
gpt-4o-mini,hard,gunning_fog,10,48,heldout_refit_on_rule_activations,0.5989537568617644,2.5062271732853216,0.5417470942907037,1.0,1.0
llama3.1:70b,medium,subjectivity_score_nn,1,37,heldout_refit_on_rule_activations,0.8657881011176763,0.06097872765434477,0.7605645805380385,1.0,1.0
llama3.1:70b,medium,subjectivity_score_nn,3,37,heldout_refit_on_rule_activations,0.8716991338338578,0.0590952958533291,0.7552268815170288,1.0,1.0
llama3.1:70b,medium,subjectivity_score_nn,10,37,heldout_refit_on_rule_activations,0.8814239953920034,0.05441298993513709,0.7675309174794406,1.0,1.0
gpt-3.5-turbo,medium,oversimplification,1,38,heldout_refit_on_rule_activations,0.19458725489237894,0.6941657808242395,0.45542558411464323,-0.09319187847597013,0.0
gpt-3.5-turbo,medium,oversimplification,3,38,heldout_refit_on_rule_activations,0.2429279931568944,0.6783451897557065,0.5093361731918863,-0.048203928114674145,0.0
gpt-3.5-turbo,medium,oversimplification,10,38,heldout_refit_on_rule_activations,0.25903965786557026,0.6645641822210586,0.5080093297817168,0.11538371885131651,0.06878306878306878
gpt-4o-mini,hard,explanation_length,1,56,heldout_refit_on_rule_activations,0.8280214704031618,37.57934559166063,0.08090681021932544,1.0,1.0
gpt-4o-mini,hard,explanation_length,3,56,heldout_refit_on_rule_activations,0.9267005674057639,26.450581009306827,0.6817149458688919,1.0,1.0
gpt-4o-mini,hard,explanation_length,10,56,heldout_refit_on_rule_activations,0.9226443077377487,26.281022246271863,0.6785569159072561,1.0,1.0
llama3.1:70b,hard,oversimplification,1,78,heldout_refit_on_rule_activations,0.0976305605746266,0.7386701416657189,0.30566939665458875,-0.02304649280923451,0.012139605462822459
llama3.1:70b,hard,oversimplification,3,78,heldout_refit_on_rule_activations,0.14140214730956457,0.7113615077525682,0.24448944574870635,-0.02304649280923451,0.012139605462822459
llama3.1:70b,hard,oversimplification,10,78,heldout_refit_on_rule_activations,0.1724800081470348,0.6888584019932306,0.3411929472254287,0.9360600935809109,0.9356435643564357
gpt-3.5-turbo,easy,oversimplification,1,47,heldout_refit_on_rule_activations,-0.002797253328647331,0.5539750618700224,0.044560706582218904,0.04524688749981542,0.7787402730876524
gpt-3.5-turbo,easy,oversimplification,3,47,heldout_refit_on_rule_activations,0.005482701303285986,0.5427913824887913,0.0719825577285919,0.14367067503500586,0.842222842781346
gpt-3.5-turbo,easy,oversimplification,10,47,heldout_refit_on_rule_activations,0.03562355688362351,0.5333755649432376,0.14182483739697493,0.14367067503500586,0.842222842781346
llama3.1:70b,medium,information_overload,1,85,heldout_refit_on_rule_activations,0.17923990759032982,0.44589486252869165,0.5048135699455923,1.0,1.0
llama3.1:70b,medium,information_overload,3,85,heldout_refit_on_rule_activations,0.2668465757314208,0.41773092405517404,0.5829986314232793,1.0,1.0
llama3.1:70b,medium,information_overload,10,85,heldout_refit_on_rule_activations,0.31820092315184145,0.40035701758555964,0.602735930521298,1.0,1.0
gpt-4o,medium,framing_effect,1,79,heldout_refit_on_rule_activations,0.4752646121461349,0.499485154128839,0.6846743522880299,0.6487283945921206,0.711395101171459
