LLM,Complexity,MRR@1,MRR@3,MRR@10
gpt-3.5-turbo,easy,0.6666666666666666,0.6666666666666666,0.6666666666666666
gpt-3.5-turbo,medium,0.0,0.0,0.0
gpt-3.5-turbo,hard,0.0,0.0,0.0
gpt-3.5-turbo,all,0.14285714285714285,0.14285714285714285,0.14285714285714285
gpt-4o-mini,easy,0.3333333333333333,0.3333333333333333,0.3333333333333333
gpt-4o-mini,medium,0.2,0.2,0.22857142857142856
gpt-4o-mini,hard,0.16666666666666666,0.16666666666666666,0.1851851851851852
gpt-4o-mini,all,0.21428571428571427,0.21428571428571427,0.23242630385487528
gpt-4o,easy,0.3333333333333333,0.3333333333333333,0.3333333333333333
gpt-4o,medium,0.4,0.4,0.4
gpt-4o,hard,0.3333333333333333,0.3333333333333333,0.3333333333333333
gpt-4o,all,0.35714285714285715,0.35714285714285715,0.35714285714285715
llama3.1,easy,0.3333333333333333,0.3333333333333333,0.3333333333333333
llama3.1,medium,0.0,0.0,0.0
llama3.1,hard,0.0,0.0,0.0
llama3.1,all,0.07142857142857142,0.07142857142857142,0.07142857142857142
llama3.1:70b,easy,0.0,0.0,0.0
llama3.1:70b,medium,0.2,0.2,0.2
llama3.1:70b,hard,0.16666666666666666,0.16666666666666666,0.16666666666666666
llama3.1:70b,all,0.14285714285714285,0.14285714285714285,0.14285714285714285
