LLM,Complexity,TopK,r2,mae,spearman,mcc,f1
gpt-3.5-turbo,easy,1,0.5756236468069434,9.01933734583204,0.3210438521121536,0.6672362781151394,0.6718547341115434
gpt-3.5-turbo,easy,3,0.5768280976659192,9.003667917372622,0.13357566833620385,0.677816267401369,0.6762513312034079
gpt-3.5-turbo,easy,10,0.5920894050597973,8.20826826862413,0.270317311823341,0.6859592241008792,0.6857142857142856
gpt-3.5-turbo,hard,1,0.4292110076280187,8.488575229948362,0.47712690441217037,0.7240081882144125,0.7479119733796651
gpt-3.5-turbo,hard,3,0.4789493912894815,7.045198948291806,0.5380657744458315,0.7353190287604384,0.7479119733796651
gpt-3.5-turbo,hard,10,0.5495916934243886,6.220737806773495,0.5807647634942649,0.7674498720034081,0.7804518403416076
gpt-3.5-turbo,medium,1,0.3954556998255609,7.748538173620714,0.4175550868903839,0.684875256028511,0.6986364768203784
gpt-3.5-turbo,medium,3,0.4645561156106649,6.818727053699597,0.5305659602239194,0.6958574173722071,0.7098636342109653
gpt-3.5-turbo,medium,10,0.5216199119716161,6.735970319436376,0.5484529769570352,0.7328049942743242,0.7516130507364421
gpt-4o,easy,1,0.5032880769317772,9.253167134049619,0.3945225111327845,0.8556175203403072,0.8405287520028485
gpt-4o,easy,3,0.6339834794391885,9.279656360898235,0.470005362765568,0.9506436126361182,0.9490068238632525
gpt-4o,easy,10,0.6485901997015122,9.333543071176098,0.2403288520544621,0.9506436126361182,0.9490068238632525
gpt-4o,hard,1,0.2710282921845432,12.960123076672586,0.3097693572520204,0.575909376434026,0.5524680556423339
gpt-4o,hard,3,0.577987092206464,10.662581765101345,0.6759973145473751,0.7631684022784381,0.7782844688204777
gpt-4o,hard,10,0.6478777537546455,7.762446792942026,0.7040187645729031,0.7643055790289273,0.76603829102967
gpt-4o,medium,1,0.4342836105937618,8.719924399973818,0.45007492680375344,0.6943381467525543,0.6671528224685914
gpt-4o,medium,3,0.5527271937906496,8.529157294587916,0.5698460652013503,0.7768614451374207,0.7678187909551661
gpt-4o,medium,10,0.6036016963646293,7.324238965444444,0.6499951973524881,0.7768614451374207,0.7678187909551661
gpt-4o-mini,easy,1,0.45312753407944273,14.309274094845106,0.366582835350488,0.6193408353738322,0.6552087721515433
gpt-4o-mini,easy,3,0.5584339938608401,13.89027759725338,0.43476148382321167,0.6832605702986396,0.7248649704962737
gpt-4o-mini,easy,10,0.5852536335478832,13.446457540575231,0.4289776814291939,0.6887296742217962,0.7410732572723343
gpt-4o-mini,hard,1,0.2678718866829973,7.633329223345396,0.3074011346860303,0.7235456435678564,0.7263295362268086
gpt-4o-mini,hard,3,0.37477471765367265,7.205798328383587,0.3210492883985025,0.740956254149531,0.7459147896830299
gpt-4o-mini,hard,10,0.5651422754488283,7.002380128821019,0.5125479037997169,0.7815382370440552,0.8014313638218792
gpt-4o-mini,medium,1,0.37980385522977267,6.64019235140394,0.37216062270850825,0.6806811964905082,0.6842250643131226
gpt-4o-mini,medium,3,0.5169964670919386,6.191942903584723,0.48117632177383296,0.723198870051711,0.745635333564574
gpt-4o-mini,medium,10,0.6236636044442374,6.208553516624998,0.5668145673903048,0.7531263062676341,0.7687226761622762
llama3.1,easy,1,0.32058428450163484,9.875968613819174,0.10329458748079452,0.5047580556187397,0.47346521386508694
llama3.1,easy,3,0.32758493509507103,9.651803398446434,0.10703376355332016,0.5047580556187397,0.47346521386508694
llama3.1,easy,10,0.3606826285272923,9.488960430182205,0.20706330084931668,0.5280513241410651,0.4808991568176551
llama3.1,hard,1,0.28138625453304544,18.471221239243146,0.3299662236091845,0.5163931472253375,0.4853483485453378
llama3.1,hard,3,0.3955041738292317,13.872026805689238,0.4105301387917619,0.5798651107121183,0.5543812812597255
llama3.1,hard,10,0.5521648572812597,10.046643799468507,0.6156844301055225,0.612711758581725,0.5890699197490723
llama3.1,medium,1,0.27060364230708656,35.514898851087636,0.3123104581184527,0.3563060330928881,0.33206786621440904
llama3.1,medium,3,0.46427984173236503,14.869545979079751,0.4557235112339805,0.5463866671799484,0.5476249420863118
llama3.1,medium,10,0.6061579801748438,14.662665386461558,0.5523048950237893,0.633205935188388,0.6492161801229055
llama3.1:70b,easy,1,0.332482223630697,40.22721827279078,0.3468326805879962,0.5068667872817131,0.4917895523782824
llama3.1:70b,easy,3,0.5702514799505295,12.512239304790482,0.4305677648652018,0.576545130368255,0.5751226687226669
llama3.1:70b,easy,10,0.6065466810105622,12.652807491935688,0.2807884741890016,0.6112147110897337,0.6393422771943346
llama3.1:70b,hard,1,0.274606005282112,19.245896421860408,0.28087560427670855,0.3446628268135974,0.306700431548598
llama3.1:70b,hard,3,0.5227401030263191,17.390193832104977,0.5036653887747088,0.5309707752994041,0.5916371007261852
llama3.1:70b,hard,10,0.6762928054180639,9.664658079601946,0.6595397329606825,0.6107179636083987,0.7056536279085365
llama3.1:70b,medium,1,0.25627128621536194,10.844881485163251,0.25774385038767333,0.4883009862515915,0.47798004025361635
llama3.1:70b,medium,3,0.48211398425152596,10.630845265511585,0.44692916197178356,0.8423117990289368,0.8461486298103758
llama3.1:70b,medium,10,0.5870781237459888,8.700508824579725,0.5910646895548504,0.9053167369794322,0.9580416069859921
